source_index,target_index,source_class,target_class,source_family,target_family,transition_type,support,confusion_rate,mean_margin,margin_std,vulnerability_probability,operational_cost,stability,raw_weight,normalized_weight,cost_profile
0,32,Backdoor_Malware,VulnerabilityScan,malware,reconnaissance,cross_family_attack,482,0.6244813278008299,-2.152768418502016,1.202374901979845,0.2755128840976566,6.0,1.0,2.6999826356954593,0.026752399925357138,miss_sensitive
0,1,Backdoor_Malware,BenignTraffic,malware,benign,attack_to_benign,482,0.1887966804979253,-1.5495079471362576,1.5679195687639393,0.15071248099891724,12.0,1.0,2.037054968981055,0.020183873955204195,miss_sensitive
0,27,Backdoor_Malware,Recon-OSScan,malware,reconnaissance,cross_family_attack,482,0.03319502074688797,-1.514632807480349,1.3768103058087142,0.14554695985916052,6.0,1.0,0.5362259418181454,0.005313119668332702,miss_sensitive
1,27,BenignTraffic,Recon-OSScan,benign,reconnaissance,benign_to_attack,29940,0.11396125584502338,0.15606365554524945,0.8332721838928554,0.24074910018082693,3.0,1.0,0.5320655340387754,0.005271896850343133,miss_sensitive
1,22,BenignTraffic,MITM-ArpSpoofing,benign,spoofing_mitm,benign_to_attack,29940,0.23102872411489647,1.777179526242147,3.3237178815302375,0.047590798913107545,3.0,1.0,0.41792928454200606,0.004140993802245781,miss_sensitive
1,29,BenignTraffic,Recon-PortScan,benign,reconnaissance,benign_to_attack,29940,0.06212424849699399,0.48703450645465074,1.0351897853350214,0.17291228835423644,3.0,1.0,0.3525548052768457,0.0034932399274276,miss_sensitive
2,1,BrowserHijacking,BenignTraffic,malware,benign,attack_to_benign,868,0.19815668202764977,-1.262449050004581,1.6617041955568856,0.18754380084840128,12.0,1.0,2.3142028972563065,0.022929955399462795,miss_sensitive
2,32,BrowserHijacking,VulnerabilityScan,malware,reconnaissance,cross_family_attack,868,0.4539170506912442,-1.3405208394000059,1.9033156118871035,0.20277240897646212,6.0,1.0,1.970068379003119,0.01952014670709763,miss_sensitive
2,27,BrowserHijacking,Recon-OSScan,malware,reconnaissance,cross_family_attack,868,0.12557603686635946,-1.3494111600284753,1.5561465514370139,0.20458315784944753,6.0,1.0,0.990477584147421,0.009814008467275991,miss_sensitive
3,16,CommandInjection,DNS_Spoofing,web_application,spoofing_mitm,cross_family_attack,808,0.8292079207920792,-3.6531627656209587,2.521963802797123,0.794022307804893,6.0,1.0,4.869690685790917,0.04825064836222878,miss_sensitive
3,32,CommandInjection,VulnerabilityScan,web_application,reconnaissance,cross_family_attack,808,0.13613861386138615,-0.890735594795482,1.5060993062565229,0.05013324623433835,6.0,1.0,0.5588155802871735,0.005536945938362401,miss_sensitive
3,1,CommandInjection,BenignTraffic,web_application,benign,attack_to_benign,808,0.02599009900990099,-0.7004368851090422,1.888324272090855,0.04144576378737801,12.0,1.0,0.404615176783674,0.004009072829610172,miss_sensitive
