group_id,module_path,layer_index,channel_index,out_channels,in_channels,kernel_size,parameter_cost,flops_cost,batchnorm_path,downstream_path,downstream_kind,random,magnitude,taylor,fisher,bn_gamma
conv.0:out:0,conv.0,0,0,64,1,3,390,31734.0,conv.2,conv.3,conv_in,0.7739560485559633,1.2692107558250427,0.8269475162029266,0.2530809987336397,1.1404614448547363
conv.0:out:1,conv.0,0,1,64,1,3,390,31734.0,conv.2,conv.3,conv_in,0.4388784397520523,0.9373038485646248,2.3627801977097986,1.985955005697906,1.1066116094589233
conv.0:out:2,conv.0,0,2,64,1,3,390,31734.0,conv.2,conv.3,conv_in,0.8585979199113825,0.9181517958641052,1.0888444911688566,0.7268781589809805,0.9596938490867615
conv.0:out:3,conv.0,0,3,64,1,3,390,31734.0,conv.2,conv.3,conv_in,0.6973680290593639,0.7191908955574036,0.6191751506179571,0.15537953791208564,1.2016568183898926
conv.0:out:4,conv.0,0,4,64,1,3,390,31734.0,conv.2,conv.3,conv_in,0.09417734788764953,1.4863884449005127,0.5561718362616375,0.21474369348925393,1.2134630680084229
conv.0:out:5,conv.0,0,5,64,1,3,390,31734.0,conv.2,conv.3,conv_in,0.9756223516367559,0.7774031460285187,0.3506737916730344,0.05071483606880065,0.5894132852554321
conv.0:out:6,conv.0,0,6,64,1,3,390,31734.0,conv.2,conv.3,conv_in,0.761139701990353,1.238139033317566,2.3287641376256945,1.8552915155887604,1.225950837135315
conv.0:out:7,conv.0,0,7,64,1,3,390,31734.0,conv.2,conv.3,conv_in,0.7860643052769538,0.9986896952614188,0.6333381568780169,0.2564387656278996,0.9404811263084412
conv.0:out:8,conv.0,0,8,64,1,3,390,31734.0,conv.2,conv.3,conv_in,0.12811363267554587,0.8028567209839821,0.12920287020970136,0.009837201244863536,0.8674556612968445
conv.0:out:9,conv.0,0,9,64,1,3,390,31734.0,conv.2,conv.3,conv_in,0.45038593789556713,1.4057838916778564,4.971041613817215,13.621209663152694,0.9932251572608948
conv.0:out:10,conv.0,0,10,64,1,3,390,31734.0,conv.2,conv.3,conv_in,0.37079802423258124,1.6505686938762665,1.3624939987668767,0.6458767847658237,1.1207561492919922
conv.0:out:11,conv.0,0,11,64,1,3,390,31734.0,conv.2,conv.3,conv_in,0.9267649888486018,1.6543641090393066,0.8308470103889704,0.4675537727976916,1.2475613355636597
conv.0:out:12,conv.0,0,12,64,1,3,390,31734.0,conv.2,conv.3,conv_in,0.6438651200806645,1.452869713306427,1.325713412463665,0.5629359150305391,1.0198359489440918
conv.0:out:13,conv.0,0,13,64,1,3,390,31734.0,conv.2,conv.3,conv_in,0.82276161327083,1.0057147443294525,1.9650074161589146,3.1516371516743673,0.6960654854774475
conv.0:out:14,conv.0,0,14,64,1,3,390,31734.0,conv.2,conv.3,conv_in,0.44341419882733113,1.2953032851219177,7.465372264385223,19.344517278671265,1.2680985927581787
conv.0:out:15,conv.0,0,15,64,1,3,390,31734.0,conv.2,conv.3,conv_in,0.2272387217847769,1.5117785334587097,1.285021198540926,1.2909990581450983,0.7565407752990723
conv.0:out:16,conv.0,0,16,64,1,3,390,31734.0,conv.2,conv.3,conv_in,0.5545847870158348,0.9031683653593063,1.0775687165558339,0.4682980949059129,0.6563431620597839
conv.0:out:17,conv.0,0,17,64,1,3,390,31734.0,conv.2,conv.3,conv_in,0.06381725610417532,1.0125038772821426,0.08686682903280599,0.003371866997073969,0.7454679608345032
conv.0:out:18,conv.0,0,18,64,1,3,390,31734.0,conv.2,conv.3,conv_in,0.8276311719925821,0.9482548534870148,0.30915778419002893,0.04012667599163251,0.799178957939148
conv.0:out:19,conv.0,0,19,64,1,3,390,31734.0,conv.2,conv.3,conv_in,0.6316643991220648,1.2324867434799671,1.3795788943767548,0.5633135622134432,1.1026862859725952
conv.0:out:20,conv.0,0,20,64,1,3,390,31734.0,conv.2,conv.3,conv_in,0.7580877400853738,0.941082090139389,1.390426377952099,0.6053827155381442,0.9014732241630554
conv.0:out:21,conv.0,0,21,64,1,3,390,31734.0,conv.2,conv.3,conv_in,0.35452596812986836,0.6683541312813759,0.3739454201422632,0.06529334346705581,1.134764313697815
