group_id,module_path,layer_index,channel_index,out_channels,in_channels,kernel_size,parameter_cost,flops_cost,batchnorm_path,downstream_path,downstream_kind
conv.0:out:0,conv.0,0,0,64,1,3,390,31734.0,conv.2,conv.3,conv_in
conv.0:out:1,conv.0,0,1,64,1,3,390,31734.0,conv.2,conv.3,conv_in
conv.0:out:2,conv.0,0,2,64,1,3,390,31734.0,conv.2,conv.3,conv_in
conv.0:out:3,conv.0,0,3,64,1,3,390,31734.0,conv.2,conv.3,conv_in
conv.0:out:4,conv.0,0,4,64,1,3,390,31734.0,conv.2,conv.3,conv_in
conv.0:out:5,conv.0,0,5,64,1,3,390,31734.0,conv.2,conv.3,conv_in
conv.0:out:6,conv.0,0,6,64,1,3,390,31734.0,conv.2,conv.3,conv_in
conv.0:out:7,conv.0,0,7,64,1,3,390,31734.0,conv.2,conv.3,conv_in
conv.0:out:8,conv.0,0,8,64,1,3,390,31734.0,conv.2,conv.3,conv_in
conv.0:out:9,conv.0,0,9,64,1,3,390,31734.0,conv.2,conv.3,conv_in
conv.0:out:10,conv.0,0,10,64,1,3,390,31734.0,conv.2,conv.3,conv_in
conv.0:out:11,conv.0,0,11,64,1,3,390,31734.0,conv.2,conv.3,conv_in
conv.0:out:12,conv.0,0,12,64,1,3,390,31734.0,conv.2,conv.3,conv_in
conv.0:out:13,conv.0,0,13,64,1,3,390,31734.0,conv.2,conv.3,conv_in
conv.0:out:14,conv.0,0,14,64,1,3,390,31734.0,conv.2,conv.3,conv_in
conv.0:out:15,conv.0,0,15,64,1,3,390,31734.0,conv.2,conv.3,conv_in
conv.0:out:16,conv.0,0,16,64,1,3,390,31734.0,conv.2,conv.3,conv_in
conv.0:out:17,conv.0,0,17,64,1,3,390,31734.0,conv.2,conv.3,conv_in
conv.0:out:18,conv.0,0,18,64,1,3,390,31734.0,conv.2,conv.3,conv_in
conv.0:out:19,conv.0,0,19,64,1,3,390,31734.0,conv.2,conv.3,conv_in
conv.0:out:20,conv.0,0,20,64,1,3,390,31734.0,conv.2,conv.3,conv_in
conv.0:out:21,conv.0,0,21,64,1,3,390,31734.0,conv.2,conv.3,conv_in
conv.0:out:22,conv.0,0,22,64,1,3,390,31734.0,conv.2,conv.3,conv_in
conv.0:out:23,conv.0,0,23,64,1,3,390,31734.0,conv.2,conv.3,conv_in
conv.0:out:24,conv.0,0,24,64,1,3,390,31734.0,conv.2,conv.3,conv_in
conv.0:out:25,conv.0,0,25,64,1,3,390,31734.0,conv.2,conv.3,conv_in
conv.0:out:26,conv.0,0,26,64,1,3,390,31734.0,conv.2,conv.3,conv_in
conv.0:out:27,conv.0,0,27,64,1,3,390,31734.0,conv.2,conv.3,conv_in
conv.0:out:28,conv.0,0,28,64,1,3,390,31734.0,conv.2,conv.3,conv_in
conv.0:out:29,conv.0,0,29,64,1,3,390,31734.0,conv.2,conv.3,conv_in
conv.0:out:30,conv.0,0,30,64,1,3,390,31734.0,conv.2,conv.3,conv_in
conv.0:out:31,conv.0,0,31,64,1,3,390,31734.0,conv.2,conv.3,conv_in
conv.0:out:32,conv.0,0,32,64,1,3,390,31734.0,conv.2,conv.3,conv_in
conv.0:out:33,conv.0,0,33,64,1,3,390,31734.0,conv.2,conv.3,conv_in
conv.0:out:34,conv.0,0,34,64,1,3,390,31734.0,conv.2,conv.3,conv_in
conv.0:out:35,conv.0,0,35,64,1,3,390,31734.0,conv.2,conv.3,conv_in
conv.0:out:36,conv.0,0,36,64,1,3,390,31734.0,conv.2,conv.3,conv_in
conv.0:out:37,conv.0,0,37,64,1,3,390,31734.0,conv.2,conv.3,conv_in
conv.0:out:38,conv.0,0,38,64,1,3,390,31734.0,conv.2,conv.3,conv_in
conv.0:out:39,conv.0,0,39,64,1,3,390,31734.0,conv.2,conv.3,conv_in
conv.0:out:40,conv.0,0,40,64,1,3,390,31734.0,conv.2,conv.3,conv_in
conv.0:out:41,conv.0,0,41,64,1,3,390,31734.0,conv.2,conv.3,conv_in
conv.0:out:42,conv.0,0,42,64,1,3,390,31734.0,conv.2,conv.3,conv_in
conv.0:out:43,conv.0,0,43,64,1,3,390,31734.0,conv.2,conv.3,conv_in
conv.0:out:44,conv.0,0,44,64,1,3,390,31734.0,conv.2,conv.3,conv_in
conv.0:out:45,conv.0,0,45,64,1,3,390,31734.0,conv.2,conv.3,conv_in
conv.0:out:46,conv.0,0,46,64,1,3,390,31734.0,conv.2,conv.3,conv_in
conv.0:out:47,conv.0,0,47,64,1,3,390,31734.0,conv.2,conv.3,conv_in
conv.0:out:48,conv.0,0,48,64,1,3,390,31734.0,conv.2,conv.3,conv_in
conv.0:out:49,conv.0,0,49,64,1,3,390,31734.0,conv.2,conv.3,conv_in
conv.0:out:50,conv.0,0,50,64,1,3,390,31734.0,conv.2,conv.3,conv_in
conv.0:out:51,conv.0,0,51,64,1,3,390,31734.0,conv.2,conv.3,conv_in
conv.0:out:52,conv.0,0,52,64,1,3,390,31734.0,conv.2,conv.3,conv_in
conv.0:out:53,conv.0,0,53,64,1,3,390,31734.0,conv.2,conv.3,conv_in
conv.0:out:54,conv.0,0,54,64,1,3,390,31734.0,conv.2,conv.3,conv_in
conv.0:out:55,conv.0,0,55,64,1,3,390,31734.0,conv.2,conv.3,conv_in
conv.0:out:56,conv.0,0,56,64,1,3,390,31734.0,conv.2,conv.3,conv_in
conv.0:out:57,conv.0,0,57,64,1,3,390,31734.0,conv.2,conv.3,conv_in
conv.0:out:58,conv.0,0,58,64,1,3,390,31734.0,conv.2,conv.3,conv_in
conv.0:out:59,conv.0,0,59,64,1,3,390,31734.0,conv.2,conv.3,conv_in
conv.0:out:60,conv.0,0,60,64,1,3,390,31734.0,conv.2,conv.3,conv_in
conv.0:out:61,conv.0,0,61,64,1,3,390,31734.0,conv.2,conv.3,conv_in
conv.0:out:62,conv.0,0,62,64,1,3,390,31734.0,conv.2,conv.3,conv_in
conv.0:out:63,conv.0,0,63,64,1,3,390,31734.0,conv.2,conv.3,conv_in
conv.3:out:0,conv.3,1,0,128,64,3,229,15812.0,conv.5,head,linear_in
conv.3:out:1,conv.3,1,1,128,64,3,229,15812.0,conv.5,head,linear_in
conv.3:out:2,conv.3,1,2,128,64,3,229,15812.0,conv.5,head,linear_in
conv.3:out:3,conv.3,1,3,128,64,3,229,15812.0,conv.5,head,linear_in
conv.3:out:4,conv.3,1,4,128,64,3,229,15812.0,conv.5,head,linear_in
conv.3:out:5,conv.3,1,5,128,64,3,229,15812.0,conv.5,head,linear_in
conv.3:out:6,conv.3,1,6,128,64,3,229,15812.0,conv.5,head,linear_in
conv.3:out:7,conv.3,1,7,128,64,3,229,15812.0,conv.5,head,linear_in
conv.3:out:8,conv.3,1,8,128,64,3,229,15812.0,conv.5,head,linear_in
conv.3:out:9,conv.3,1,9,128,64,3,229,15812.0,conv.5,head,linear_in
conv.3:out:10,conv.3,1,10,128,64,3,229,15812.0,conv.5,head,linear_in
conv.3:out:11,conv.3,1,11,128,64,3,229,15812.0,conv.5,head,linear_in
conv.3:out:12,conv.3,1,12,128,64,3,229,15812.0,conv.5,head,linear_in
conv.3:out:13,conv.3,1,13,128,64,3,229,15812.0,conv.5,head,linear_in
conv.3:out:14,conv.3,1,14,128,64,3,229,15812.0,conv.5,head,linear_in
conv.3:out:15,conv.3,1,15,128,64,3,229,15812.0,conv.5,head,linear_in
conv.3:out:16,conv.3,1,16,128,64,3,229,15812.0,conv.5,head,linear_in
conv.3:out:17,conv.3,1,17,128,64,3,229,15812.0,conv.5,head,linear_in
conv.3:out:18,conv.3,1,18,128,64,3,229,15812.0,conv.5,head,linear_in
conv.3:out:19,conv.3,1,19,128,64,3,229,15812.0,conv.5,head,linear_in
conv.3:out:20,conv.3,1,20,128,64,3,229,15812.0,conv.5,head,linear_in
conv.3:out:21,conv.3,1,21,128,64,3,229,15812.0,conv.5,head,linear_in
conv.3:out:22,conv.3,1,22,128,64,3,229,15812.0,conv.5,head,linear_in
conv.3:out:23,conv.3,1,23,128,64,3,229,15812.0,conv.5,head,linear_in
conv.3:out:24,conv.3,1,24,128,64,3,229,15812.0,conv.5,head,linear_in
conv.3:out:25,conv.3,1,25,128,64,3,229,15812.0,conv.5,head,linear_in
conv.3:out:26,conv.3,1,26,128,64,3,229,15812.0,conv.5,head,linear_in
conv.3:out:27,conv.3,1,27,128,64,3,229,15812.0,conv.5,head,linear_in
conv.3:out:28,conv.3,1,28,128,64,3,229,15812.0,conv.5,head,linear_in
conv.3:out:29,conv.3,1,29,128,64,3,229,15812.0,conv.5,head,linear_in
