group_id,module_path,layer_index,channel_index,out_channels,in_channels,kernel_size,parameter_cost,flops_cost,batchnorm_path,downstream_path,downstream_kind,random,magnitude,taylor,fisher,bn_gamma,r_sbl,profile_min,profile_mean,profile_max,profile_aggregation,profile_cvar_q,v_c,selection_priority,protected,selected_for_pruning,selection_order
conv.0:out:0,conv.0,0,0,64,1,3,390,31734.0,conv.2,conv.3,conv_in,0.7739560485559633,1.2692107558250427,0.8269475162029266,0.2530809987336397,1.1404614448547363,0.0009932604506821,0.0009842094182221,0.0009896203312069,0.0009932604506821,cvar,0.75,0.9877636337380512,2.4388858907038613e-05,False,False,
conv.0:out:1,conv.0,0,1,64,1,3,390,31734.0,conv.2,conv.3,conv_in,0.4388784397520523,0.9373038485646248,2.362780197709798,1.985955005697906,1.1066116094589231,0.0013119000631028,0.001295591876566,0.0013059383184676,0.0013119000631028,cvar,0.75,1.1000095012082842,1.3829912388985074e-05,False,False,
conv.0:out:2,conv.0,0,2,64,1,3,390,31734.0,conv.2,conv.3,conv_in,0.8585979199113825,0.9181517958641052,1.0888444911688566,0.7268781589809805,0.9596938490867616,0.0002886424960999,0.0002765558447583,0.0002828584802437,0.0002886424960999,cvar,0.75,0.2020425614464195,2.7056088734839053e-05,False,False,
conv.0:out:3,conv.0,0,3,64,1,3,390,31734.0,conv.2,conv.3,conv_in,0.6973680290593639,0.7191908955574036,0.6191751506179571,0.1553795379120856,1.2016568183898926,0.0003996188751916,0.0003939301999836,0.0003970744100237,0.0003996188751916,cvar,0.75,0.3591867759047459,2.1975421600156423e-05,False,False,
conv.0:out:4,conv.0,0,4,64,1,3,390,31734.0,conv.2,conv.3,conv_in,0.0941773478876495,1.4863884449005127,0.5561718362616375,0.2147436934892539,1.2134630680084229,0.0016933773325132,0.0016818952235671,0.0016858621814054,0.0016933773325132,cvar,0.75,1.302052062654704,2.9677112210137235e-06,False,True,11.0
conv.0:out:5,conv.0,0,5,64,1,3,390,31734.0,conv.2,conv.3,conv_in,0.975622351636756,0.7774031460285187,0.3506737916730344,0.0507148360688006,0.5894132852554321,0.0001511362776666,0.0001496683916715,0.0001505789747374,0.0001511362776666,cvar,0.75,0.0224491734940466,3.074375596006668e-05,False,False,
conv.0:out:6,conv.0,0,6,64,1,3,390,31734.0,conv.2,conv.3,conv_in,0.761139701990353,1.238139033317566,2.3287641376256945,1.8552915155887604,1.225950837135315,0.0009729640496086,0.0009693930548221,0.000971057852802,0.0009729640496086,cvar,0.75,0.9653144602440046,2.398499092425641e-05,False,False,
conv.0:out:7,conv.0,0,7,64,1,3,390,31734.0,conv.2,conv.3,conv_in,0.7860643052769538,0.9986896952614188,0.6333381568780169,0.2564387656278996,0.9404811263084412,0.0003626585084807,0.0003588102059613,0.0003612194094126,0.0003626585084807,cvar,0.75,0.3367376024106993,2.4770413602979575e-05,False,False,
conv.0:out:8,conv.0,0,8,64,1,3,390,31734.0,conv.2,conv.3,conv_in,0.1281136326755458,0.8028567209839821,0.1292028702097013,0.0098372012448635,0.8674556612968445,0.0003319165282369,0.0003184561734742,0.0003249939953452,0.0003319165282369,cvar,0.75,0.291839255422606,4.037109493777834e-06,False,True,14.0
conv.0:out:9,conv.0,0,9,64,1,3,390,31734.0,conv.2,conv.3,conv_in,0.4503859378955671,1.4057838916778564,4.971041613817215,13.621209663152694,0.9932251572608948,0.0014705609418032,0.001450326809522,0.0014576848557403,0.0014705609418032,cvar,0.75,1.1898061951844707,1.4192536014859996e-05,False,False,
conv.0:out:10,conv.0,0,10,64,1,3,390,31734.0,conv.2,conv.3,conv_in,0.3707980242325812,1.6505686938762665,1.3624939987668767,0.6458767847658237,1.1207561492919922,0.0007423411449827,0.0007326356388278,0.0007389623093671,0.0007423411449827,cvar,0.75,0.7632718987975851,1.1684566213921383e-05,False,False,
conv.0:out:11,conv.0,0,11,64,1,3,390,31734.0,conv.2,conv.3,conv_in,0.9267649888486018,1.6543641090393066,0.8308470103889704,0.4675537727976916,1.2475613355636597,0.0025355224809419,0.0024976236458918,0.0025162695142092,0.0025355224809419,cvar,0.75,1.414297930124937,2.9204165527465866e-05,False,False,
conv.0:out:12,conv.0,0,12,64,1,3,390,31734.0,conv.2,conv.3,conv_in,0.6438651200806645,1.452869713306427,1.325713412463665,0.5629359150305391,1.0198359489440918,0.0004711980791472,0.0004527014252331,0.0004604931795864,0.0004711980791472,cvar,0.75,0.4265342963868858,2.0289440980672607e-05,False,False,
conv.0:out:13,conv.0,0,13,64,1,3,390,31734.0,conv.2,conv.3,conv_in,0.82276161327083,1.0057147443294523,1.9650074161589144,3.151637151674368,0.6960654854774475,0.0008898236127454,0.0008878691818612,0.0008889563811661,0.0008898236127454,cvar,0.75,0.9204161132559112,2.592681708170511e-05,False,False,
conv.0:out:14,conv.0,0,14,64,1,3,390,31734.0,conv.2,conv.3,conv_in,0.4434141988273311,1.2953032851219175,7.465372264385223,19.344517278671265,1.2680985927581787,0.0020262207172159,0.0020098005781519,0.0020166617819669,0.0020262207172159,cvar,0.75,1.346950409642797,1.3972842970546766e-05,False,False,
conv.0:out:15,conv.0,0,15,64,1,3,390,31734.0,conv.2,conv.3,conv_in,0.2272387217847769,1.5117785334587095,1.285021198540926,1.2909990581450983,0.7565407752990723,0.0008373338754911,0.0008240109976817,0.0008326861701003,0.0008373338754911,cvar,0.75,0.8530685927737716,7.160733654275443e-06,False,True,32.0
conv.0:out:16,conv.0,0,16,64,1,3,390,31734.0,conv.2,conv.3,conv_in,0.5545847870158348,0.9031683653593064,1.077568716555834,0.4682980949059129,0.6563431620597839,0.0002592026954453,0.000253983461606,0.0002562167240608,0.0002592026954453,cvar,0.75,0.1571442144583263,1.7476044211755052e-05,False,False,
conv.0:out:17,conv.0,0,17,64,1,3,390,31734.0,conv.2,conv.3,conv_in,0.0638172561041753,1.0125038772821426,0.0868668290328059,0.0033718669970739,0.7454679608345032,0.0001919245703834,0.0001900830720995,0.0001908120993,0.0001919245703834,cvar,0.75,0.0897966939761864,2.0110057384563968e-06,False,True,7.0
