module_path,channel_index
conv.0,51
conv.3,85
conv.0,27
conv.3,20
conv.3,71
conv.3,4
conv.0,17
conv.3,99
conv.3,60
conv.3,111
conv.0,4
conv.0,59
conv.3,10
conv.0,8
conv.0,36
conv.0,49
conv.0,58
conv.0,28
conv.3,75
conv.3,58
conv.3,33
conv.3,21
conv.0,35
conv.3,123
conv.3,44
conv.0,25
conv.0,50
conv.3,64
conv.3,96
conv.3,90
conv.0,38
conv.0,15
conv.3,34
conv.3,88
conv.0,47
conv.3,63
conv.3,26
conv.0,43
conv.3,24
conv.0,32
conv.3,110
conv.3,19
conv.3,66
conv.0,21
conv.3,50
conv.0,33
conv.0,10
conv.0,46
conv.3,47
conv.3,6
conv.0,40
conv.0,1
conv.0,14
conv.0,9
conv.0,56
conv.3,98
