module_path,channel_index
conv.3,126
conv.3,55
conv.3,110
conv.3,7
conv.3,91
conv.3,45
conv.3,97
conv.3,107
conv.3,47
conv.3,20
conv.3,54
conv.3,0
conv.3,37
conv.3,76
conv.3,36
conv.3,70
conv.3,2
conv.3,29
conv.3,12
conv.3,65
conv.0,5
conv.3,42
conv.3,13
conv.3,105
conv.3,49
conv.3,115
conv.3,100
conv.3,63
conv.3,117
conv.3,56
conv.3,94
conv.3,69
conv.3,46
conv.3,75
conv.3,43
conv.3,25
conv.3,72
conv.3,59
conv.3,31
conv.3,21
conv.3,113
conv.3,19
conv.0,30
conv.3,67
conv.3,82
conv.3,73
conv.3,40
conv.3,79
conv.3,51
conv.3,60
conv.3,127
conv.3,122
conv.3,71
conv.3,68
conv.3,9
conv.3,15
conv.3,121
conv.3,96
conv.3,57
conv.3,10
conv.3,98
conv.3,32
conv.3,78
conv.3,85
conv.0,45
conv.3,6
conv.3,22
conv.3,4
conv.3,53
conv.3,30
conv.3,95
conv.3,86
