method,score_column,budget,calibration_status,removed_groups_k,within_tolerance,parameters_m0,parameters_student,parameter_reduction_fraction,flops_per_item_m0,flops_reduction_fraction,pre_macro_f1,post_macro_f1,post_family_macro_f1,post_attack_to_benign,post_benign_to_attack,post_awbir,post_hsr_balanced_soc,post_ece15,epochs_run
random,random,0.25,ok,24,True,29730,22892,0.23000336360578544,2039680.0,0.25467328208346407,0.17177925525406929,0.5563512210964272,0.6726117084439752,0.08248397401952194,0.0006012024048096192,0.11929967552194991,0.172731327821605,0.21476798040179726,8
random,random,0.4,ok,40,True,29730,18860,0.36562394887319205,2039680.0,0.4028377000313774,0.09693225241470758,0.5606400881586209,0.6388289201280856,0.07449842387924045,0.0006012024048096192,0.10312862695858889,0.15285050787160015,0.15631017002033418,4
random,random,0.55,ok,56,True,29730,14908,0.4985536495122772,2039680.0,0.5504530122372137,0.030867673962181694,0.5425359121189129,0.6408811781644445,0.08111870875560596,0.0002672010688042752,0.1153010878609425,0.17195390830819313,0.19587208395748165,5
magnitude,magnitude,0.25,ok,17,True,29730,23100,0.2230070635721494,2039680.0,0.2644914888609978,0.01598262255901342,0.5589701850173854,0.6849537124686789,0.07621800340064662,0.00023380093520374083,0.12196186376584565,0.1657188945713542,0.19558838023284686,6
magnitude,magnitude,0.4,ok,26,True,29730,19590,0.3410696266397578,2039680.0,0.4045163947285849,0.009347539182114506,0.5635057486966543,0.6525746722268574,0.09505250205560038,0.00033400133600534405,0.12751711806993435,0.17878755327690518,0.20914125202491232,8
magnitude,magnitude,0.55,ok,36,True,29730,15690,0.47225025227043393,2039680.0,0.5600996234703484,0.009188441581175209,0.5462272336396063,0.6345448043003385,0.08864788672727238,0.0004342017368069472,0.12350974015600605,0.17903734708777194,0.2140832702356541,7
taylor,taylor,0.25,ok,25,True,29730,22845,0.23158425832492435,2039680.0,0.25377510197678066,0.2913429371170924,0.5807213912482281,0.6720588877251523,0.062218738987855106,0.0003006012024048096,0.10752298060998923,0.14943532397638246,0.17243802129792948,5
taylor,taylor,0.4,ok,42,True,29730,18784,0.3681802892700975,2039680.0,0.4003176968936304,0.15407218335102146,0.5509242013583485,0.6102789697563398,0.07234557964079466,0.0006680026720106881,0.09794603383565227,0.1559346967608734,0.1588435526581707,4
taylor,taylor,0.55,ok,59,True,29730,14607,0.508678102926337,2039680.0,0.5568579385001569,0.027911733461275713,0.5797712239836468,0.6597493681942277,0.07102267803810033,0.0006346025384101537,0.11454641333549175,0.1597831964504518,0.1982284376402781,8
fisher,fisher,0.25,ok,32,True,29730,22260,0.2512613521695257,2039680.0,0.256446109193599,0.4841940826242297,0.547447050546734,0.5939216954918505,0.07489317617698768,0.0006012024048096192,0.10431840995691395,0.15717383428037718,0.15497499827233216,4
fisher,fisher,0.4,ok,51,True,29730,18000,0.3945509586276489,2039680.0,0.4014129667398808,0.4593314385221621,0.5628702552595615,0.6294213425162446,0.0770960865605136,0.0016032064128256513,0.11673479907458476,0.16384398446617496,0.18716383321530677,8
fisher,fisher,0.55,ok,72,True,29730,13442,0.5478641103262698,2039680.0,0.5567853780985252,0.2538789935867572,0.567185532999616,0.6556608843264806,0.06639733648108173,6.68002672010688e-05,0.11111691151755503,0.1567751109233814,0.17969442653330103,6
saber_v2,v_c,0.25,ok,32,True,29730,22334,0.24877228388832828,2039680.0,0.2521375902102291,0.5135666223736917,0.5338317272840802,0.5944312391497049,0.06634534471503697,0.0002672010688042752,0.11270046650463053,0.15526505999967227,0.16894615926529616,4
saber_v2,v_c,0.4,ok,52,True,29730,17800,0.4012781701984527,2039680.0,0.4066657514904298,0.4045311783063265,0.5660173379153065,0.6592590444748612,0.05278512188217895,0.0004342017368069472,0.11252838432405773,0.1512348589811981,0.17811014424925373,6
saber_v2,v_c,0.55,ok,72,True,29730,13380,0.549949545913219,2039680.0,0.5566108409162221,0.3141698826303703,0.5687796143280168,0.676316706280183,0.06262889625331929,0.005076820307281229,0.11701980747805393,0.15653259973090725,0.19644320253896785,7
