module_path,channel_index,group_id
conv.3,126,conv.3:out:126
conv.3,91,conv.3:out:91
conv.3,97,conv.3:out:97
conv.3,55,conv.3:out:55
conv.3,37,conv.3:out:37
conv.3,70,conv.3:out:70
conv.3,19,conv.3:out:19
conv.3,24,conv.3:out:24
conv.3,94,conv.3:out:94
conv.3,48,conv.3:out:48
conv.3,30,conv.3:out:30
conv.3,45,conv.3:out:45
conv.3,49,conv.3:out:49
conv.3,72,conv.3:out:72
conv.3,54,conv.3:out:54
conv.3,2,conv.3:out:2
conv.3,63,conv.3:out:63
conv.3,22,conv.3:out:22
conv.3,82,conv.3:out:82
conv.3,0,conv.3:out:0
conv.3,124,conv.3:out:124
conv.3,7,conv.3:out:7
conv.3,127,conv.3:out:127
conv.3,53,conv.3:out:53
conv.3,110,conv.3:out:110
conv.3,76,conv.3:out:76
conv.3,56,conv.3:out:56
conv.3,12,conv.3:out:12
conv.3,36,conv.3:out:36
conv.3,111,conv.3:out:111
conv.3,40,conv.3:out:40
conv.3,90,conv.3:out:90
conv.3,43,conv.3:out:43
conv.3,107,conv.3:out:107
conv.3,20,conv.3:out:20
conv.0,17,conv.0:out:17
conv.3,75,conv.3:out:75
conv.3,113,conv.3:out:113
conv.3,26,conv.3:out:26
conv.3,121,conv.3:out:121
conv.3,98,conv.3:out:98
conv.3,57,conv.3:out:57
conv.3,71,conv.3:out:71
conv.0,45,conv.0:out:45
conv.3,29,conv.3:out:29
conv.3,115,conv.3:out:115
conv.3,99,conv.3:out:99
conv.3,65,conv.3:out:65
conv.3,66,conv.3:out:66
conv.3,86,conv.3:out:86
conv.3,81,conv.3:out:81
