module_path,channel_index,group_id
conv.0,28,conv.0:out:28
conv.0,36,conv.0:out:36
conv.0,22,conv.0:out:22
conv.0,45,conv.0:out:45
conv.0,40,conv.0:out:40
conv.0,21,conv.0:out:21
conv.0,3,conv.0:out:3
conv.0,61,conv.0:out:61
conv.0,5,conv.0:out:5
conv.0,8,conv.0:out:8
conv.0,39,conv.0:out:39
conv.0,16,conv.0:out:16
conv.0,2,conv.0:out:2
conv.0,1,conv.0:out:1
conv.0,20,conv.0:out:20
conv.0,42,conv.0:out:42
conv.0,18,conv.0:out:18
conv.0,57,conv.0:out:57
conv.0,7,conv.0:out:7
conv.0,13,conv.0:out:13
conv.0,17,conv.0:out:17
conv.0,55,conv.0:out:55
conv.0,30,conv.0:out:30
conv.0,56,conv.0:out:56
conv.0,43,conv.0:out:43
conv.0,60,conv.0:out:60
