module_path,channel_index,group_id
conv.3,126,conv.3:out:126
conv.3,55,conv.3:out:55
conv.3,110,conv.3:out:110
conv.3,7,conv.3:out:7
conv.3,91,conv.3:out:91
conv.3,45,conv.3:out:45
conv.3,97,conv.3:out:97
conv.3,107,conv.3:out:107
conv.3,47,conv.3:out:47
conv.3,20,conv.3:out:20
conv.3,54,conv.3:out:54
conv.3,0,conv.3:out:0
conv.3,37,conv.3:out:37
conv.3,76,conv.3:out:76
conv.3,36,conv.3:out:36
conv.3,70,conv.3:out:70
conv.3,2,conv.3:out:2
conv.3,29,conv.3:out:29
conv.3,12,conv.3:out:12
conv.3,65,conv.3:out:65
conv.3,42,conv.3:out:42
conv.3,13,conv.3:out:13
conv.3,105,conv.3:out:105
conv.3,49,conv.3:out:49
conv.3,115,conv.3:out:115
conv.3,100,conv.3:out:100
conv.3,63,conv.3:out:63
conv.3,117,conv.3:out:117
conv.3,56,conv.3:out:56
conv.3,94,conv.3:out:94
conv.3,69,conv.3:out:69
conv.3,46,conv.3:out:46
