module_path,channel_index,group_id
conv.3,126,conv.3:out:126
conv.3,91,conv.3:out:91
conv.3,97,conv.3:out:97
conv.3,37,conv.3:out:37
conv.3,19,conv.3:out:19
conv.3,55,conv.3:out:55
conv.3,70,conv.3:out:70
conv.0,17,conv.0:out:17
conv.0,45,conv.0:out:45
conv.3,30,conv.3:out:30
conv.3,24,conv.3:out:24
conv.0,8,conv.0:out:8
conv.3,94,conv.3:out:94
conv.3,45,conv.3:out:45
conv.3,48,conv.3:out:48
conv.3,22,conv.3:out:22
conv.3,72,conv.3:out:72
conv.3,49,conv.3:out:49
conv.3,124,conv.3:out:124
conv.3,56,conv.3:out:56
conv.3,54,conv.3:out:54
conv.3,2,conv.3:out:2
conv.0,37,conv.0:out:37
conv.3,63,conv.3:out:63
conv.3,7,conv.3:out:7
conv.3,110,conv.3:out:110
conv.3,82,conv.3:out:82
conv.3,0,conv.3:out:0
conv.3,127,conv.3:out:127
conv.0,23,conv.0:out:23
conv.3,36,conv.3:out:36
conv.3,43,conv.3:out:43
conv.3,53,conv.3:out:53
conv.0,18,conv.0:out:18
conv.3,111,conv.3:out:111
conv.3,76,conv.3:out:76
conv.3,12,conv.3:out:12
conv.0,61,conv.0:out:61
conv.0,46,conv.0:out:46
conv.0,5,conv.0:out:5
conv.3,107,conv.3:out:107
conv.0,21,conv.0:out:21
conv.3,40,conv.3:out:40
conv.0,57,conv.0:out:57
conv.3,90,conv.3:out:90
conv.0,22,conv.0:out:22
