set_id,architecture,budget,set_seed,module_path,channel_index,group_id
shallow_b25_s22276,shallow,0.25,22276,conv.3,102,conv.3:out:102
shallow_b25_s22276,shallow,0.25,22276,conv.3,101,conv.3:out:101
shallow_b25_s22276,shallow,0.25,22276,conv.0,15,conv.0:out:15
shallow_b25_s22276,shallow,0.25,22276,conv.0,18,conv.0:out:18
shallow_b25_s22276,shallow,0.25,22276,conv.3,120,conv.3:out:120
shallow_b25_s22276,shallow,0.25,22276,conv.3,40,conv.3:out:40
shallow_b25_s22276,shallow,0.25,22276,conv.0,63,conv.0:out:63
shallow_b25_s22276,shallow,0.25,22276,conv.3,82,conv.3:out:82
shallow_b25_s22276,shallow,0.25,22276,conv.0,12,conv.0:out:12
shallow_b25_s22276,shallow,0.25,22276,conv.3,114,conv.3:out:114
shallow_b25_s22276,shallow,0.25,22276,conv.3,100,conv.3:out:100
shallow_b25_s22276,shallow,0.25,22276,conv.3,21,conv.3:out:21
shallow_b25_s22276,shallow,0.25,22276,conv.0,56,conv.0:out:56
shallow_b25_s22276,shallow,0.25,22276,conv.3,11,conv.3:out:11
shallow_b25_s22276,shallow,0.25,22276,conv.3,122,conv.3:out:122
shallow_b25_s22276,shallow,0.25,22276,conv.0,46,conv.0:out:46
shallow_b25_s22276,shallow,0.25,22276,conv.3,98,conv.3:out:98
shallow_b25_s22276,shallow,0.25,22276,conv.3,36,conv.3:out:36
shallow_b25_s22276,shallow,0.25,22276,conv.3,46,conv.3:out:46
shallow_b25_s22276,shallow,0.25,22276,conv.0,42,conv.0:out:42
shallow_b25_s22276,shallow,0.25,22276,conv.3,78,conv.3:out:78
shallow_b25_s22276,shallow,0.25,22276,conv.0,35,conv.0:out:35
shallow_b25_s22276,shallow,0.25,22276,conv.0,31,conv.0:out:31
shallow_b25_s22276,shallow,0.25,22276,conv.3,61,conv.3:out:61
shallow_b25_s22276,shallow,0.25,22276,conv.3,65,conv.3:out:65
shallow_b25_s22277,shallow,0.25,22277,conv.0,35,conv.0:out:35
shallow_b25_s22277,shallow,0.25,22277,conv.3,30,conv.3:out:30
shallow_b25_s22277,shallow,0.25,22277,conv.0,33,conv.0:out:33
shallow_b25_s22277,shallow,0.25,22277,conv.3,39,conv.3:out:39
shallow_b25_s22277,shallow,0.25,22277,conv.0,50,conv.0:out:50
shallow_b25_s22277,shallow,0.25,22277,conv.0,1,conv.0:out:1
shallow_b25_s22277,shallow,0.25,22277,conv.3,8,conv.3:out:8
shallow_b25_s22277,shallow,0.25,22277,conv.0,56,conv.0:out:56
shallow_b25_s22277,shallow,0.25,22277,conv.0,38,conv.0:out:38
shallow_b25_s22277,shallow,0.25,22277,conv.3,118,conv.3:out:118
shallow_b25_s22277,shallow,0.25,22277,conv.3,2,conv.3:out:2
shallow_b25_s22277,shallow,0.25,22277,conv.3,42,conv.3:out:42
shallow_b25_s22277,shallow,0.25,22277,conv.3,28,conv.3:out:28
shallow_b25_s22277,shallow,0.25,22277,conv.3,51,conv.3:out:51
shallow_b25_s22277,shallow,0.25,22277,conv.3,104,conv.3:out:104
shallow_b25_s22277,shallow,0.25,22277,conv.3,53,conv.3:out:53
