architecture,regime,metric,method,best_count,probability_best
deep,minimal_ce,awbir,random,0,0.0
deep,minimal_ce,awbir,magnitude,1,0.2
deep,minimal_ce,awbir,taylor,2,0.4
deep,minimal_ce,awbir,fisher,1,0.2
deep,minimal_ce,awbir,saber_v2,1,0.2
deep,minimal_ce,hsr_balanced_soc,random,0,0.0
deep,minimal_ce,hsr_balanced_soc,magnitude,4,0.8
deep,minimal_ce,hsr_balanced_soc,taylor,0,0.0
deep,minimal_ce,hsr_balanced_soc,fisher,1,0.2
deep,minimal_ce,hsr_balanced_soc,saber_v2,0,0.0
deep,minimal_ce,benign_to_attack_rate,random,0,0.0
deep,minimal_ce,benign_to_attack_rate,magnitude,0,0.0
deep,minimal_ce,benign_to_attack_rate,taylor,3,0.6
deep,minimal_ce,benign_to_attack_rate,fisher,1,0.2
deep,minimal_ce,benign_to_attack_rate,saber_v2,2,0.4
deep,minimal_ce,attack_to_benign_rate,random,0,0.0
deep,minimal_ce,attack_to_benign_rate,magnitude,5,1.0
deep,minimal_ce,attack_to_benign_rate,taylor,0,0.0
deep,minimal_ce,attack_to_benign_rate,fisher,0,0.0
deep,minimal_ce,attack_to_benign_rate,saber_v2,0,0.0
deep,minimal_ce,fine_macro_f1,random,0,0.0
deep,minimal_ce,fine_macro_f1,magnitude,2,0.4
deep,minimal_ce,fine_macro_f1,taylor,3,0.6
deep,minimal_ce,fine_macro_f1,fisher,0,0.0
deep,minimal_ce,fine_macro_f1,saber_v2,0,0.0
deep,minimal_ce,family_macro_f1,random,0,0.0
deep,minimal_ce,family_macro_f1,magnitude,4,0.8
deep,minimal_ce,family_macro_f1,taylor,1,0.2
deep,minimal_ce,family_macro_f1,fisher,0,0.0
deep,minimal_ce,family_macro_f1,saber_v2,0,0.0
deep,standard_ce,awbir,random,0,0.0
deep,standard_ce,awbir,magnitude,0,0.0
deep,standard_ce,awbir,taylor,3,0.6
deep,standard_ce,awbir,fisher,1,0.2
deep,standard_ce,awbir,saber_v2,1,0.2
deep,standard_ce,hsr_balanced_soc,random,0,0.0
deep,standard_ce,hsr_balanced_soc,magnitude,5,1.0
deep,standard_ce,hsr_balanced_soc,taylor,0,0.0
deep,standard_ce,hsr_balanced_soc,fisher,0,0.0
deep,standard_ce,hsr_balanced_soc,saber_v2,0,0.0
deep,standard_ce,benign_to_attack_rate,random,2,0.4
deep,standard_ce,benign_to_attack_rate,magnitude,0,0.0
deep,standard_ce,benign_to_attack_rate,taylor,3,0.6
deep,standard_ce,benign_to_attack_rate,fisher,3,0.6
deep,standard_ce,benign_to_attack_rate,saber_v2,2,0.4
deep,standard_ce,attack_to_benign_rate,random,0,0.0
deep,standard_ce,attack_to_benign_rate,magnitude,5,1.0
deep,standard_ce,attack_to_benign_rate,taylor,0,0.0
deep,standard_ce,attack_to_benign_rate,fisher,0,0.0
deep,standard_ce,attack_to_benign_rate,saber_v2,0,0.0
deep,standard_ce,fine_macro_f1,random,0,0.0
deep,standard_ce,fine_macro_f1,magnitude,2,0.4
deep,standard_ce,fine_macro_f1,taylor,1,0.2
deep,standard_ce,fine_macro_f1,fisher,0,0.0
deep,standard_ce,fine_macro_f1,saber_v2,2,0.4
deep,standard_ce,family_macro_f1,random,1,0.2
deep,standard_ce,family_macro_f1,magnitude,4,0.8
deep,standard_ce,family_macro_f1,taylor,0,0.0
deep,standard_ce,family_macro_f1,fisher,0,0.0
deep,standard_ce,family_macro_f1,saber_v2,0,0.0
shallow,full_ce,awbir,random,1,0.2
shallow,full_ce,awbir,magnitude,1,0.2
shallow,full_ce,awbir,taylor,1,0.2
shallow,full_ce,awbir,fisher,2,0.4
shallow,full_ce,awbir,saber_v2,0,0.0
shallow,full_ce,hsr_balanced_soc,random,1,0.2
shallow,full_ce,hsr_balanced_soc,magnitude,0,0.0
shallow,full_ce,hsr_balanced_soc,taylor,1,0.2
shallow,full_ce,hsr_balanced_soc,fisher,2,0.4
shallow,full_ce,hsr_balanced_soc,saber_v2,1,0.2
shallow,full_ce,benign_to_attack_rate,random,2,0.4
shallow,full_ce,benign_to_attack_rate,magnitude,2,0.4
shallow,full_ce,benign_to_attack_rate,taylor,1,0.2
shallow,full_ce,benign_to_attack_rate,fisher,2,0.4
shallow,full_ce,benign_to_attack_rate,saber_v2,0,0.0
shallow,full_ce,attack_to_benign_rate,random,1,0.2
shallow,full_ce,attack_to_benign_rate,magnitude,0,0.0
shallow,full_ce,attack_to_benign_rate,taylor,1,0.2
shallow,full_ce,attack_to_benign_rate,fisher,2,0.4
shallow,full_ce,attack_to_benign_rate,saber_v2,1,0.2
shallow,full_ce,fine_macro_f1,random,4,0.8
shallow,full_ce,fine_macro_f1,magnitude,0,0.0
shallow,full_ce,fine_macro_f1,taylor,1,0.2
shallow,full_ce,fine_macro_f1,fisher,0,0.0
shallow,full_ce,fine_macro_f1,saber_v2,0,0.0
shallow,full_ce,family_macro_f1,random,1,0.2
shallow,full_ce,family_macro_f1,magnitude,0,0.0
shallow,full_ce,family_macro_f1,taylor,3,0.6
shallow,full_ce,family_macro_f1,fisher,0,0.0
shallow,full_ce,family_macro_f1,saber_v2,1,0.2
shallow,minimal_ce,awbir,random,0,0.0
shallow,minimal_ce,awbir,magnitude,0,0.0
shallow,minimal_ce,awbir,taylor,1,0.2
shallow,minimal_ce,awbir,fisher,4,0.8
shallow,minimal_ce,awbir,saber_v2,0,0.0
shallow,minimal_ce,hsr_balanced_soc,random,0,0.0
shallow,minimal_ce,hsr_balanced_soc,magnitude,0,0.0
shallow,minimal_ce,hsr_balanced_soc,taylor,0,0.0
shallow,minimal_ce,hsr_balanced_soc,fisher,3,0.6
shallow,minimal_ce,hsr_balanced_soc,saber_v2,2,0.4
shallow,minimal_ce,benign_to_attack_rate,random,0,0.0
shallow,minimal_ce,benign_to_attack_rate,magnitude,1,0.2
shallow,minimal_ce,benign_to_attack_rate,taylor,3,0.6
shallow,minimal_ce,benign_to_attack_rate,fisher,1,0.2
shallow,minimal_ce,benign_to_attack_rate,saber_v2,0,0.0
shallow,minimal_ce,attack_to_benign_rate,random,0,0.0
shallow,minimal_ce,attack_to_benign_rate,magnitude,0,0.0
shallow,minimal_ce,attack_to_benign_rate,taylor,1,0.2
shallow,minimal_ce,attack_to_benign_rate,fisher,3,0.6
shallow,minimal_ce,attack_to_benign_rate,saber_v2,1,0.2
shallow,minimal_ce,fine_macro_f1,random,1,0.2
shallow,minimal_ce,fine_macro_f1,magnitude,0,0.0
shallow,minimal_ce,fine_macro_f1,taylor,0,0.0
shallow,minimal_ce,fine_macro_f1,fisher,4,0.8
shallow,minimal_ce,fine_macro_f1,saber_v2,0,0.0
shallow,minimal_ce,family_macro_f1,random,0,0.0
shallow,minimal_ce,family_macro_f1,magnitude,1,0.2
shallow,minimal_ce,family_macro_f1,taylor,2,0.4
shallow,minimal_ce,family_macro_f1,fisher,2,0.4
shallow,minimal_ce,family_macro_f1,saber_v2,0,0.0
