architecture,method,target_flops,realised_flops,parameters,removed_groups,n,fine_accuracy,fine_macro_f1,binary_accuracy,binary_balanced_accuracy,binary_attack_recall,binary_attack_f1,family_accuracy,family_macro_f1,exact_attack_type_rate,attack_to_benign_rate,benign_to_attack_rate,same_family_attack_substitution_rate,cross_family_attack_substitution_rate,ece15,nll,brier,hsr_miss_sensitive,hsr_balanced_soc,hsr_alert_fatigue,awbir,teacher_correction_fine,teacher_degradation_fine,net_teacher_correction_fine,teacher_correction_family,teacher_degradation_family,net_teacher_correction_family,teacher_correction_binary,teacher_degradation_binary,net_teacher_correction_binary
shallow,random,0.4,0.3997813382491371,18728,results/saber/17b_calibrated_checkpoint_freeze/random_r40cal_removed_groups.csv,549253.0,0.17755751903039219,0.09113479850242655,0.9453020739076528,0.5158426711704124,0.9978510070034835,0.9718286218501421,0.40427999482934096,0.21161830983506436,0.18584360491649546,0.0021489929965165517,0.9661656646626586,0.23979372748226985,0.5722136746047182,0.47263117761775564,6.592434707065107,1.1941588319947847,0.3234964882607226,0.40358923847480127,0.37014709068498486,0.4303153632029778,0.022481442978008314,0.6003390058861763,-0.5778575629081679,0.04296926917103776,0.49411655466606463,-0.45114728549502686,0.019182416846152867,0.02296755775571549,-0.0037851409095626225
shallow,magnitude,0.4,0.4045163947285849,19590,results/saber/17b_calibrated_checkpoint_freeze/magnitude_r40cal_removed_groups.csv,549253.0,0.07702461342951245,0.009347539182114506,0.9454896013312627,0.5,1.0,0.9719811410806632,0.19329343672223911,0.06274337214060274,0.08146532052923766,0.0,1.0,0.12297208042163396,0.7955625990491284,0.8983359845027084,23.857669902010787,1.8113979018466253,0.40910381918715055,0.5072777026252019,0.45386224563179445,0.5507866495268183,0.00581517078650458,0.6842056392955523,-0.6783904685090477,0.0055894096163334565,0.6677232532184622,-0.6621338436021287,0.018333991803413,0.02193160528936574,-0.0035976134859527394
shallow,taylor,0.4,0.40106683401317855,18488,results/saber/17b_calibrated_checkpoint_freeze/taylor_r40cal_removed_groups.csv,549253.0,0.2261999479292785,0.16018634886087618,0.940074974556352,0.5130941795320175,0.9923206235930931,0.9690531082285598,0.4038521409987747,0.25280135643917867,0.23728849460729848,0.007679376406906817,0.9661322645290581,0.18789439124381635,0.5671377377419784,0.4631729374325184,6.221067359843457,1.1745879867496514,0.31814694988769593,0.39612346222961003,0.3621147267288481,0.2889319269149906,0.049891397953220104,0.5791065319625018,-0.5292151340092818,0.04591508831085128,0.4974902276364444,-0.4515751393255931,0.017214289225548154,0.026226529486411545,-0.009012240260863391
shallow,fisher,0.4,0.39915476937558836,18023,results/saber/17b_calibrated_checkpoint_freeze/fisher_r40cal_removed_groups.csv,549253.0,0.6334039140432551,0.47821018899243173,0.946969793519562,0.6707766076686889,0.9807649721844052,0.9722010927918685,0.8152126615603374,0.5182216944054611,0.6491210503106989,0.019235027815594833,0.6392117568470274,0.19229058390604511,0.1393533379676611,0.04441902977776704,1.1345696525157252,0.4766822512209169,0.1230774646049574,0.15450876007959902,0.15163321820727424,0.13475656836265243,0.037592876142688345,0.15960404403799341,-0.12201116789530507,0.031783167319978226,0.07199778608400864,-0.040214618764030416,0.008329494786555558,0.010446916084208916,-0.002117421297653358
shallow,saber_v2,0.4,0.39713778631942265,18040,results/saber/17b_calibrated_checkpoint_freeze/saber_v2_r40cal_removed_groups.csv,549253.0,0.6268786879634703,0.4441009775270044,0.9396562239987766,0.5440482378869589,0.9880630756403171,0.9687135397197585,0.780323457495908,0.47517511893977726,0.6572529476442915,0.01193692435968289,0.8999665998663995,0.1622913348982213,0.1685187930978042,0.054289261796859424,1.0856979888708267,0.45975525855482363,0.12879113389761487,0.1670093745505259,0.16844186558835364,0.11037459920733665,0.02523609338501565,0.15377248736010546,-0.1285363939750898,0.019821466610104997,0.09492528943856474,-0.07510382282845973,0.009483789801785334,0.018914780620224194,-0.00943099081843886
deep,random,0.4,0.4003793308957364,109756,results/saber/20b_depth_checkpoint_freeze/random_minimal_r40_removed_groups.csv,549253.0,0.37307215436237945,0.27818674591351356,0.944879682040881,0.5002439997158725,0.9992855946221257,0.9716568413503982,0.4910469310135766,0.2565416081135153,0.39451159512663847,0.0007144053778742299,0.9987975951903808,0.12477638726548344,0.47999761223000387,0.2597374883291793,5.894036621267025,0.9189236963222212,0.26086551492056786,0.32923698186445954,0.3054965562318276,0.20540030747225096,0.035176867490937694,0.30990272242482064,-0.27472585493388296,0.03873442657573104,0.3118835946276124,-0.27314916805188133,0.08834362306623723,0.054443034448605654,0.03390058861763158
deep,magnitude,0.4,0.400804165391492,127355,results/saber/20b_depth_checkpoint_freeze/magnitude_minimal_r40_removed_groups.csv,549253.0,0.02953830020045407,0.0016877013858728868,0.9454896013312627,0.5,1.0,0.9719811410806632,0.4042818154839391,0.06397604985713985,0.031241274530004064,0.0,1.0,0.3963486375268865,0.5724100879431094,0.9704616997734127,26.814847719361122,1.9409233995468262,0.3466887451380936,0.43237961376633355,0.4000629946490961,0.3655040985205352,1.6385891383387983e-05,0.6182760949871917,-0.6182597090958083,0.005818812095700889,0.3657330956772198,-0.3599142835815189,0.0890172652675543,0.05450675735954105,0.034510507908013244
deep,taylor,0.4,0.40293462985036166,102063,results/saber/20b_depth_checkpoint_freeze/taylor_minimal_r40_removed_groups.csv,549253.0,0.6730523092272596,0.48628580247171543,0.9524536051692025,0.8822267135669726,0.9610466135066905,0.9745041165381052,0.761397752948095,0.5334988901557627,0.6655369690340893,0.03895338649330943,0.1965931863727455,0.09343883168724834,0.20207081278535297,0.10188151033102526,1.9823203239105318,0.48798681508744235,0.1497612818379387,0.1755624457217348,0.15337740531230598,0.13163939108496486,0.11098710430348127,0.08573280437248408,0.02525429993099719,0.07225085707315208,0.07504920319051511,-0.002798346117363029,0.05354909304091193,0.01207458129495879,0.041474511745953145
deep,fisher,0.4,0.401746704009149,102055,results/saber/20b_depth_checkpoint_freeze/fisher_minimal_r40_removed_groups.csv,549253.0,0.6139101652608179,0.43001856707345104,0.9572910844364984,0.6989436411597176,0.9889026463808916,0.9776709139333574,0.7355572022364921,0.4717407384570629,0.6257247555905591,0.011097353619108323,0.5910153640614563,0.1286603647511231,0.2345175260392095,0.12426306988979027,1.8847587287356076,0.5201731106841118,0.149688000490363,0.1871920590329047,0.17580677756880708,0.13239054278575757,0.0846822866693491,0.11857013070479361,-0.03388784403544451,0.050035229666474286,0.07867412649544017,-0.028638896828965886,0.07982842151066995,0.03351643049742104,0.046311991013248906
deep,saber_v2,0.4,0.4009350385773883,96904,results/saber/20b_depth_checkpoint_freeze/saber_v2_minimal_r40_removed_groups.csv,549253.0,0.6183798722992865,0.4636231893714591,0.892747058277333,0.9426208325322294,0.8866444706756812,0.9398765667722323,0.7161617688023552,0.5009349316387742,0.5964591681702557,0.11335552932431886,0.0014028056112224449,0.10341932514687674,0.1867659773585487,0.1875624288002815,2.3241968693952466,0.6230465869968719,0.21178521859082547,0.2327299077110184,0.19366667091486073,0.09910767043256108,0.02914139749805645,0.058559534495032345,-0.029418136996975895,0.006168377778546499,0.0542027080416493,-0.0480343302631028,0.001835219834939454,0.020067254980855816,-0.018232035145916363
