method,regime,seed,epoch,eval_b2a,eval_family_f1,eval_fine_f1,eval_a2b,eval_awbir,eval_hsr,eval_ece,batch_b2a,batch_family_f1
random,minimal_ce,101,1,0.00025,0.5521873542060725,0.47009449624051414,0.05894505411193874,0.10584961807523507,0.19441938605942186,0.1875410506752933,0.00025,0.5931680011462058
random,minimal_ce,211,1,0.0005,0.5883194027903805,0.49655235291865196,0.05265252743503725,0.07471389034747535,0.18780701594200253,0.19107343295436902,0.001,0.6082842164440192
random,minimal_ce,307,1,0.00175,0.577291740999569,0.5030674116378615,0.04444570800401812,0.08485252766011803,0.18081481346213546,0.14979671998314897,0.00075,0.5982155680980602
random,minimal_ce,401,1,0.001,0.5366523359220553,0.46838533162143237,0.05389397471617293,0.136878974918865,0.1928671865013422,0.19056081066071015,0.00025,0.6012846790845191
random,minimal_ce,503,1,0.001,0.5472527018970545,0.4625178058927184,0.05233031974375012,0.1476780823365254,0.1916473402604043,0.19678295090305914,0.001,0.5892200561663755
random,full_ce,101,1,0.00025,0.5955106972654516,0.5218739003473515,0.05621576543280074,0.05680745598146776,0.18210770438815946,0.18699806369348798,0.00025,0.6167513838812643
random,full_ce,101,2,0.0005,0.5698647603990559,0.49713116797827733,0.05343909326964993,0.1044233330434393,0.18513905881923268,0.20377223816732654,0.0005,0.5876860719847139
random,full_ce,101,3,0.00125,0.6090622446825512,0.509103389017638,0.058689183298269554,0.07090088398716857,0.18474644363689488,0.22641002385843506,0.0005,0.602507666922821
random,full_ce,101,4,0.0005,0.5318914835961573,0.4795085368135631,0.058395405697390115,0.16625347311043498,0.19487408922408284,0.22074155344725752,0.00025,0.5889044549012863
random,full_ce,101,5,0.0005,0.57523339329862,0.4989536887517212,0.05625367222001099,0.09502106983249523,0.18697978488340242,0.2301933880572868,0.00075,0.6070853371475345
random,full_ce,101,6,0.00075,0.5665716400294596,0.49630517405416913,0.05625367222001099,0.14879280557149605,0.19138437939409433,0.22259594614456013,0.00075,0.6299179717447108
random,full_ce,211,1,0.00025,0.5541923916231332,0.5011139669574295,0.053041072003942306,0.07478563155403034,0.1874582275707164,0.1974278046584012,0.0,0.5745454523608683
random,full_ce,211,2,0.00025,0.6272922569832029,0.5313169783115358,0.052112355717291184,0.06260062627049885,0.18114899289640438,0.20353117649245295,0.0,0.6450180292169425
random,full_ce,211,3,0.0005,0.5502777571111559,0.4845545363099837,0.05509751521009837,0.1275917861513423,0.18999105202607697,0.20909983158245243,0.00025,0.6151349737206375
random,full_ce,211,4,0.43025,0.4656675218586968,0.43137943719396366,0.009069198840052311,0.0897667094237349,0.22242106608717882,0.14720983181260772,0.00025,0.6607321960683029
random,full_ce,211,5,0.0005,0.5881575305067227,0.5022517745388896,0.058802903659900305,0.09131810604016798,0.1832946805208086,0.23057500396362088,0.0005,0.6143574340196937
random,full_ce,211,6,0.00275,0.5728549308310896,0.48320389565450816,0.06102045071169993,0.18542446248162528,0.1959752378517558,0.21151181099330188,0.0005,0.6307658735172582
random,full_ce,307,1,0.0005,0.5828597498605886,0.4611284728086472,0.056973901177005744,0.11031706621834603,0.19836379905407134,0.2081645556783183,0.0,0.6309599845527736
random,full_ce,307,2,0.00075,0.6460263729390175,0.524261311418702,0.05461420367316768,0.0637959091282396,0.18468252953744452,0.2054461297638865,0.00025,0.6310423023027578
random,full_ce,307,3,0.0005,0.5995158343218058,0.5093294962846397,0.05779837379882868,0.09979819119365503,0.18321798360146818,0.20331724209883165,0.0005,0.6219421832532258
random,full_ce,307,4,0.0005,0.5568526101553799,0.4857471551591461,0.05589355774151362,0.17679954896081287,0.18713683095633754,0.23215834720596376,0.0005,0.6202237362774436
random,full_ce,307,5,0.0005,0.6177961203347819,0.514535841229673,0.05298421182312693,0.07263002767710222,0.18065411515494606,0.2136075979227293,0.00025,0.6820063192342215
random,full_ce,307,6,0.00025,0.5923942798286255,0.4984847034362289,0.0591819715320028,0.09364953848286724,0.18539106298277971,0.2265762067139358,0.00025,0.6158654051272059
random,full_ce,401,1,0.00025,0.5667288287678947,0.4978641633942439,0.05569454710865981,0.08866298107655528,0.18515001552199556,0.20816905982373188,0.00025,0.6109742468825207
random,full_ce,401,2,0.00025,0.5728108355208041,0.5080220277351986,0.05746668941073899,0.059785880632396794,0.18449991782472927,0.20188759462730307,0.00075,0.6005525804940893
random,full_ce,401,3,0.0,0.5406858968494137,0.48139693851741183,0.055078561816493246,0.12230459097064157,0.18728474644363688,0.2368341552653415,0.00025,0.5806892775243017
random,full_ce,401,4,0.0315,0.6088583902296789,0.4585746054427884,0.04037072837891625,0.08813893604841892,0.18903416665144904,0.2167636872900282,0.00025,0.6250597978317429
random,full_ce,401,5,0.00025,0.6181456514001606,0.510875414000368,0.06396770341729686,0.0636507169603853,0.18694143642373223,0.23251541575735196,0.0005,0.6443891363801606
random,full_ce,401,6,0.00075,0.6031571243979728,0.4980073533155378,0.06037603532912568,0.09035638338035325,0.18917295155311262,0.21422743159901841,0.00025,0.6169701297274477
random,full_ce,503,1,0.00075,0.5398091712089097,0.4844861353079186,0.05106044237220674,0.14996139435150088,0.18671499789996532,0.19109970754750258,0.0005,0.5680322335392453
random,full_ce,503,2,0.0,0.5687359412850914,0.5083764976461392,0.06476374594871212,0.08740155805209647,0.19249465860740306,0.21295553108261964,0.0,0.6185735996523373
random,full_ce,503,3,0.00025,0.5893947030161945,0.5066827568273811,0.06057504596197949,0.07956663654907421,0.18514636328774128,0.22623288644734849,0.00025,0.5999356852484403
random,full_ce,503,4,0.003,0.5837581396373923,0.46345495266427367,0.0462936638805178,0.08923738079151507,0.19555157867825643,0.23420255723579333,0.00025,0.6258582927576524
random,full_ce,503,5,0.00025,0.5697754071526012,0.48865094339975695,0.059608422888118115,0.15049019139316,0.18837493836854696,0.23576263038238512,0.0,0.6052154086338377
