method,regime,seed,raw_awbir,raw_family_f1,raw_b2a,awbir,fine_macro_f1,family_macro_f1,benign_to_attack_rate,attack_to_benign_rate,hsr_balanced_soc,ece15
random,minimal_ce,101,0.3199838169607676,0.10170348228779895,0.5395,0.10584961807523507,0.47009449624051414,0.5521873542060725,0.00025,0.05894505411193874,0.19441938605942186,0.1875410506752933
random,minimal_ce,211,0.3199838169607676,0.10170348228779895,0.5395,0.07471389034747535,0.49655235291865196,0.5883194027903805,0.0005,0.05265252743503725,0.18780701594200253,0.19107343295436902
random,minimal_ce,307,0.3199838169607676,0.10170348228779895,0.5395,0.08485252766011803,0.5030674116378615,0.577291740999569,0.00175,0.04444570800401812,0.18081481346213546,0.14979671998314897
random,minimal_ce,401,0.3199838169607676,0.10170348228779895,0.5395,0.136878974918865,0.46838533162143237,0.5366523359220553,0.001,0.05389397471617293,0.1928671865013422,0.19056081066071015
random,minimal_ce,503,0.3199838169607676,0.10170348228779895,0.5395,0.1476780823365254,0.4625178058927184,0.5472527018970545,0.001,0.05233031974375012,0.1916473402604043,0.19678295090305914
random,full_ce,101,0.3199838169607676,0.10170348228779895,0.5395,0.14879280557149605,0.49630517405416913,0.5665716400294596,0.00075,0.05625367222001099,0.19138437939409433,0.22259594614456013
random,full_ce,211,0.3199838169607676,0.10170348228779895,0.5395,0.18542446248162528,0.48320389565450816,0.5728549308310896,0.00275,0.06102045071169993,0.1959752378517558,0.21151181099330188
random,full_ce,307,0.3199838169607676,0.10170348228779895,0.5395,0.09364953848286724,0.4984847034362289,0.5923942798286255,0.00025,0.0591819715320028,0.18539106298277971,0.2265762067139358
random,full_ce,401,0.3199838169607676,0.10170348228779895,0.5395,0.09035638338035325,0.4980073533155378,0.6031571243979728,0.00075,0.06037603532912568,0.18917295155311262,0.21422743159901841
random,full_ce,503,0.3199838169607676,0.10170348228779895,0.5395,0.09286584089695868,0.506692525375248,0.6026864133921412,0.0005,0.0639108432364815,0.18706378627125145,0.24292258343823098
magnitude,minimal_ce,101,0.49304232843707224,0.05676391100400773,0.93025,0.09028501166119808,0.4509024193574578,0.534781423178477,0.00675,0.06305794052425087,0.20844031336169905,0.22099471795624517
magnitude,minimal_ce,211,0.49304232843707224,0.05676391100400773,0.93025,0.07103054653873321,0.4916127209405945,0.5977688930453585,0.00525,0.05412141543943443,0.18442139478826172,0.18228814821019268
magnitude,minimal_ce,307,0.49304232843707224,0.05676391100400773,0.93025,0.13073352366587584,0.4636204348729614,0.5423547550125292,0.0035,0.06026231496749493,0.19500739577436496,0.1958916913060599
magnitude,minimal_ce,401,0.49304232843707224,0.05676391100400773,0.93025,0.09721883404339855,0.47328658954645536,0.5679166542857781,0.003,0.053041072003942306,0.18819780500721317,0.19054956978792895
magnitude,minimal_ce,503,0.49304232843707224,0.05676391100400773,0.93025,0.08117342556130439,0.46709971061556255,0.5766585848579404,0.012,0.049553647580599304,0.19565566735450413,0.20278197846676085
magnitude,full_ce,101,0.49304232843707224,0.05676391100400773,0.93025,0.16982727420158808,0.4848882251981158,0.5492824352604504,0.00025,0.07077197172153674,0.19894085206625153,0.24974356477876275
magnitude,full_ce,211,0.49304232843707224,0.05676391100400773,0.93025,0.11087244779271561,0.5551287929387044,0.6390614003385607,0.00875,0.06581565929379656,0.19752013294132686,0.20680872034021464
magnitude,full_ce,307,0.49304232843707224,0.05676391100400773,0.93025,0.06719459327016714,0.5273300875019,0.6231581315995486,0.00075,0.050501317260855556,0.18165300122349848,0.22533913550581863
magnitude,full_ce,401,0.49304232843707224,0.05676391100400773,0.93025,0.0976155481951245,0.5344270034642096,0.6515021801331438,0.0005,0.06699076969731431,0.19082558755318565,0.2390690155124808
magnitude,full_ce,503,0.49304232843707224,0.05676391100400773,0.93025,0.08610616364197927,0.48560006007890805,0.5518267775073702,0.00025,0.05517332878451887,0.18948156534760138,0.23784982873190494
taylor,minimal_ce,101,0.10263506371532612,0.5471692530795592,0.02725,0.10546786000914538,0.517096876142067,0.5570993490683511,0.0005,0.05418775231705237,0.17697814137798798,0.14718586246930954
taylor,minimal_ce,211,0.10263506371532612,0.5471692530795592,0.02725,0.0615375340264618,0.5486422477435804,0.5956968948986483,0.00225,0.05597884801273668,0.17384452438779424,0.1332368600459431
taylor,minimal_ce,307,0.10263506371532612,0.5471692530795592,0.02725,0.10089522629245326,0.5217831556674967,0.5781969268339052,0.00075,0.043592805291787495,0.16771424919194317,0.13437687099812037
taylor,minimal_ce,401,0.10263506371532612,0.5471692530795592,0.02725,0.08598348427504754,0.5319356675021681,0.5919507172107782,0.0015,0.04564924849794356,0.17172622852029729,0.13593792186340523
taylor,minimal_ce,503,0.10263506371532612,0.5471692530795592,0.02725,0.08758028348025532,0.5224540512744856,0.5860092414240184,0.00075,0.04861545459714562,0.178115812348204,0.16225201754466456
taylor,full_ce,101,0.10263506371532612,0.5471692530795592,0.02725,0.11668843393004256,0.5017902475175373,0.5722542099133173,0.0015,0.06111521767972555,0.18443052537389748,0.2198504751895866
taylor,full_ce,211,0.10263506371532612,0.5471692530795592,0.02725,0.06553000376889159,0.5374481339558076,0.6650605829648149,0.05025,0.04543128447148462,0.17538759336023813,0.19480128128916468
taylor,full_ce,307,0.10263506371532612,0.5471692530795592,0.02725,0.10906478442155321,0.49455844062195453,0.5667043748676411,0.0005,0.06040446541953337,0.1886579865232556,0.2332928285466116
taylor,full_ce,401,0.10263506371532612,0.5471692530795592,0.02725,0.08016116001963891,0.530449069535818,0.6070135206228019,0.006,0.06010121112185137,0.18385164624459013,0.1968222483865163
taylor,full_ce,503,0.10263506371532612,0.5471692530795592,0.02725,0.07134020355399286,0.5082518791198462,0.5901239620327225,0.0005,0.06026231496749493,0.18122386369861762,0.22684085614175492
fisher,minimal_ce,101,0.07898694368742551,0.3645059126326152,0.47125,0.06556427844135235,0.5106278015946878,0.5754354886944004,0.00125,0.058423835787797807,0.18235788243457934,0.1837267617485804
fisher,minimal_ce,211,0.07898694368742551,0.3645059126326152,0.47125,0.05453724624862837,0.5277333304088415,0.5967529270203361,0.00175,0.05996853736661549,0.178893738244371,0.17195837331768873
fisher,minimal_ce,307,0.07898694368742551,0.3645059126326152,0.47125,0.1301380773879323,0.46867823638035405,0.558954448272112,0.002,0.05335380299842687,0.18702361169445408,0.1943508820384965
