kind,architecture,method,seed,unit,b2a_before,b2a_after,b2a_batchstats,family_f1_before,family_f1_after,family_f1_batchstats,awbir_before,awbir_after
collapsed,shallow,fisher,307,4,1.0,0.00375,0.003,0.2138778194717133,0.6366959930018566,0.6796881281203705,0.1859999749486075,0.1030402133507459
collapsed,shallow,fisher,307,8,1.0,0.00225,0.00275,0.2025110076636876,0.6033528014318037,0.643393689610094,0.2676254752110874,0.1111419584558804
collapsed,shallow,saber_v2,307,4,0.41675,0.00075,0.001,0.3217670444404519,0.6039199287629395,0.6514235996311459,0.34554769959245424,0.1034811669830395
collapsed,shallow,saber_v2,307,8,0.81675,0.00075,0.00075,0.24581850427176788,0.6050363807670293,0.6532020863103392,0.28041420849377496,0.11090149535560063
collapsed,deep,fisher,401,2,0.41,0.0,0.0,0.41109279259547366,0.6115868411084019,0.5948390114079793,0.13935997055880234,0.052127560866822145
collapsed,deep,saber_v2,401,2,0.39725,0.0,0.0,0.42960357075664296,0.5907656715615155,0.5761950983161888,0.11048790965114756,0.04919632655150792
healthy_control,deep,fisher,401,6,0.0,0.0,,0.6371650069593351,0.6089030071216158,,0.038410996099043186,0.07789430036419208
healthy_control,deep,saber_v2,401,6,0.0,0.0,,0.5960357825630068,0.5932128130141205,,0.08526186104552001,0.09193501568542845
healthy_control,shallow,fisher,307,7,0.00025,0.00125,,0.5872587510079694,0.6251516989209716,,0.10886187049069039,0.10850125267560004
healthy_control,shallow,saber_v2,307,7,0.0005,0.0005,,0.5708212235502931,0.6042953491716865,,0.11256212540770605,0.10990411349076969
