architecture,seed,unit,eval_b2a,batch_b2a,eval_family_f1,batch_family_f1,eval_awbir,bn_var_max
shallow,101,1,0.005,0.00725,0.6154088101277335,0.658235803923259,0.09177641897523373,0.42592835426330566
shallow,101,2,0.00275,0.00125,0.6642240733929531,0.6782978538500133,0.10284739500700961,0.3878709077835083
shallow,101,3,0.0015,0.00025,0.6365490911158687,0.6629747785091751,0.09753454052356553,0.446210652589798
shallow,101,4,0.00225,0.001,0.6439849576882319,0.6661519653875758,0.09859221731394087,0.4701811671257019
shallow,101,5,0.00125,0.0005,0.5989487921921463,0.6563222044423346,0.11320238087723017,0.4184284806251526
shallow,101,6,0.001,0.0005,0.5819241368550349,0.63067787352081,0.10642004836227928,0.524709939956665
shallow,101,7,0.00025,0.00025,0.6092520692654058,0.6503485964562118,0.1130949663141657,0.5417101979255676
shallow,101,8,0.001,0.0005,0.6756889872027566,0.6938071287454395,0.1039295877083685,0.6927447319030762
shallow,211,1,0.00425,0.00375,0.6812650273424335,0.6729324561662147,0.08765711260500475,0.4965667128562927
shallow,211,2,0.0015,0.002,0.6373854143702782,0.6880179635521123,0.10963835019900504,0.45550498366355896
shallow,211,3,0.00275,0.001,0.6231804537999,0.6488728046469606,0.09725012941669767,0.5647974610328674
shallow,211,4,0.001,0.00075,0.6154355564289904,0.6660079212386243,0.09541486819204195,0.534819483757019
shallow,211,5,0.00275,0.0015,0.6265687635103889,0.6299573414525628,0.09792336761401406,0.4605087637901306
shallow,211,6,0.00375,0.001,0.5928922416367016,0.6387237344258017,0.09719112163626371,0.6322001814842224
shallow,211,7,0.00025,0.0005,0.6575437080603782,0.6743265279991053,0.11175914145060069,0.5522923469543457
shallow,211,8,0.00075,0.0005,0.6141181009229909,0.6356263763066683,0.10152372624623096,0.6644410490989685
shallow,307,1,0.008,0.007,0.6623964290847049,0.6995366471554906,0.08893319379413624,0.7322349548339844
shallow,307,2,0.00625,0.003,0.6254082090950064,0.6687857078153545,0.0950488816575632,0.6391541957855225
shallow,307,3,0.00325,0.0025,0.5645496677579053,0.6394369350774683,0.11355347247951841,0.7358516454696655
shallow,307,4,1.0,0.00125,0.19223030156108314,0.6597969008102984,0.1335216210126074,1.3587929010391235
shallow,307,5,0.00225,0.00025,0.6126479594892784,0.656889787133122,0.09931114719655697,0.8607469797134399
shallow,307,6,0.00025,0.001,0.6087484685500479,0.6768353031130513,0.10739977368455975,0.6810914874076843
shallow,307,7,0.00175,0.0005,0.6055025823236553,0.6901811037118365,0.10817121579326057,0.737579882144928
shallow,307,8,1.0,0.00075,0.16797615492089418,0.6539723170755979,0.13175526526365886,1.4440882205963135
shallow,401,1,0.0155,0.01125,0.6202372539628896,0.6676063938375573,0.09770727414897827,0.36385342478752136
shallow,401,2,0.434,0.001,0.5208663007778491,0.6610358958134831,0.10775807534547957,0.7083160877227783
shallow,401,3,0.0045,0.00075,0.6555181080858439,0.6740862617279136,0.08416705186020952,0.38996201753616333
shallow,401,4,0.004,0.0015,0.6092087930735121,0.6717213074224991,0.10027784442460133,0.4492005407810211
shallow,401,5,0.0035,0.001,0.615827181199226,0.6760957559797306,0.10370625829345269,0.38012179732322693
shallow,401,6,0.0015,0.0005,0.6138552149652182,0.6635997156883975,0.09861324784661447,0.4532865285873413
shallow,401,7,0.001,0.00075,0.6266644658899144,0.6699275315557837,0.11062384120432255,0.43642762303352356
shallow,401,8,0.001,0.001,0.6325293021992128,0.6579987909768534,0.1078402083650246,0.4160381257534027
shallow,503,1,0.0045,0.00775,0.6401808659801613,0.6871800114720318,0.09916435646484076,0.502373218536377
shallow,503,2,0.0055,0.005,0.6038623031106002,0.6609763204724612,0.09870077104729268,0.49999797344207764
shallow,503,3,0.0025,0.00225,0.6063389809666729,0.6389724688579251,0.1031880556810339,0.545540988445282
shallow,503,4,0.00125,0.00075,0.6115591441228287,0.6501907035545306,0.10933287719233804,0.6284716725349426
shallow,503,5,0.00125,0.0005,0.6014982989428858,0.6518935754122022,0.09733896391083717,0.6442399024963379
shallow,503,6,0.00025,0.00025,0.5811482303189666,0.6284560122529217,0.10377699867508301,0.637978196144104
shallow,503,7,0.0,0.00025,0.5818946769422962,0.6519699708458422,0.11219769961771735,0.6120582222938538
shallow,503,8,0.0025,0.00075,0.6086131842940771,0.6583986788742876,0.09366088960821665,0.6578380465507507
deep,101,1,0.0,0.00075,0.6086260923135121,0.5671097669427801,0.04199171473782068,10.68065071105957
