architecture,method,regime,seed,checkpoint,sha256
shallow,random,minimal_ce,101,results/saber/34_iomt_factorial/checkpoints/shallow_random_minimal_ce_s101.pt,ba4a17c4eff325371882e7204caef11968cc8cbfb4edaa486b4aa57b4847f523
shallow,random,minimal_ce,211,results/saber/34_iomt_factorial/checkpoints/shallow_random_minimal_ce_s211.pt,6d4d10e6777d670a7f5ea577808813592fc4448f437b5397c290e994b76880c8
shallow,random,minimal_ce,307,results/saber/34_iomt_factorial/checkpoints/shallow_random_minimal_ce_s307.pt,8198c9deb137dc309612242148ece0a85f30bbe33e0fbb859b2eadf945abd29e
shallow,random,minimal_ce,401,results/saber/34_iomt_factorial/checkpoints/shallow_random_minimal_ce_s401.pt,42efed709c7bcb673d3a0bd6e80d7bd0e138efe89e346115f5301bbf7ccb206d
shallow,random,minimal_ce,503,results/saber/34_iomt_factorial/checkpoints/shallow_random_minimal_ce_s503.pt,aa0d64b2175ad3a51306571d9880d39cc795a800c0996079ee99293968122093
shallow,magnitude,minimal_ce,101,results/saber/34_iomt_factorial/checkpoints/shallow_magnitude_minimal_ce_s101.pt,6caeed26e6adac55dd4512cac667e67da26bf2e5ec25b018511471936517b38f
shallow,magnitude,minimal_ce,211,results/saber/34_iomt_factorial/checkpoints/shallow_magnitude_minimal_ce_s211.pt,ee13468b7546faad0755d6443e9a83cb03a49fcb165269d36e2c40cf7cee938f
shallow,magnitude,minimal_ce,307,results/saber/34_iomt_factorial/checkpoints/shallow_magnitude_minimal_ce_s307.pt,6357861316cd26612f000003609ab470ec7d8cc8e94f741f60a85c70baf879ee
shallow,magnitude,minimal_ce,401,results/saber/34_iomt_factorial/checkpoints/shallow_magnitude_minimal_ce_s401.pt,34809afda5cbffa9c8892f0c239bc39d012ff73fa130e845054e4586e361ab5c
shallow,magnitude,minimal_ce,503,results/saber/34_iomt_factorial/checkpoints/shallow_magnitude_minimal_ce_s503.pt,f96e89350961b4133e658bbea7be1d04f1bb39c6a3bf7ce17bad5f15dd2c2118
shallow,taylor,minimal_ce,101,results/saber/34_iomt_factorial/checkpoints/shallow_taylor_minimal_ce_s101.pt,aead05d2a79526b90232bc5bc49e05d42c9271b261e5cd83641ca18355c9e7bf
shallow,taylor,minimal_ce,211,results/saber/34_iomt_factorial/checkpoints/shallow_taylor_minimal_ce_s211.pt,23df39b04c9498b4d15af9503743865919d3bd127bc4b1a6e901a81fc3187f6b
shallow,taylor,minimal_ce,307,results/saber/34_iomt_factorial/checkpoints/shallow_taylor_minimal_ce_s307.pt,2c7f66b46366ce72bde5eb1b66507c7fef0412e0995f4afd1179ef67c0667596
shallow,taylor,minimal_ce,401,results/saber/34_iomt_factorial/checkpoints/shallow_taylor_minimal_ce_s401.pt,c677bde668f21fd724b6fb4e216c59021a7f11540d2b8c87958b5ddf37e55602
shallow,taylor,minimal_ce,503,results/saber/34_iomt_factorial/checkpoints/shallow_taylor_minimal_ce_s503.pt,68a7107c44921918a77fa8e26f64264808aa2661d054ba761a419d752a7bb0b4
shallow,fisher,minimal_ce,101,results/saber/34_iomt_factorial/checkpoints/shallow_fisher_minimal_ce_s101.pt,04e28813ab2b3e7b75ce9c10b669909b1795f8e75d5a937197c2603e5e60a24f
shallow,fisher,minimal_ce,211,results/saber/34_iomt_factorial/checkpoints/shallow_fisher_minimal_ce_s211.pt,01c76eb25822ac4b5f1368c59c1cc4d42c1321add5c283da14afcc01b7e79f92
shallow,fisher,minimal_ce,307,results/saber/34_iomt_factorial/checkpoints/shallow_fisher_minimal_ce_s307.pt,19b50b67f5e0dcdd38ff1ee1e5e7b6ba3990fd9740f637a7aea52817cff152f7
shallow,fisher,minimal_ce,401,results/saber/34_iomt_factorial/checkpoints/shallow_fisher_minimal_ce_s401.pt,fb7839a4f79941e73d8d0c9d3413dca4dcff03ce6bf9bce034581d3c2baff707
shallow,fisher,minimal_ce,503,results/saber/34_iomt_factorial/checkpoints/shallow_fisher_minimal_ce_s503.pt,cfbaee74a55a3312282a75d409174704005972fe76b6367ab2c2a69b3f183af3
shallow,saber_v2,minimal_ce,101,results/saber/34_iomt_factorial/checkpoints/shallow_saber_v2_minimal_ce_s101.pt,09f6f31d7995f140a0886da84fb807820c1769c64d8248b1251da5fc5fec960c
shallow,saber_v2,minimal_ce,211,results/saber/34_iomt_factorial/checkpoints/shallow_saber_v2_minimal_ce_s211.pt,2709dfc5160ab2f617e13b2f7ccca47aa1e6766c6ea082f199b0bd5d4ea3bb7b
shallow,saber_v2,minimal_ce,307,results/saber/34_iomt_factorial/checkpoints/shallow_saber_v2_minimal_ce_s307.pt,4e29cea650614c70281254bdcccdfc32a6548e183daf47b0bab140e081279397
shallow,saber_v2,minimal_ce,401,results/saber/34_iomt_factorial/checkpoints/shallow_saber_v2_minimal_ce_s401.pt,7333025d080d76e8805234d9c8fb08b166dc7d9eb99145db3b2b446843792264
shallow,saber_v2,minimal_ce,503,results/saber/34_iomt_factorial/checkpoints/shallow_saber_v2_minimal_ce_s503.pt,5248f551b1a6d08edb61d013ba1d1b234df67faa7b085aed91d29b777eaf9eb5
deep,random,minimal_ce,101,results/saber/34_iomt_factorial/checkpoints/deep_random_minimal_ce_s101.pt,40f5a0c3c9a0a5b46a6594be4f8f30e625ccdc1f26916c3eb4e0b74a894c7078
deep,random,minimal_ce,211,results/saber/34_iomt_factorial/checkpoints/deep_random_minimal_ce_s211.pt,fb2df92398f6d32c02fcf2ba19b8897010f23c6ddcdeb0b212667eda52c2fd57
deep,random,minimal_ce,307,results/saber/34_iomt_factorial/checkpoints/deep_random_minimal_ce_s307.pt,31324d50df0c3841dae4a92335a0b5201d3e6b53a947f8808e853de4142968dc
deep,random,minimal_ce,401,results/saber/34_iomt_factorial/checkpoints/deep_random_minimal_ce_s401.pt,109bae3c9f0c482dbc8537b7d913dc759b3739add190e7445592bb37c789f11c
deep,random,minimal_ce,503,results/saber/34_iomt_factorial/checkpoints/deep_random_minimal_ce_s503.pt,eb970c7fbe30352aa6b2ebb62786717d9a5278514a30739f79046600384f2ba3
deep,magnitude,minimal_ce,101,results/saber/34_iomt_factorial/checkpoints/deep_magnitude_minimal_ce_s101.pt,7599109985ea5661a3f633ef1723a8874fa971017da4fcbfdbbfa8b7a06a08a1
deep,magnitude,minimal_ce,211,results/saber/34_iomt_factorial/checkpoints/deep_magnitude_minimal_ce_s211.pt,1f87d327dd8982cb94d66c55143cf3ceb2d0e28aa9570aed0876fa58496ae9fa
deep,magnitude,minimal_ce,307,results/saber/34_iomt_factorial/checkpoints/deep_magnitude_minimal_ce_s307.pt,a9b4ad07693a25dad5f26a732c3a53474dfe1f5233fe20aa2ce1dda2c584a40d
deep,magnitude,minimal_ce,401,results/saber/34_iomt_factorial/checkpoints/deep_magnitude_minimal_ce_s401.pt,7492f20531c2b6418a54952c346603d74b986c6e129932c4d94bea24405eba50
deep,magnitude,minimal_ce,503,results/saber/34_iomt_factorial/checkpoints/deep_magnitude_minimal_ce_s503.pt,71697890bfabde0d178caecce7e2b28b60f322d47769f0ce5ea674a640ec3fd2
deep,taylor,minimal_ce,101,results/saber/34_iomt_factorial/checkpoints/deep_taylor_minimal_ce_s101.pt,ce34ab3de97d3471fe03c6e3d40ec63308e2cc7b2ea4d8ee61010f9cb5c4f16c
deep,taylor,minimal_ce,211,results/saber/34_iomt_factorial/checkpoints/deep_taylor_minimal_ce_s211.pt,b518d5526cb63e105e219178a59fd8eaa367913f54bedd321f1f64bb382c9e50
deep,taylor,minimal_ce,307,results/saber/34_iomt_factorial/checkpoints/deep_taylor_minimal_ce_s307.pt,a10d37ae684272eb3b1d045e3076d2d4166a480d86be67889d197a2f3c8f9ddb
deep,taylor,minimal_ce,401,results/saber/34_iomt_factorial/checkpoints/deep_taylor_minimal_ce_s401.pt,5a91c56038d8bb6c871a14971aa385ba4c66bf45db29d200f1b347a2aad8cb28
deep,taylor,minimal_ce,503,results/saber/34_iomt_factorial/checkpoints/deep_taylor_minimal_ce_s503.pt,b99347d3bf4cfd144d75e6e4eeb7b93b6d15a9577ae9b22c0d872c57b3bf43b6
deep,fisher,minimal_ce,101,results/saber/34_iomt_factorial/checkpoints/deep_fisher_minimal_ce_s101.pt,290463b624d0fb7e4f1dd1ae57715f59e1c02347d2a306092522a215d8b62453
deep,fisher,minimal_ce,211,results/saber/34_iomt_factorial/checkpoints/deep_fisher_minimal_ce_s211.pt,36ea1947b812dbe081c68e16e7ae137b421e0482c2fd815b436834df0e3a3407
deep,fisher,minimal_ce,307,results/saber/34_iomt_factorial/checkpoints/deep_fisher_minimal_ce_s307.pt,fe9b2145a5c8b451656d73b8aa384acf1b8e84a8e09155022bdeeed1a1806915
deep,fisher,minimal_ce,401,results/saber/34_iomt_factorial/checkpoints/deep_fisher_minimal_ce_s401.pt,69d019bb2b13ab1fd6513452e18bd719bcaf9673b2546c68a9bce7b38a504e1a
deep,fisher,minimal_ce,503,results/saber/34_iomt_factorial/checkpoints/deep_fisher_minimal_ce_s503.pt,1b0d1a715f7120a6db839964243dc24f1a8a230f992b9fa36ea7698df739d225
deep,saber_v2,minimal_ce,101,results/saber/34_iomt_factorial/checkpoints/deep_saber_v2_minimal_ce_s101.pt,ed7641ff8f78e7fae60b1c24fe413bca63032c27d24c158cae612630dca8bf1f
deep,saber_v2,minimal_ce,211,results/saber/34_iomt_factorial/checkpoints/deep_saber_v2_minimal_ce_s211.pt,73aaacf995298bded3b1ee9db1529db9f658c936644848a80489cad8011513fe
deep,saber_v2,minimal_ce,307,results/saber/34_iomt_factorial/checkpoints/deep_saber_v2_minimal_ce_s307.pt,d7e93774c2716ce8a5beb5eda1240a4a2bde0eba97bd0d7b1b26ba1d2f7b6c8b
deep,saber_v2,minimal_ce,401,results/saber/34_iomt_factorial/checkpoints/deep_saber_v2_minimal_ce_s401.pt,11ed7df4ce9924f621258af19bc4e8471643a586160759da0a516ed2de6666a8
deep,saber_v2,minimal_ce,503,results/saber/34_iomt_factorial/checkpoints/deep_saber_v2_minimal_ce_s503.pt,83edd0b93441701f3db6da9287fc42a5d060c475cc1623abb62b6b88970ecacc
deep,random,standard_ce,101,results/saber/34_iomt_factorial/checkpoints/deep_random_standard_ce_s101.pt,3e78c3742d5b5bad6311180bb2643bbc18aed2386224f60b33461bdfd1b529b7
deep,random,standard_ce,211,results/saber/34_iomt_factorial/checkpoints/deep_random_standard_ce_s211.pt,5473e9af0816fb5538450f1f09bb47f33751df50869050f480c3bf71089f60b0
deep,random,standard_ce,307,results/saber/34_iomt_factorial/checkpoints/deep_random_standard_ce_s307.pt,23b928e017df04945240cc4f66860cf63da482c83776fd0d0e7d9c5ef3b6734f
deep,random,standard_ce,401,results/saber/34_iomt_factorial/checkpoints/deep_random_standard_ce_s401.pt,ace13fd405f4fb295ab321d77b61aa817ee1268351eac258e9c66129236fbc31
deep,random,standard_ce,503,results/saber/34_iomt_factorial/checkpoints/deep_random_standard_ce_s503.pt,c9af967cfc8b921077f69c704c6aca8d6575d9669d9945f6d3083d5b1e330b77
deep,magnitude,standard_ce,101,results/saber/34_iomt_factorial/checkpoints/deep_magnitude_standard_ce_s101.pt,96c89b3b93224c6e863942b26059151916e7dd868e4f14bb3c20c92ffc265b65
deep,magnitude,standard_ce,211,results/saber/34_iomt_factorial/checkpoints/deep_magnitude_standard_ce_s211.pt,87fa2aa35acf4c0298f181d93aa06360f7ef3c09110e302e1fab56e909d710af
deep,magnitude,standard_ce,307,results/saber/34_iomt_factorial/checkpoints/deep_magnitude_standard_ce_s307.pt,ed68ef0ec809294e7fa48ae08a1f4364322ec5d1ef88d69fa693374c0dc38d54
deep,magnitude,standard_ce,401,results/saber/34_iomt_factorial/checkpoints/deep_magnitude_standard_ce_s401.pt,f0dd7e6a49b2cc2b31a32b391aba3d9472ee72c741ce0e0391809a72c4f80c2b
deep,magnitude,standard_ce,503,results/saber/34_iomt_factorial/checkpoints/deep_magnitude_standard_ce_s503.pt,ff021995a46df37d24d3d3c005dd163bca585c2d2a1eb9720b4be3438076db1a
deep,taylor,standard_ce,101,results/saber/34_iomt_factorial/checkpoints/deep_taylor_standard_ce_s101.pt,5703cea8604ef88255d8d57f3e4c060bbd786db688043ac354249b1d5a23ae5e
deep,taylor,standard_ce,211,results/saber/34_iomt_factorial/checkpoints/deep_taylor_standard_ce_s211.pt,46b3ef7b103e4dd7589142e5fa48ae6ed8862b39b7d24a87c12f1b6ea4a8c580
deep,taylor,standard_ce,307,results/saber/34_iomt_factorial/checkpoints/deep_taylor_standard_ce_s307.pt,b515d8196fb492efb135acdf30b3609ffacc51579c86c7b5c869cf872de260b4
deep,taylor,standard_ce,401,results/saber/34_iomt_factorial/checkpoints/deep_taylor_standard_ce_s401.pt,13acceedbfb62b48e91a01b1ac1a9e9a846cec9e2cde4e2bb3c09bf390a9d4c6
deep,taylor,standard_ce,503,results/saber/34_iomt_factorial/checkpoints/deep_taylor_standard_ce_s503.pt,c8bc87f1dc060a1e455a80f548ea65930dd36ad1a982ae41e32f4055dd8aaf5e
deep,fisher,standard_ce,101,results/saber/34_iomt_factorial/checkpoints/deep_fisher_standard_ce_s101.pt,3b8baef714c000e4022fb81d121e18942aad73f8ec2f2df756791df428ce3874
deep,fisher,standard_ce,211,results/saber/34_iomt_factorial/checkpoints/deep_fisher_standard_ce_s211.pt,32c39d7b03bd3a874892f32c95e17bd7c4d574716767b0a8cb2cb16b2a2d7296
deep,fisher,standard_ce,307,results/saber/34_iomt_factorial/checkpoints/deep_fisher_standard_ce_s307.pt,67706f18d18f981cb149479289aa2d4ff06b104328137e4fe592cbbd9c31d376
deep,fisher,standard_ce,401,results/saber/34_iomt_factorial/checkpoints/deep_fisher_standard_ce_s401.pt,2e04221409223ac95bbecc76ea31cd2641ef9c032009a7e02a789891e1327d23
deep,fisher,standard_ce,503,results/saber/34_iomt_factorial/checkpoints/deep_fisher_standard_ce_s503.pt,223fc8e9aca40d5ee1834724e5c2f459b67d205e40311cb2b305e4a86c43a81a
deep,saber_v2,standard_ce,101,results/saber/34_iomt_factorial/checkpoints/deep_saber_v2_standard_ce_s101.pt,9486f4e93c4e42da0d5563d4d3ba4a8f1b36c28e8c94e1f0da7015704827f307
deep,saber_v2,standard_ce,211,results/saber/34_iomt_factorial/checkpoints/deep_saber_v2_standard_ce_s211.pt,97bc37c3d618e17f40e0f43dbe012d40a4877262c5b33953d94d97eea939dd50
deep,saber_v2,standard_ce,307,results/saber/34_iomt_factorial/checkpoints/deep_saber_v2_standard_ce_s307.pt,b39093791d0941b4398ce7263c1c0652f3d300e1f4173cf814d9c7a93151bb21
deep,saber_v2,standard_ce,401,results/saber/34_iomt_factorial/checkpoints/deep_saber_v2_standard_ce_s401.pt,bf6a1ba1fcd7b49a1df42d6e166217a51c49a2a7e3832d3d3d9c9743fd7d6e0a
deep,saber_v2,standard_ce,503,results/saber/34_iomt_factorial/checkpoints/deep_saber_v2_standard_ce_s503.pt,c16a7ca288467098d2c0a7d22aa93c27a74d1fda4b3ff2e46dc14cd1a601dff3
shallow,random,full_ce,101,results/saber/34_iomt_factorial/checkpoints/shallow_random_full_ce_s101.pt,d511f77a2c4ece3c2ccf7c88f49cb5849c426057a9a3e1321e15098b6b66bad4
shallow,random,full_ce,211,results/saber/34_iomt_factorial/checkpoints/shallow_random_full_ce_s211.pt,c1ed06dae00cd2dd3497da3c75a4111725dac010f2ead92e90768240197b1068
shallow,random,full_ce,307,results/saber/34_iomt_factorial/checkpoints/shallow_random_full_ce_s307.pt,298d9249371872df66187038bcd6370da607d80b56b4d19d93aebde6d2d4b841
shallow,random,full_ce,401,results/saber/34_iomt_factorial/checkpoints/shallow_random_full_ce_s401.pt,f6a85018d5fb645e1010f854e85e27f561d14db20c9b5dff41af6c88aeb51ff7
shallow,random,full_ce,503,results/saber/34_iomt_factorial/checkpoints/shallow_random_full_ce_s503.pt,f893f9c7f1ee755a89ae6dec5e118dd593386efdd86477bdf0c45f80f691dddd
shallow,magnitude,full_ce,101,results/saber/34_iomt_factorial/checkpoints/shallow_magnitude_full_ce_s101.pt,c5d0e8a2e1f40659969016829615f4832af0de5dee2e990f759adf861c1340a6
shallow,magnitude,full_ce,211,results/saber/34_iomt_factorial/checkpoints/shallow_magnitude_full_ce_s211.pt,10745bda5f8c588759b49e91ee71c7b5b64666b76090abcf495e0a10807c9a66
shallow,magnitude,full_ce,307,results/saber/34_iomt_factorial/checkpoints/shallow_magnitude_full_ce_s307.pt,adf4cd9dc7e177c03818be3567ee520c729f0751257a319a86ad79f880f347ee
shallow,magnitude,full_ce,401,results/saber/34_iomt_factorial/checkpoints/shallow_magnitude_full_ce_s401.pt,776aeb15dca8464867f791699ecda87b6cf6d9cd4962cb40eaa91ed43e8cb62a
shallow,magnitude,full_ce,503,results/saber/34_iomt_factorial/checkpoints/shallow_magnitude_full_ce_s503.pt,779faa905e39b2c4e6bae9278174ecfa5ba866f0be76a6cd56e8673fa19569a2
shallow,taylor,full_ce,101,results/saber/34_iomt_factorial/checkpoints/shallow_taylor_full_ce_s101.pt,5ca7a321b167f87535be6febe772aaee70f7fee76313ae0c16e35ad02cb38ff1
shallow,taylor,full_ce,211,results/saber/34_iomt_factorial/checkpoints/shallow_taylor_full_ce_s211.pt,2ee128a24a6bcd4b3651543923b02389b6c6aa0cd2ea039d58acbdad21362d00
shallow,taylor,full_ce,307,results/saber/34_iomt_factorial/checkpoints/shallow_taylor_full_ce_s307.pt,8d41dbad7a9dde82b251574d7528f4f1320a992899826a164bec645fa3a5a5df
shallow,taylor,full_ce,401,results/saber/34_iomt_factorial/checkpoints/shallow_taylor_full_ce_s401.pt,889ae003b5780e0e5461e7b038da6d3db1da8a7f98a74f62788614db0caf1d9d
shallow,taylor,full_ce,503,results/saber/34_iomt_factorial/checkpoints/shallow_taylor_full_ce_s503.pt,fde769e32156d6b6718c8ec44e0251eba7e2ca1ba72d41e27869182055a06bf0
shallow,fisher,full_ce,101,results/saber/34_iomt_factorial/checkpoints/shallow_fisher_full_ce_s101.pt,ecd715b48ac2dfc1db5a0943cf620f4b54e59d3ececa8c67224eca733e6b7651
shallow,fisher,full_ce,211,results/saber/34_iomt_factorial/checkpoints/shallow_fisher_full_ce_s211.pt,17a6bb6bd9e95e45298f544e4a934fe013daf74927d86cdee39c88aa8f3a2687
shallow,fisher,full_ce,307,results/saber/34_iomt_factorial/checkpoints/shallow_fisher_full_ce_s307.pt,6070c493d0c3485a72b9640b9796f07396d910a05cc4ac701233f6789fbd5438
shallow,fisher,full_ce,401,results/saber/34_iomt_factorial/checkpoints/shallow_fisher_full_ce_s401.pt,ec1eae2f0214d1ecf46223f15c6a1a5b88c9832ac42790daaf35d15059028a4c
shallow,fisher,full_ce,503,results/saber/34_iomt_factorial/checkpoints/shallow_fisher_full_ce_s503.pt,1e10277bec66f143d24be51d7266802a8728b94180e67c8752ca4b5b6a8e4819
shallow,saber_v2,full_ce,101,results/saber/34_iomt_factorial/checkpoints/shallow_saber_v2_full_ce_s101.pt,3a72312cc69635d5b38ea90bd34f65c7c2806476b026268f12d441a960d749cb
shallow,saber_v2,full_ce,211,results/saber/34_iomt_factorial/checkpoints/shallow_saber_v2_full_ce_s211.pt,f12cddca53c0297d4d8c9f869477c344eb4b971de8bd348935ae445af0bd96c2
shallow,saber_v2,full_ce,307,results/saber/34_iomt_factorial/checkpoints/shallow_saber_v2_full_ce_s307.pt,1686e6d481b7ae067786d7ff750f6c9f68e92b31f1bf0cba4e62f82b2560e896
shallow,saber_v2,full_ce,401,results/saber/34_iomt_factorial/checkpoints/shallow_saber_v2_full_ce_s401.pt,bb5c6db42cadcfc8eeda18ab6618fc39e7ddd7591bbab79ebdbd6c8c6285004d
shallow,saber_v2,full_ce,503,results/saber/34_iomt_factorial/checkpoints/shallow_saber_v2_full_ce_s503.pt,c877503743aed640719dd94df1f29871d8c0fedda747b5ff8acdc9ec9f1a3dd1
