architecture,regime,normalisation,contrast,mean,ci_lo,ci_hi
shallow,minimal_ce,trained,random-magnitude,-0.001931782557664638,-0.01689487042851463,0.013031305313185354
shallow,minimal_ce,trained,random-taylor,0.01578749977858404,-0.004992685989200135,0.03656768554636822
shallow,minimal_ce,trained,random-fisher,0.003937499936696942,-0.012690339854610624,0.02056533972800451
shallow,minimal_ce,trained,random-saber_v2,0.006624397599470621,-0.028561549764605246,0.04181034496354649
shallow,minimal_ce,trained,magnitude-taylor,0.017719282336248678,-0.010777375106912273,0.04621593977940963
shallow,minimal_ce,trained,magnitude-fisher,0.00586928249436158,-0.02196240586599678,0.03370097085471994
shallow,minimal_ce,trained,magnitude-saber_v2,0.00855618015713526,-0.023475185417060805,0.040587545731331325
shallow,minimal_ce,trained,taylor-fisher,-0.011849999841887098,-0.030847368781633366,0.007147369097859169
shallow,minimal_ce,trained,taylor-saber_v2,-0.00916310217911342,-0.05603742423918508,0.03771121988095824
shallow,minimal_ce,trained,fisher-saber_v2,0.0026868976627736794,-0.031751863959029895,0.03712565928457725
shallow,minimal_ce,recal,random-magnitude,-0.0031290676045094582,-0.01709135844558043,0.010833223236561516
shallow,minimal_ce,recal,random-taylor,0.010806077857707038,-0.007936378481335687,0.029548534196749764
shallow,minimal_ce,recal,random-fisher,0.01329584708030832,0.00028752943866389505,0.026304164721952746
shallow,minimal_ce,recal,random-saber_v2,0.011936776394477138,-0.013989506764995555,0.037863059553949835
shallow,minimal_ce,recal,magnitude-taylor,0.013935145462216497,0.0019136039273936756,0.02595668699703932
shallow,minimal_ce,recal,magnitude-fisher,0.016424914684817778,-0.005377180879266374,0.03822701024890193
shallow,minimal_ce,recal,magnitude-saber_v2,0.015065843998986597,-0.018777583742816017,0.04890927174078921
shallow,minimal_ce,recal,taylor-fisher,0.0024897692226012818,-0.01710579241155185,0.02208533085675441
shallow,minimal_ce,recal,taylor-saber_v2,0.0011306985367701,-0.028822963574668334,0.031084360648208534
shallow,minimal_ce,recal,fisher-saber_v2,-0.0013590706858311818,-0.02415198075494391,0.02143383938328155
deep,minimal_ce,trained,random-magnitude,-0.0031887354150720386,-0.03450128671520185,0.028123815885057774
deep,minimal_ce,trained,random-taylor,-0.010256792144427878,-0.057089292392995816,0.036575708104140056
deep,minimal_ce,trained,random-fisher,0.020425532173826012,-0.00810113168151273,0.04895219602916476
deep,minimal_ce,trained,random-saber_v2,0.01011426466381594,-0.022875973712751192,0.04310450304038307
deep,minimal_ce,trained,magnitude-taylor,-0.00706805672935584,-0.0397492922724636,0.025613178813751917
deep,minimal_ce,trained,magnitude-fisher,0.023614267588898053,0.004688265879116058,0.042540269298680045
deep,minimal_ce,trained,magnitude-saber_v2,0.013303000078887978,-0.011243698652393507,0.03784969881016946
deep,minimal_ce,trained,taylor-fisher,0.03068232431825389,0.004917952659328879,0.0564466959771789
deep,minimal_ce,trained,taylor-saber_v2,0.020371056808243818,-0.024387175955089165,0.06512928957157679
deep,minimal_ce,trained,fisher-saber_v2,-0.010311267510010075,-0.032826020289283775,0.012203485269263625
deep,minimal_ce,recal,random-magnitude,-0.017331567522045475,-0.04192874510774519,0.007265610063654237
deep,minimal_ce,recal,random-taylor,-0.0008134881614991568,-0.03438000123994521,0.0327530249169469
deep,minimal_ce,recal,random-fisher,0.006512015558066281,-0.039921585082805834,0.0529456161989384
deep,minimal_ce,recal,random-saber_v2,-0.00023800214906125882,-0.05147270536834933,0.050996701070226816
deep,minimal_ce,recal,magnitude-taylor,0.016518079360546317,-0.019258363583492265,0.052294522304584895
deep,minimal_ce,recal,magnitude-fisher,0.023843583080111756,-0.006771227871819763,0.05445839403204328
deep,minimal_ce,recal,magnitude-saber_v2,0.017093565372984214,-0.02337028144608937,0.0575574121920578
deep,minimal_ce,recal,taylor-fisher,0.007325503719565437,-0.02356249102865144,0.03821349846778232
deep,minimal_ce,recal,taylor-saber_v2,0.000575486012437898,-0.031871654565880946,0.03302262659075674
deep,minimal_ce,recal,fisher-saber_v2,-0.006750017707127539,-0.039109993395963084,0.025609957981708002
deep,standard_ce,trained,random-magnitude,0.01730752159072911,-0.05600984608809424,0.09062488926955246
deep,standard_ce,trained,random-taylor,0.028087696723835175,-0.017953742017833223,0.07412913546550357
deep,standard_ce,trained,random-fisher,0.01593833936193463,-0.00854842530428166,0.04042510402815092
deep,standard_ce,trained,random-saber_v2,0.016101985683149835,-0.01762360826571545,0.04982757963201512
deep,standard_ce,trained,magnitude-taylor,0.010780175133106062,-0.03594648436049616,0.05750683462670829
