module_path,channel_index
conv.10,138
conv.10,3
conv.3,29
conv.0,61
conv.3,112
conv.3,120
conv.7,64
conv.10,163
conv.10,166
conv.7,71
conv.7,47
conv.7,99
conv.3,11
conv.10,181
conv.7,2
conv.0,9
conv.7,92
conv.7,24
conv.7,59
conv.10,39
conv.10,93
conv.0,36
conv.10,218
conv.7,36
conv.10,7
conv.10,99
conv.10,41
conv.7,127
conv.7,117
conv.10,5
conv.7,73
conv.0,39
conv.3,21
conv.7,126
conv.7,106
conv.7,100
conv.10,8
conv.10,241
conv.10,239
conv.3,47
conv.10,240
conv.7,18
conv.3,76
conv.10,9
conv.0,55
conv.7,65
conv.7,83
conv.10,184
conv.10,189
conv.10,242
conv.10,94
conv.7,89
conv.7,74
conv.7,50
conv.10,229
conv.10,157
conv.7,55
conv.10,69
conv.10,118
conv.3,32
conv.3,62
conv.7,87
conv.0,31
conv.7,86
conv.7,48
conv.10,56
conv.3,90
conv.10,17
conv.7,6
conv.10,245
conv.3,51
conv.10,213
conv.10,123
conv.7,78
conv.3,79
conv.0,16
conv.7,35
conv.10,177
conv.10,120
conv.10,1
conv.10,202
conv.7,32
conv.0,2
conv.0,48
conv.3,85
conv.3,6
conv.7,30
conv.7,62
conv.10,132
conv.10,109
conv.7,28
conv.10,46
conv.0,28
conv.10,139
conv.7,98
conv.3,23
conv.10,167
conv.7,107
conv.10,130
conv.10,182
conv.10,91
conv.10,34
conv.7,37
conv.10,238
conv.10,232
conv.10,20
conv.3,27
conv.7,25
conv.3,92
conv.0,54
conv.0,52
conv.7,38
conv.3,43
conv.10,22
conv.10,117
conv.10,64
conv.3,104
conv.3,63
conv.0,18
conv.10,52
conv.10,249
conv.10,172
conv.3,118
conv.10,95
