module_path,channel_index
conv.7,89
conv.7,88
conv.7,53
conv.10,42
conv.10,250
conv.10,2
conv.10,39
conv.10,179
conv.10,97
conv.7,57
conv.10,10
conv.10,210
conv.10,197
conv.3,108
conv.0,39
conv.10,183
conv.3,1
conv.10,72
conv.10,70
conv.10,44
conv.10,106
conv.10,125
conv.10,196
conv.10,245
conv.10,56
conv.10,182
conv.10,216
conv.10,174
conv.10,223
conv.10,218
conv.10,107
conv.10,4
conv.10,162
conv.10,217
conv.10,52
conv.10,92
conv.10,81
conv.10,32
conv.7,62
conv.10,246
conv.3,109
conv.10,84
conv.10,170
conv.10,48
conv.10,215
conv.3,9
conv.3,71
conv.10,29
conv.10,158
conv.10,163
conv.10,148
conv.10,132
conv.10,248
conv.10,102
conv.10,75
conv.10,221
conv.10,103
conv.10,13
conv.3,51
conv.10,191
conv.3,117
conv.10,6
conv.10,40
conv.10,47
conv.10,117
conv.3,118
conv.10,186
conv.10,7
conv.0,7
conv.10,143
conv.7,111
conv.10,5
conv.10,149
conv.3,124
conv.10,222
conv.10,139
conv.0,18
conv.10,242
conv.3,105
conv.0,14
conv.10,34
conv.7,76
conv.10,100
conv.10,135
conv.10,66
conv.3,119
conv.10,229
conv.7,14
conv.3,126
conv.3,76
conv.3,24
conv.10,124
conv.10,188
conv.10,24
conv.10,35
conv.10,119
conv.7,48
conv.10,121
conv.7,59
conv.10,241
conv.10,111
conv.10,235
conv.10,14
conv.10,155
conv.10,159
conv.10,99
conv.0,55
conv.10,173
conv.10,114
conv.10,108
conv.3,16
conv.10,86
conv.10,140
conv.10,201
conv.10,49
conv.10,164
conv.0,51
conv.10,53
conv.10,138
conv.0,61
conv.10,123
conv.10,68
conv.10,175
conv.10,57
conv.10,156
conv.3,32
conv.7,26
conv.7,93
conv.7,127
conv.10,30
conv.7,21
conv.10,101
conv.10,167
conv.10,45
conv.10,240
conv.7,51
conv.10,137
conv.10,253
conv.7,25
conv.10,54
conv.10,214
conv.10,254
conv.10,161
conv.10,127
conv.10,65
conv.0,9
conv.10,50
conv.3,40
conv.3,66
conv.10,244
conv.3,113
conv.7,19
conv.7,18
conv.10,198
