matching,method,k,flop_reduction,param_reduction,parameters,within_tolerance,raw_b2a,raw_a2b,raw_family_f1,raw_fine_f1,raw_awbir,raw_hsr_balanced
flops,random,123,0.4003793308957364,0.39922272702392025,109756,True,0.99975,0.00045488144652299997,0.2421576126742941,0.27540346840462826,0.20593646295940188,0.3506619674585928
flops,magnitude,137,0.40025449801072754,0.30177349608626636,127559,True,1.0,0.0,0.06723766463951773,0.0020726924326517457,0.3193782407036877,0.4191632731323387
flops,taylor,161,0.40177011017508824,0.4184848650719799,106237,True,0.8535,0.0038285855082352497,0.41375173672617355,0.4097263059942492,0.1072162529225306,0.25212286116031485
flops,fisher,164,0.4002129709421258,0.43951502545295307,102395,True,0.5725,0.009618847254600936,0.4743970314335899,0.4305961449440829,0.12933291380742437,0.22877777980679678
flops,saber_v2,198,0.4009350385773883,0.46957140511248563,96904,True,0.01,0.08653171850419818,0.4904460903622734,0.4478136471934877,0.08863149752063079,0.24870254378115814
params,random,124,0.4017620564405715,0.4009195905632492,109446,True,0.9995,0.00013267375523587499,0.24073199848404048,0.2743054718412406,0.20472221437408045,0.35194572779898103
params,magnitude,179,0.49725568996343605,0.40256719032240407,109145,True,1.0,0.0,0.06723723647231633,0.002072674174583418,0.40936475975536774,0.4191632731323387
params,taylor,154,0.38281262583960185,0.4019486561935519,109258,True,0.76925,0.004491954284414624,0.4419182741074528,0.43593661877778106,0.09384785793825767,0.22914117711510018
params,fisher,146,0.36431269429634516,0.40096338059007064,109438,True,0.5225,0.011514186615113437,0.4882632048307869,0.45294396907509815,0.12599202956237274,0.21717463158086958
params,saber_v2,167,0.3410595493130164,0.40010400131370083,109595,True,0.0035,0.08179337010291693,0.49962516014886127,0.4646392177258258,0.06931953487489573,0.23715600518617266
