module_path,channel_index
conv.0,5
conv.3,10
conv.3,11
conv.3,24
conv.3,50
conv.3,64
conv.3,65
conv.3,74
conv.3,82
conv.3,87
conv.3,90
conv.3,91
conv.3,95
conv.3,99
conv.3,100
conv.3,115
conv.3,120
conv.7,5
conv.7,6
conv.7,7
conv.7,9
conv.7,18
conv.7,19
conv.7,23
conv.7,29
conv.7,40
conv.7,44
conv.7,51
conv.7,57
conv.7,61
conv.7,68
conv.7,78
conv.7,79
conv.7,84
conv.7,88
conv.7,90
conv.7,91
conv.7,92
conv.7,95
conv.7,104
conv.7,111
conv.7,118
conv.7,122
conv.7,125
conv.10,1
conv.10,4
conv.10,5
conv.10,6
conv.10,11
conv.10,13
conv.10,14
conv.10,16
conv.10,19
conv.10,20
conv.10,21
conv.10,23
conv.10,26
conv.10,29
conv.10,30
conv.10,35
conv.10,36
conv.10,39
conv.10,41
conv.10,42
conv.10,43
conv.10,44
conv.10,46
conv.10,53
conv.10,55
conv.10,56
conv.10,57
conv.10,59
conv.10,61
conv.10,65
conv.10,68
conv.10,69
conv.10,72
conv.10,73
conv.10,74
conv.10,75
conv.10,79
conv.10,81
conv.10,82
conv.10,83
conv.10,84
conv.10,86
conv.10,87
conv.10,88
conv.10,89
conv.10,90
conv.10,91
conv.10,94
conv.10,95
conv.10,99
conv.10,100
conv.10,101
conv.10,102
conv.10,104
conv.10,105
conv.10,106
conv.10,112
conv.10,113
conv.10,114
conv.10,115
conv.10,116
conv.10,120
conv.10,122
conv.10,123
conv.10,125
conv.10,126
conv.10,130
conv.10,136
conv.10,140
conv.10,147
conv.10,149
conv.10,152
conv.10,154
conv.10,156
conv.10,161
conv.10,162
conv.10,163
conv.10,164
conv.10,165
conv.10,167
conv.10,170
conv.10,171
conv.10,172
conv.10,175
conv.10,177
conv.10,179
conv.10,180
conv.10,183
conv.10,186
conv.10,187
conv.10,191
conv.10,193
conv.10,196
conv.10,200
conv.10,201
conv.10,202
conv.10,205
conv.10,206
conv.10,208
conv.10,210
conv.10,214
conv.10,216
conv.10,220
conv.10,221
conv.10,224
conv.10,227
conv.10,228
conv.10,229
conv.10,231
conv.10,232
conv.10,233
conv.10,234
conv.10,235
conv.10,237
conv.10,240
conv.10,242
conv.10,244
conv.10,248
conv.10,249
conv.10,252
conv.10,254
