module_path,channel_index
conv.0,41
conv.0,53
conv.0,60
conv.3,14
conv.3,21
conv.3,30
conv.3,40
conv.3,43
conv.3,64
conv.3,100
conv.3,104
conv.3,107
conv.3,122
conv.7,3
conv.7,5
conv.7,12
conv.7,15
conv.7,16
conv.7,19
conv.7,20
conv.7,28
conv.7,29
conv.7,31
conv.7,38
conv.7,40
conv.7,41
conv.7,49
conv.7,53
conv.7,57
conv.7,64
conv.7,65
conv.7,73
conv.7,74
conv.7,75
conv.7,76
conv.7,79
conv.7,80
conv.7,87
conv.7,92
conv.7,94
conv.7,95
conv.7,100
conv.7,106
conv.7,107
conv.7,109
conv.7,112
conv.7,117
conv.7,119
conv.7,120
conv.7,121
conv.7,125
conv.10,0
conv.10,1
conv.10,5
conv.10,6
conv.10,8
conv.10,14
conv.10,15
conv.10,16
conv.10,17
conv.10,18
conv.10,19
conv.10,21
conv.10,24
conv.10,26
conv.10,27
conv.10,30
conv.10,32
conv.10,33
conv.10,38
conv.10,41
conv.10,43
conv.10,48
conv.10,50
conv.10,54
conv.10,57
conv.10,59
conv.10,65
conv.10,69
conv.10,74
conv.10,83
conv.10,85
conv.10,88
conv.10,91
conv.10,94
conv.10,95
conv.10,97
conv.10,102
conv.10,104
conv.10,105
conv.10,107
conv.10,110
conv.10,113
conv.10,114
conv.10,115
conv.10,117
conv.10,120
conv.10,124
conv.10,126
conv.10,127
conv.10,130
conv.10,133
conv.10,139
conv.10,142
conv.10,143
conv.10,145
conv.10,148
conv.10,153
conv.10,154
conv.10,155
conv.10,159
conv.10,160
conv.10,161
conv.10,162
conv.10,163
conv.10,165
conv.10,168
conv.10,170
conv.10,171
conv.10,177
conv.10,181
conv.10,187
conv.10,188
conv.10,189
conv.10,190
conv.10,192
conv.10,198
conv.10,201
conv.10,204
conv.10,207
conv.10,210
conv.10,211
conv.10,213
conv.10,214
conv.10,215
conv.10,216
conv.10,221
conv.10,222
conv.10,226
conv.10,230
conv.10,231
conv.10,238
conv.10,241
conv.10,244
conv.10,245
conv.10,248
conv.10,249
conv.10,250
conv.10,251
conv.10,253
conv.10,254
conv.10,255
