module_path,score,n_groups,harm_awbir,harm_fine_macro_f1,harm_family_macro_f1,harm_hsr_balanced_soc
conv.0,v_c,64,0.511996336996337,0.05833333333333332,-0.03576007326007325,-0.03003663003663003
conv.0,fisher,64,0.708150183150183,0.23301282051282046,0.17458791208791205,0.19340659340659336
conv.0,taylor,64,0.6791666666666666,0.20631868131868128,0.14775641025641026,0.16277472527472525
conv.0,magnitude,64,0.19739010989010988,0.015064102564102564,0.08869047619047618,0.08548534798534797
conv.10,v_c,256,0.32653639276722357,-0.0064617189288166624,0.07859493018997481,0.062345718385735736
conv.10,fisher,256,0.2770771343556877,-0.0746545262073701,-0.08132867933165483,-0.09538694628470207
conv.10,taylor,256,0.1879606317235065,-0.01708271343556878,-0.02649347676813916,-0.02178630929019672
conv.10,magnitude,256,0.35228027008468754,0.07368891622796976,0.16057164110780495,0.12812095199405535
conv.3,v_c,128,0.6493144570591466,-0.02695248123054386,-0.0857958707196484,-0.09577396281027825
conv.3,fisher,128,0.661388710858817,0.06173319904779344,-0.026443188060794723,-0.015619456367260448
conv.3,taylor,128,0.6840150613440761,0.16752884087163522,0.1305106665445889,0.132586552226137
conv.3,magnitude,128,0.3804648873832631,0.1387509155832265,0.09392739425013732,0.12179399142428568
conv.7,v_c,128,0.3373237502288958,0.07042551730452298,0.1007370444973448,0.07086806805014137
conv.7,fisher,128,0.3182052279802234,0.17769181468595494,0.07290331441127998,0.05555452233775617
conv.7,taylor,128,0.29791933711774404,0.09065990661051089,0.09722349386559237,0.021628380425993972
conv.7,magnitude,128,0.26648049807727525,0.07413935176707562,0.17257027101263506,0.08376383608558984
