method,budget,flops_reduction_fraction,realized_minus_target,removed_groups_k,within_tolerance,post_awbir,post_family_macro_f1,post_macro_f1
random,0.25,0.254673282083464,0.004673282083464014,24,True,0.1192996755219499,0.6726117084439752,0.5563512210964272
random,0.4,0.4028377000313774,0.0028377000313773992,40,True,0.1031286269585888,0.6388289201280856,0.5606400881586209
random,0.55,0.5504530122372137,0.0004530122372136125,56,True,0.1153010878609425,0.6408811781644445,0.5425359121189129
magnitude,0.25,0.2644914888609978,0.014491488860997825,17,True,0.1219618637658456,0.6849537124686789,0.5589701850173854
magnitude,0.4,0.4045163947285849,0.004516394728584894,26,True,0.1275171180699343,0.6525746722268574,0.5635057486966543
magnitude,0.55,0.5600996234703484,0.010099623470348318,36,True,0.123509740156006,0.6345448043003385,0.5462272336396063
taylor,0.25,0.2537751019767806,0.0037751019767806038,25,True,0.1075229806099892,0.6720588877251523,0.5807213912482281
taylor,0.4,0.4003176968936304,0.00031769689363037035,42,True,0.0979460338356522,0.6102789697563398,0.5509242013583485
taylor,0.55,0.5568579385001569,0.006857938500156813,59,True,0.1145464133354917,0.6597493681942277,0.5797712239836468
fisher,0.25,0.256446109193599,0.006446109193599003,32,True,0.1043184099569139,0.5939216954918505,0.547447050546734
fisher,0.4,0.4014129667398808,0.0014129667398807833,51,True,0.1167347990745847,0.6294213425162446,0.5628702552595615
fisher,0.55,0.5567853780985252,0.006785378098525197,72,True,0.111116911517555,0.6556608843264806,0.567185532999616
saber_v2,0.25,0.2521375902102291,0.002137590210229079,32,True,0.1127004665046305,0.5944312391497049,0.5338317272840802
saber_v2,0.4,0.4066657514904298,0.006665751490429805,52,True,0.1125283843240577,0.6592590444748612,0.5660173379153065
saber_v2,0.55,0.5566108409162221,0.006610840916222105,72,True,0.1170198074780539,0.676316706280183,0.5687796143280168
