label,recall,support
Uploading_Attack,0.0,188
Recon-PingSweep,0.011764705882352941,340
Backdoor_Malware,0.004140786749482402,483
XSS,0.008665511265164644,577
SqlInjection,0.043202033036848796,787
CommandInjection,0.012360939431396786,809
BrowserHijacking,0.00805523590333717,869
DictionaryBruteForce,0.3336734693877551,1960
DDoS-SlowLoris,0.9015367103016505,3514
DDoS-HTTP_Flood,0.8004167631396156,4319
DoS-HTTP_Flood,0.7084771052876994,10723
Recon-PortScan,0.19032981639943508,12037
Recon-OSScan,0.039585492227979274,14475
DDoS-ICMP_Flood,0.9978427021696252,16224
DDoS-RSTFINFlood,0.9988108686604436,16819
DDoS-TCP_Flood,0.5908667287977633,17168
DDoS-SynonymousIP_Flood,0.758534747580131,17253
DDoS-UDP_Flood,0.6495135971700199,18092
DoS-TCP_Flood,0.4907925909972001,18572
DDoS-PSHACK_Flood,0.9954959618968731,19316
DDoS-SYN_Flood,0.18051386415670312,19655
Recon-HostDiscovery,0.5873190214677984,20030
DoS-SYN_Flood,0.15110270370028606,21674
DoS-UDP_Flood,0.7383449883449883,22308
DNS_Spoofing,0.4392484022808159,26131
MITM-ArpSpoofing,0.08906676368928507,27485
Mirai-udpplain,0.9828482328482329,28860
Mirai-greeth_flood,0.9285011033780343,29455
Mirai-greip_flood,0.9817542911204217,29596
DDoS-UDP_Fragmentation,0.9842677824267783,29875
DDoS-ACK_Fragmentation,0.9265502709211318,29898
VulnerabilityScan,0.6664660648612504,29910
DDoS-ICMP_Fragmentation,0.9648155573376103,29928
BenignTraffic,0.7174109081193013,29941
