label,recall,support
Uploading_Attack,0.0,188
Recon-PingSweep,0.0,340
Backdoor_Malware,0.0,483
XSS,0.0,577
SqlInjection,0.0,787
CommandInjection,0.0,809
BrowserHijacking,0.0,869
DictionaryBruteForce,0.0,1960
DDoS-SlowLoris,0.0,3514
DDoS-HTTP_Flood,0.0,4319
DoS-HTTP_Flood,0.0,10723
Recon-PortScan,0.0,12037
Recon-OSScan,0.0,14475
DDoS-ICMP_Flood,0.0,16224
DDoS-RSTFINFlood,0.0,16819
DDoS-TCP_Flood,0.001048462255358807,17168
DDoS-SynonymousIP_Flood,0.0004057265403118298,17253
DDoS-UDP_Flood,0.0,18092
DoS-TCP_Flood,0.020568597889295714,18572
DDoS-PSHACK_Flood,0.014806378132118452,19316
DDoS-SYN_Flood,0.0,19655
Recon-HostDiscovery,0.47353969046430355,20030
DoS-SYN_Flood,0.0,21674
DoS-UDP_Flood,0.0,22308
DNS_Spoofing,0.001339405304045004,26131
MITM-ArpSpoofing,0.0,27485
Mirai-udpplain,0.0,28860
Mirai-greeth_flood,0.0,29455
Mirai-greip_flood,0.0,29596
DDoS-UDP_Fragmentation,0.0,29875
DDoS-ACK_Fragmentation,0.0268914308649408,29898
VulnerabilityScan,0.0,29910
DDoS-ICMP_Fragmentation,6.682705159048383e-05,29928
BenignTraffic,0.0,29941
