arch,cell,remaining_nonzero_prunable,mean_macro_f1,mean_macro_f1_loss,classes_affected_ge3of5
cnn1d,prune50,14560,0.4992915418815719,0.04233021322904329,4
cnn1d,prune80,5824,0.2706046247845419,0.2710171303260733,17
ft_transformer,prune50,112272,0.4967791178054348,-0.0040885147154714,0
ft_transformer,prune80,44907,0.4739740265125308,0.0187165765774325,1
ft_transformer,prune90,22791,0.4583631948972675,0.0343274081926958,3
ft_transformer,prune95,11733,0.4371496430503695,0.0555409600395938,4
ft_transformer,prune97,7305,0.4225514643533669,0.0701391387365964,7
ft_transformer,prune98p5,3987,0.3966423724254245,0.0960482306645388,8
mlp,prune50,22246,0.550770659841973,0.0021819451488586106,0
mlp,prune80,9421,0.5454680181091283,0.007484586881703392,0
mlp,prune90,5145,0.5398118842952899,0.01314072069554173,0
mlp,prune95,3007,0.5308209227107267,0.02213168228010498,0
