class_index,fine_label,alert_family,is_benign
0,Backdoor_Malware,malware_botnet,False
1,BenignTraffic,benign,True
2,BrowserHijacking,web_application,False
3,CommandInjection,web_application,False
4,DDoS-ACK_Fragmentation,ddos,False
5,DDoS-HTTP_Flood,ddos,False
6,DDoS-ICMP_Flood,ddos,False
7,DDoS-ICMP_Fragmentation,ddos,False
8,DDoS-PSHACK_Flood,ddos,False
9,DDoS-RSTFINFlood,ddos,False
10,DDoS-SYN_Flood,ddos,False
11,DDoS-SlowLoris,ddos,False
12,DDoS-SynonymousIP_Flood,ddos,False
13,DDoS-TCP_Flood,ddos,False
14,DDoS-UDP_Flood,ddos,False
15,DDoS-UDP_Fragmentation,ddos,False
16,DNS_Spoofing,spoofing_mitm,False
17,DictionaryBruteForce,credential_attack,False
18,DoS-HTTP_Flood,dos,False
19,DoS-SYN_Flood,dos,False
20,DoS-TCP_Flood,dos,False
21,DoS-UDP_Flood,dos,False
22,MITM-ArpSpoofing,spoofing_mitm,False
23,Mirai-greeth_flood,malware_botnet,False
24,Mirai-greip_flood,malware_botnet,False
25,Mirai-udpplain,malware_botnet,False
26,Recon-HostDiscovery,reconnaissance,False
27,Recon-OSScan,reconnaissance,False
28,Recon-PingSweep,reconnaissance,False
29,Recon-PortScan,reconnaissance,False
30,SqlInjection,web_application,False
31,Uploading_Attack,malware_botnet,False
32,VulnerabilityScan,reconnaissance,False
33,XSS,web_application,False
