recipe,seed,parameters,nonzero_parameters,whole_model_sparsity,torch_state_dict_bytes,index_value_sparse_payload_estimate_bytes
dense,0,29730,29730,0.0,125683,118920
dense,1,29730,29730,0.0,125683,118920
dense,2,29730,29730,0.0,125683,118920
dense,3,29730,29730,0.0,125683,118920
dense,4,29730,29730,0.0,125683,118920
default_layerwise80,0,29730,6433,0.7836192398250925,125683,49024
default_layerwise80,1,29730,6433,0.7836192398250925,125683,49024
default_layerwise80,2,29730,6433,0.7836192398250925,125683,49024
default_layerwise80,3,29730,6433,0.7836192398250925,125683,49024
default_layerwise80,4,29730,6433,0.7836192398250925,125683,49024
protect_conv0,0,29730,6587,0.7784392869155735,125683,49488
protect_conv0,1,29730,6587,0.7784392869155735,125683,49488
protect_conv0,2,29730,6587,0.7784392869155735,125683,49488
protect_conv0,3,29730,6587,0.7784392869155735,125683,49488
protect_conv0,4,29730,6587,0.7784392869155735,125683,49488
global80,0,29730,6434,0.7835856037672385,125683,49032
global80,1,29730,6434,0.7835856037672385,125683,49032
global80,2,29730,6434,0.7835856037672385,125683,49032
global80,3,29730,6434,0.7835856037672385,125683,49032
global80,4,29730,6434,0.7835856037672385,125683,49032
