cell,batch_size,median_latency_ms,p95_latency_ms,throughput_flows_per_s,warmup_runs,timed_repeats,input_dtype,rss_before_bytes,rss_after_warmup_bytes,rss_after_benchmark_bytes,status
M0,1,0.1803049999580253,0.21615305006434937,5546.157900406524,25,100,float32,2779684864,2784030720,2784133120,ok
M0,32,1.4409899999918707,1.9897449500604125,22206.95494082577,25,100,float32,2784133120,2790506496,2790510592,ok
M0,256,9.99806400000125,10.233551550072661,25604.957119695173,25,100,float32,2790510592,2790539264,2790539264,ok
M0,1024,39.55265099989447,40.96334794996892,25889.54151272268,25,100,float32,2790539264,2790567936,2790567936,ok
int8,1,0.2448199998070777,0.2736854502472852,4084.63361158409,25,100,float32,2791501824,2792316928,2792316928,ok
int8,32,1.5090949998466385,1.6266114499330797,21204.761796475366,25,100,float32,2792316928,2792316928,2792316928,ok
int8,256,10.240989000067202,10.488010499989286,24997.58568223441,25,100,float32,2792316928,2792316928,2792316928,ok
int8,1024,39.47412599995914,41.24590350015751,25941.043001206916,25,100,float32,2792316928,2792316928,2792316928,ok
float16,1,0.6918899998709094,0.7507494498895539,1445.316452306836,25,100,float16,2792443904,2792759296,2792759296,ok
float16,32,17.846353000095405,18.444528499935586,1793.0834383825609,25,100,float16,2792759296,2792759296,2792759296,ok
float16,256,139.75560599988057,140.96325949997208,1831.7690955468274,25,100,float16,2792759296,2792767488,2792767488,ok
float16,1024,557.7691739999864,563.2922775001816,1835.8848924125466,25,100,float16,2792767488,2792767488,2792775680,ok
