cell,family,precision,recall,f1,support
M0,benign,0.4735653065027017,0.6791022343943088,0.5580086995897197,29941
M0,credential_attack,0.6281800391389433,0.32755102040816325,0.4305835010060362,1960
M0,ddos,0.844755003024654,0.924421667920076,0.8827946261159755,222061
M0,dos,0.6832158448774404,0.49334716213818797,0.5729614074015373,73277
M0,malware_botnet,0.9979159271261551,0.9838003206068953,0.9908078516977336,88582
M0,reconnaissance,0.7939516075217873,0.7746900718824877,0.7842025823715899,76792
M0,spoofing_mitm,0.6872490618521532,0.4884549388242316,0.5710454302628566,53616
M0,web_application,0.018268379096545617,0.054240631163708086,0.027331456021202585,3042
M0,macro_average,0.6408876461425476,0.5907010059172573,0.6022169443083314,549271
prune50,benign,0.45967949819556625,0.7147055876557229,0.5595021766697607,29941
prune50,credential_attack,0.5414908579465542,0.39285714285714285,0.4553518628030751,1960
prune50,ddos,0.8704123067312197,0.8031306713020296,0.835419023461379,222061
prune50,dos,0.5191478597510009,0.6441721140330526,0.5749416873222453,73277
prune50,malware_botnet,0.9971185180950203,0.984432503217358,0.990734902321671,88582
prune50,reconnaissance,0.7306123394984472,0.8209969788519638,0.7731721076255181,76792
prune50,spoofing_mitm,0.8000632933647456,0.4243695911668159,0.5545792456279325,53616
prune50,web_application,0.06624126405347919,0.07166337935568705,0.06884572872256435,3042
prune50,macro_average,0.6230957422045041,0.6070409960549716,0.6015683418192683,549271
prune80,benign,0.5395719765798506,0.1785177515781036,0.26827615629783924,29941
prune80,credential_attack,0.7473867595818815,0.21887755102040815,0.33859510655090763,1960
prune80,ddos,0.7548387555100895,0.9569847924669348,0.8439762505212574,222061
prune80,dos,0.9180327868852459,0.03133316047327265,0.06059806276227929,73277
prune80,malware_botnet,0.8490139182609551,0.9744078932514506,0.9073993282417069,88582
prune80,reconnaissance,0.5279110429712061,0.7981430357328888,0.635492215891712,76792
prune80,spoofing_mitm,0.428077099835095,0.2953409430020889,0.34953149315174326,53616
prune80,web_application,0.0,0.0,0.0,3042
prune80,macro_average,0.5956040424530404,0.4317006409406434,0.42548357667718073,549271
distillation,benign,0.3927872569996891,0.7173441100831636,0.507622131360639,29941
distillation,credential_attack,0.4753593429158111,0.23622448979591837,0.3156100886162236,1960
distillation,ddos,0.8251330634880163,0.9326941696200594,0.8756227949833957,222061
distillation,dos,0.6723879428021572,0.4100468086848534,0.5094266047268659,73277
distillation,malware_botnet,0.9944082332761578,0.9817005712221445,0.9880135429921832,88582
distillation,reconnaissance,0.7763778438558883,0.7310136472549223,0.7530131390973661,76792
distillation,spoofing_mitm,0.6312400776150997,0.400458818263205,0.49003765833618623,53616
distillation,web_application,0.009152215799614644,0.012491781722550954,0.0105643591882124,3042
distillation,macro_average,0.5971057470940543,0.5527467995808522,0.556238789912634,549271
int8,benign,0.47008664557832486,0.6849470625563608,0.5575325893403292,29941
int8,credential_attack,0.6318407960199005,0.3239795918367347,0.42833052276559863,1960
int8,ddos,0.8446213182008009,0.928987980780056,0.8847980819338499,222061
int8,dos,0.695229801644896,0.4902766215865824,0.5750368141366284,73277
int8,malware_botnet,0.9978818410808336,0.9838906324083899,0.9908368481486113,88582
int8,reconnaissance,0.7985050417669163,0.7692858631107407,0.7836231711037712,76792
int8,spoofing_mitm,0.6808078175895765,0.4872799164428529,0.5680120881390571,53616
int8,web_application,0.016729448260580544,0.04963839579224195,0.02502485913158767,3042
int8,macro_average,0.6419628387677287,0.5897857580642449,0.6016493718374292,549271
float16,benign,0.4729368565386135,0.6796700177014796,0.5577634644374401,29941
float16,credential_attack,0.6273170731707317,0.3280612244897959,0.430820770519263,1960
float16,ddos,0.8448576887600474,0.9239443216053247,0.8826329453721051,222061
float16,dos,0.6821565191173422,0.4940158576360932,0.5730386880263408,73277
float16,malware_botnet,0.9979388290258677,0.983822898557269,0.990830590469044,88582
float16,reconnaissance,0.7947152839129388,0.7731274091051151,0.7837727230722518,76792
float16,spoofing_mitm,0.6856066551561765,0.4888093106535363,0.570719278761351,53616
float16,web_application,0.018360800796372083,0.05456936226166995,0.027476620044690887,3042
float16,macro_average,0.6404862133097613,0.5907525502512856,0.6021318850878108,549271
