filters,seed,dose,cell,test_macro_f1
32,0,-1.0,M0,0.5384586481875092
32,0,0.0,f32_conv0dose0_paired,0.4804582830478979
32,0,0.5,f32_conv0dose500_paired,0.47895493092541097
32,0,0.604,f32_conv0dose604_paired,0.46970383932365267
32,0,0.802,f32_conv0dose802_paired,0.028100789546852654
32,0,0.896,f32_conv0dose896_paired,0.1494482531703462
32,1,-1.0,M0,0.5349448059074625
32,1,0.0,f32_conv0dose0_paired,0.519599208582449
32,1,0.5,f32_conv0dose500_paired,0.4778525024839513
32,1,0.604,f32_conv0dose604_paired,0.45504110903879585
32,1,0.802,f32_conv0dose802_paired,0.16477000685038345
32,1,0.896,f32_conv0dose896_paired,0.04509611171070507
32,2,-1.0,M0,0.529221859094591
32,2,0.0,f32_conv0dose0_paired,0.5226911489896962
32,2,0.5,f32_conv0dose500_paired,0.41285346598519124
32,2,0.604,f32_conv0dose604_paired,0.5079637771114377
32,2,0.802,f32_conv0dose802_paired,0.0021550570963974054
32,2,0.896,f32_conv0dose896_paired,0.05436916607978877
32,3,-1.0,M0,0.543331660733677
32,3,0.0,f32_conv0dose0_paired,0.5277377786584521
32,3,0.5,f32_conv0dose500_paired,0.5220933407765799
32,3,0.604,f32_conv0dose604_paired,0.5126232820541912
32,3,0.802,f32_conv0dose802_paired,0.17640117500140515
32,3,0.896,f32_conv0dose896_paired,0.010174628993724113
32,4,-1.0,M0,0.5389955595359629
32,4,0.0,f32_conv0dose0_paired,0.5301234597360274
32,4,0.5,f32_conv0dose500_paired,0.5171214965605577
32,4,0.604,f32_conv0dose604_paired,0.5060579378721621
32,4,0.802,f32_conv0dose802_paired,0.13207518615794203
32,4,0.896,f32_conv0dose896_paired,0.0636348752916357
128,0,-1.0,M0,0.5449326612794696
128,0,0.0,f128_conv0dose0_paired,0.5059437651994309
128,0,0.5,f128_conv0dose500_paired,0.4850267579715235
128,0,0.75,f128_conv0dose750_paired,0.4407471492041837
128,0,0.901,f128_conv0dose901_paired,0.1278341033489498
128,0,0.951,f128_conv0dose951_paired,0.2474232636503834
128,1,-1.0,M0,0.5304314795513608
128,1,0.0,f128_conv0dose0_paired,0.5353431262236331
128,1,0.5,f128_conv0dose500_paired,0.4998807434333582
128,1,0.75,f128_conv0dose750_paired,0.30690947160180393
128,1,0.901,f128_conv0dose901_paired,0.2547501257711327
128,1,0.951,f128_conv0dose951_paired,0.10820557238991652
128,2,-1.0,M0,0.5402817044813109
128,2,0.0,f128_conv0dose0_paired,0.5434413688915312
128,2,0.5,f128_conv0dose500_paired,0.5141828346252727
128,2,0.75,f128_conv0dose750_paired,0.5013134047684362
128,2,0.901,f128_conv0dose901_paired,0.15377859003032432
128,2,0.951,f128_conv0dose951_paired,0.1424677710937442
128,3,-1.0,M0,0.5461374545259424
128,3,0.0,f128_conv0dose0_paired,0.5401421743205108
128,3,0.5,f128_conv0dose500_paired,0.5240783026217177
128,3,0.75,f128_conv0dose750_paired,0.47953195103882346
128,3,0.901,f128_conv0dose901_paired,0.2928781031814389
128,3,0.951,f128_conv0dose951_paired,0.004391257339100162
128,4,-1.0,M0,0.5263897970850578
128,4,0.0,f128_conv0dose0_paired,0.5381284886401436
128,4,0.5,f128_conv0dose500_paired,0.510270298109341
128,4,0.75,f128_conv0dose750_paired,0.43217173373038165
128,4,0.901,f128_conv0dose901_paired,0.2699993410686736
128,4,0.951,f128_conv0dose951_paired,0.062186481092967705
