filters,dose,class,mean_recall_loss,affected_frequency
32,0.0,Backdoor_Malware,0.011180124223602485,0.0
32,0.0,BenignTraffic,0.010139941885708548,0.0
32,0.0,BrowserHijacking,0.004142692750287687,0.0
32,0.0,CommandInjection,0.04054388133498146,0.0
32,0.0,DDoS-ACK_Fragmentation,-0.02815572948023277,0.0
32,0.0,DDoS-HTTP_Flood,0.03834220884463997,0.2
32,0.0,DDoS-ICMP_Flood,7.396449704142328e-05,0.0
32,0.0,DDoS-ICMP_Fragmentation,0.0030874097834803437,0.0
32,0.0,DDoS-PSHACK_Flood,0.0004659349761855225,0.0
32,0.0,DDoS-RSTFINFlood,0.012117248350080257,0.0
32,0.0,DDoS-SYN_Flood,0.06861358432968709,0.0
32,0.0,DDoS-SlowLoris,0.017985202048947067,0.0
32,0.0,DDoS-SynonymousIP_Flood,-0.13262620993450416,0.2
32,0.0,DDoS-TCP_Flood,0.1624767008387698,0.2
32,0.0,DDoS-UDP_Flood,0.056068980764978994,0.2
32,0.0,DDoS-UDP_Fragmentation,0.0011447698744769808,0.0
32,0.0,DNS_Spoofing,0.0860357429872565,0.4
32,0.0,DictionaryBruteForce,0.04795918367346939,0.2
32,0.0,DoS-HTTP_Flood,0.01092977711461347,0.0
32,0.0,DoS-SYN_Flood,0.03462212789517393,0.0
32,0.0,DoS-TCP_Flood,-0.16547490846435492,0.0
32,0.0,DoS-UDP_Flood,0.03360229514075667,0.2
32,0.0,MITM-ArpSpoofing,-0.01250136438057122,0.0
32,0.0,Mirai-greeth_flood,-0.0014802240706161874,0.0
32,0.0,Mirai-greip_flood,0.020529801324503306,0.0
32,0.0,Mirai-udpplain,0.0021552321552321895,0.0
32,0.0,Recon-HostDiscovery,0.009585621567648528,0.0
32,0.0,Recon-OSScan,0.010487046632124353,0.0
32,0.0,Recon-PingSweep,0.000588235294117647,0.0
32,0.0,Recon-PortScan,0.044944753676165156,0.0
32,0.0,SqlInjection,0.03811944091486658,0.0
32,0.0,Uploading_Attack,0.00425531914893617,0.0
32,0.0,VulnerabilityScan,0.11061183550651958,0.2
32,0.0,XSS,0.0038128249566724433,0.0
32,0.5,Backdoor_Malware,0.010766045548654245,0.0
32,0.5,BenignTraffic,0.04756020173006913,0.2
32,0.5,BrowserHijacking,0.006904487917146145,0.0
32,0.5,CommandInjection,0.04128553770086527,0.0
32,0.5,DDoS-ACK_Fragmentation,0.029894976252592142,0.2
32,0.5,DDoS-HTTP_Flood,0.06260708497337346,0.2
32,0.5,DDoS-ICMP_Flood,0.00028353057199206335,0.0
32,0.5,DDoS-ICMP_Fragmentation,0.002365677626303109,0.0
32,0.5,DDoS-PSHACK_Flood,0.0006937254089873557,0.0
32,0.5,DDoS-RSTFINFlood,0.00011891313395566705,0.0
32,0.5,DDoS-SYN_Flood,0.015029254642584578,0.0
32,0.5,DDoS-SlowLoris,0.2032441661923734,0.4
32,0.5,DDoS-SynonymousIP_Flood,0.030452674897119336,0.4
32,0.5,DDoS-TCP_Flood,0.16287278657968313,0.2
32,0.5,DDoS-UDP_Flood,0.06838381605129337,0.2
32,0.5,DDoS-UDP_Fragmentation,0.002825104602510442,0.0
32,0.5,DNS_Spoofing,0.13839500975852437,0.6
32,0.5,DictionaryBruteForce,0.08102040816326532,0.2
32,0.5,DoS-HTTP_Flood,0.1679940315210296,0.2
32,0.5,DoS-SYN_Flood,0.0038110178093568314,0.2
32,0.5,DoS-TCP_Flood,-0.1603058367434848,0.0
32,0.5,DoS-UDP_Flood,0.004922001075847204,0.4
32,0.5,MITM-ArpSpoofing,0.02006912861560851,0.0
32,0.5,Mirai-greeth_flood,-0.006715328467153281,0.0
32,0.5,Mirai-greip_flood,0.11099472901743479,0.4
32,0.5,Mirai-udpplain,0.006632016632016647,0.0
32,0.5,Recon-HostDiscovery,0.16162755866200698,0.4
32,0.5,Recon-OSScan,-0.010915371329879112,0.0
32,0.5,Recon-PingSweep,0.000588235294117647,0.0
32,0.5,Recon-PortScan,0.11007726177619008,0.6
32,0.5,SqlInjection,0.03939008894536213,0.0
32,0.5,Uploading_Attack,0.00425531914893617,0.0
32,0.5,VulnerabilityScan,0.17481778669341358,0.6
32,0.5,XSS,0.0034662045060658577,0.0
32,0.604,Backdoor_Malware,0.011180124223602485,0.0
32,0.604,BenignTraffic,0.08982999899802944,0.4
32,0.604,BrowserHijacking,0.008055235903337168,0.0
32,0.604,CommandInjection,0.04647713226205192,0.0
32,0.604,DDoS-ACK_Fragmentation,-0.03366111445581645,0.0
32,0.604,DDoS-HTTP_Flood,0.1270201435517481,0.8
32,0.604,DDoS-ICMP_Flood,0.0006286982248520756,0.0
32,0.604,DDoS-ICMP_Fragmentation,0.00431034482758621,0.0
32,0.604,DDoS-PSHACK_Flood,0.0007765582936425597,0.0
32,0.604,DDoS-RSTFINFlood,0.0009037398180628875,0.0
32,0.604,DDoS-SYN_Flood,0.1814398371915543,0.0
32,0.604,DDoS-SlowLoris,0.09140580535002844,0.4
32,0.604,DDoS-SynonymousIP_Flood,-0.11952703877586508,0.4
32,0.604,DDoS-TCP_Flood,0.08696411929170551,0.2
32,0.604,DDoS-UDP_Flood,0.20051956665929688,0.6
32,0.604,DDoS-UDP_Fragmentation,0.004030125523012518,0.0
32,0.604,DNS_Spoofing,0.027714209176839755,0.2
32,0.604,DictionaryBruteForce,0.07591836734693877,0.2
32,0.604,DoS-HTTP_Flood,0.0417420497994964,0.2
32,0.604,DoS-SYN_Flood,-0.018566023807326745,0.0
32,0.604,DoS-TCP_Flood,-0.06059659702778373,0.0
32,0.604,DoS-UDP_Flood,-0.05283306437152594,0.2
32,0.604,MITM-ArpSpoofing,0.02590503911224304,0.0
32,0.604,Mirai-greeth_flood,0.019996604990663712,0.0
32,0.604,Mirai-greip_flood,0.061481281254223516,0.2
32,0.604,Mirai-udpplain,0.005758835758835757,0.0
32,0.604,Recon-HostDiscovery,0.06670993509735393,0.4
32,0.604,Recon-OSScan,0.04581692573402418,0.4
32,0.604,Recon-PingSweep,0.000588235294117647,0.0
32,0.604,Recon-PortScan,0.11953144471213757,0.4
32,0.604,SqlInjection,0.038627700127064804,0.0
32,0.604,Uploading_Attack,0.00425531914893617,0.0
32,0.604,VulnerabilityScan,0.15394851220327652,0.4
32,0.604,XSS,0.0038128249566724433,0.0
32,0.802,Backdoor_Malware,0.011594202898550725,0.0
32,0.802,BenignTraffic,0.5246852142547009,0.8
32,0.802,BrowserHijacking,-0.06490218642117376,0.0
32,0.802,CommandInjection,0.04721878862793573,0.0
32,0.802,DDoS-ACK_Fragmentation,0.7645996387718241,0.8
32,0.802,DDoS-HTTP_Flood,0.7361889326232924,1.0
32,0.802,DDoS-ICMP_Flood,0.7963264299802761,0.8
32,0.802,DDoS-ICMP_Fragmentation,0.6119687249398555,0.8
32,0.802,DDoS-PSHACK_Flood,0.34859184096086143,0.4
32,0.802,DDoS-RSTFINFlood,0.7991200428087282,0.8
32,0.802,DDoS-SYN_Flood,0.3009310607987789,0.4
32,0.802,DDoS-SlowLoris,0.5763232783153102,0.8
32,0.802,DDoS-SynonymousIP_Flood,0.4410015649452269,1.0
32,0.802,DDoS-TCP_Flood,0.5962138863000932,0.8
32,0.802,DDoS-UDP_Flood,0.4412447490603581,0.6
32,0.802,DDoS-UDP_Fragmentation,0.9192569037656904,1.0
32,0.802,DNS_Spoofing,0.561356243542153,1.0
32,0.802,DictionaryBruteForce,0.3443877551020408,1.0
32,0.802,DoS-HTTP_Flood,0.5556653921477199,0.8
32,0.802,DoS-SYN_Flood,-0.32598505121343546,0.2
32,0.802,DoS-TCP_Flood,0.11913633426663794,0.2
32,0.802,DoS-UDP_Flood,0.44302492379415453,0.8
32,0.802,MITM-ArpSpoofing,0.11479716208841184,0.4
32,0.802,Mirai-greeth_flood,0.7822916313019861,0.8
32,0.802,Mirai-greip_flood,0.7833761319097176,0.8
32,0.802,Mirai-udpplain,0.78996534996535,0.8
32,0.802,Recon-HostDiscovery,0.41438841737393906,0.8
32,0.802,Recon-OSScan,0.08692227979274611,0.4
32,0.802,Recon-PingSweep,0.000588235294117647,0.0
32,0.802,Recon-PortScan,0.16097034144720446,0.8
32,0.802,SqlInjection,0.02210927573062262,0.0
32,0.802,Uploading_Attack,0.00425531914893617,0.0
32,0.802,VulnerabilityScan,0.43654296221999334,0.8
32,0.802,XSS,0.004159445407279029,0.0
32,0.896,Backdoor_Malware,0.011594202898550725,0.0
32,0.896,BenignTraffic,0.4511606158778932,0.8
32,0.896,BrowserHijacking,-0.14890678941311852,0.0
32,0.896,CommandInjection,0.04721878862793573,0.0
32,0.896,DDoS-ACK_Fragmentation,0.8486052578767811,1.0
32,0.896,DDoS-HTTP_Flood,0.8560777957860616,1.0
32,0.896,DDoS-ICMP_Flood,0.20352564102564102,0.2
32,0.896,DDoS-ICMP_Fragmentation,0.769480085538626,0.8
32,0.896,DDoS-PSHACK_Flood,0.7984675916338786,0.8
32,0.896,DDoS-RSTFINFlood,0.9988346512872347,1.0
32,0.896,DDoS-SYN_Flood,0.10103281607733398,0.4
32,0.896,DDoS-SlowLoris,0.9096755833807627,1.0
32,0.896,DDoS-SynonymousIP_Flood,0.3641685503970324,0.8
32,0.896,DDoS-TCP_Flood,0.5955964585274931,0.8
32,0.896,DDoS-UDP_Flood,0.11626133097501656,0.4
32,0.896,DDoS-UDP_Fragmentation,0.7931782426778243,0.8
32,0.896,DNS_Spoofing,0.5346446749071984,1.0
