seed,cell,live_filters,conv0_taps,conv.0,conv.3,head,prunable_sparsity,remaining_nonzero_prunable
0,gradual_perlayer80,35,38,0.8020833730697632,0.8000081777572632,0.8000919222831726,0.8000343406593406,5823
0,gradual_global80,63,134,0.3020833432674408,0.8892008662223816,0.31824448704719543,0.8,5824
1,gradual_perlayer80,33,38,0.8020833730697632,0.8000081777572632,0.8000919222831726,0.8000343406593406,5823
1,gradual_global80,60,115,0.4010416865348816,0.8794352412223816,0.36902573704719543,0.8,5824
2,gradual_perlayer80,34,38,0.8020833730697632,0.8000081777572632,0.8000919222831726,0.8000343406593406,5823
2,gradual_global80,64,143,0.2552083432674408,0.8937174677848816,0.29480698704719543,0.8,5824
3,gradual_perlayer80,34,38,0.8020833730697632,0.8000081777572632,0.8000919222831726,0.8000343406593406,5823
3,gradual_global80,62,136,0.2916666865348816,0.8887939453125,0.3210018277168274,0.8,5824
4,gradual_perlayer80,34,38,0.8020833730697632,0.8000081777572632,0.8000919222831726,0.8000343406593406,5823
4,gradual_global80,63,134,0.3020833432674408,0.8927409052848816,0.2982536852359772,0.8,5824
