arch,seed,dose,cell,conv.0,conv.3,head,prunable_sparsity,remaining_nonzero_prunable,body.0,body.3
cnn1d,0,0.0,layerwise80_protect_conv0_paired,0.0,0.8000081777572632,0.8000919222831726,0.7947458791208791,5977,,
cnn1d,0,0.2,conv0dose20_paired,0.1979166716337204,0.8000081777572632,0.8000919222831726,0.7960508241758242,5939,,
cnn1d,0,0.5,conv0dose50_paired,0.5,0.8000081777572632,0.8000919222831726,0.7980425824175824,5881,,
cnn1d,0,0.8,prune80_paired,0.8020833730697632,0.8000081777572632,0.8000919222831726,0.8000343406593406,5823,,
cnn1d,0,0.9,conv0dose90_paired,0.9010416865348816,0.8000081777572632,0.8000919222831726,0.8006868131868132,5804,,
cnn1d,0,0.95,conv0dose95_paired,0.9479166865348816,0.8000081777572632,0.8000919222831726,0.8009958791208791,5795,,
cnn1d,1,0.0,layerwise80_protect_conv0_paired,0.0,0.8000081777572632,0.8000919222831726,0.7947458791208791,5977,,
cnn1d,1,0.2,conv0dose20_paired,0.1979166716337204,0.8000081777572632,0.8000919222831726,0.7960508241758242,5939,,
cnn1d,1,0.5,conv0dose50_paired,0.5,0.8000081777572632,0.8000919222831726,0.7980425824175824,5881,,
cnn1d,1,0.8,prune80_paired,0.8020833730697632,0.8000081777572632,0.8000919222831726,0.8000343406593406,5823,,
cnn1d,1,0.9,conv0dose90_paired,0.9010416865348816,0.8000081777572632,0.8000919222831726,0.8006868131868132,5804,,
cnn1d,1,0.95,conv0dose95_paired,0.9479166865348816,0.8000081777572632,0.8000919222831726,0.8009958791208791,5795,,
cnn1d,2,0.0,layerwise80_protect_conv0_paired,0.0,0.8000081777572632,0.8000919222831726,0.7947458791208791,5977,,
cnn1d,2,0.2,conv0dose20_paired,0.1979166716337204,0.8000081777572632,0.8000919222831726,0.7960508241758242,5939,,
cnn1d,2,0.5,conv0dose50_paired,0.5,0.8000081777572632,0.8000919222831726,0.7980425824175824,5881,,
cnn1d,2,0.8,prune80_paired,0.8020833730697632,0.8000081777572632,0.8000919222831726,0.8000343406593406,5823,,
cnn1d,2,0.9,conv0dose90_paired,0.9010416865348816,0.8000081777572632,0.8000919222831726,0.8006868131868132,5804,,
cnn1d,2,0.95,conv0dose95_paired,0.9479166865348816,0.8000081777572632,0.8000919222831726,0.8009958791208791,5795,,
cnn1d,3,0.0,layerwise80_protect_conv0_paired,0.0,0.8000081777572632,0.8000919222831726,0.7947458791208791,5977,,
cnn1d,3,0.2,conv0dose20_paired,0.1979166716337204,0.8000081777572632,0.8000919222831726,0.7960508241758242,5939,,
cnn1d,3,0.5,conv0dose50_paired,0.5,0.8000081777572632,0.8000919222831726,0.7980425824175824,5881,,
cnn1d,3,0.8,prune80_paired,0.8020833730697632,0.8000081777572632,0.8000919222831726,0.8000343406593406,5823,,
cnn1d,3,0.9,conv0dose90_paired,0.9010416865348816,0.8000081777572632,0.8000919222831726,0.8006868131868132,5804,,
cnn1d,3,0.95,conv0dose95_paired,0.9479166865348816,0.8000081777572632,0.8000919222831726,0.8009958791208791,5795,,
cnn1d,4,0.0,layerwise80_protect_conv0_paired,0.0,0.8000081777572632,0.8000919222831726,0.7947458791208791,5977,,
cnn1d,4,0.2,conv0dose20_paired,0.1979166716337204,0.8000081777572632,0.8000919222831726,0.7960508241758242,5939,,
cnn1d,4,0.5,conv0dose50_paired,0.5,0.8000081777572632,0.8000919222831726,0.7980425824175824,5881,,
cnn1d,4,0.8,prune80_paired,0.8020833730697632,0.8000081777572632,0.8000919222831726,0.8000343406593406,5823,,
cnn1d,4,0.9,conv0dose90_paired,0.9010416865348816,0.8000081777572632,0.8000919222831726,0.8006868131868132,5804,,
cnn1d,4,0.95,conv0dose95_paired,0.9479166865348816,0.8000081777572632,0.8000919222831726,0.8009958791208791,5795,,
mlp,0,0.8,inputdose8000_mlp_paired,,,0.8000919222831726,0.7999957540760869,9421,0.7999799847602844,0.79998779296875
mlp,0,0.9,inputdose9000_mlp_paired,,,0.8000919222831726,0.8212041440217391,8422,0.9000400900840759,0.79998779296875
mlp,0,0.9808,inputdose9808_mlp_paired,,,0.8000919222831726,0.8383152173913043,7616,0.9807692170143127,0.79998779296875
mlp,0,0.9904,inputdose9904_mlp_paired,,,0.8000919222831726,0.8403532608695652,7520,0.9903846383094788,0.79998779296875
