arch,seed,dose,cell,test_macro_f1
cnn1d,0,-1.0,M0,0.5451385144815333
cnn1d,0,0.0,layerwise80_protect_conv0_paired,0.5079623144903997
cnn1d,0,0.2,conv0dose20_paired,0.5044119222530038
cnn1d,0,0.5,conv0dose50_paired,0.5039871603796965
cnn1d,0,0.8,prune80_paired,0.3376755048307554
cnn1d,0,0.9,conv0dose90_paired,0.04510888551922409
cnn1d,0,0.95,conv0dose95_paired,0.005615094941908546
cnn1d,1,-1.0,M0,0.5493973430465274
cnn1d,1,0.0,layerwise80_protect_conv0_paired,0.5285889817388496
cnn1d,1,0.2,conv0dose20_paired,0.530919048712847
cnn1d,1,0.5,conv0dose50_paired,0.5154193795028575
cnn1d,1,0.8,prune80_paired,0.4051931077589989
cnn1d,1,0.9,conv0dose90_paired,0.0004196692377532662
cnn1d,1,0.95,conv0dose95_paired,0.03857750975239507
cnn1d,2,-1.0,M0,0.5360538093973034
cnn1d,2,0.0,layerwise80_protect_conv0_paired,0.5387216509337143
cnn1d,2,0.2,conv0dose20_paired,0.5345988829797957
cnn1d,2,0.5,conv0dose50_paired,0.5275355215911591
cnn1d,2,0.8,prune80_paired,0.009040425353851637
cnn1d,2,0.9,conv0dose90_paired,0.037605022170624655
cnn1d,2,0.95,conv0dose95_paired,0.0023475759423936086
cnn1d,3,-1.0,M0,0.5406188037061865
cnn1d,3,0.0,layerwise80_protect_conv0_paired,0.5343081272203152
cnn1d,3,0.2,conv0dose20_paired,0.5351648743748533
cnn1d,3,0.5,conv0dose50_paired,0.3752630273176379
cnn1d,3,0.8,prune80_paired,0.3848574819246689
cnn1d,3,0.9,conv0dose90_paired,0.24317801388562998
cnn1d,3,0.95,conv0dose95_paired,0.012977798290370605
cnn1d,4,-1.0,M0,0.536900304921525
cnn1d,4,0.0,layerwise80_protect_conv0_paired,0.5358019754819177
cnn1d,4,0.2,conv0dose20_paired,0.5314719122743004
cnn1d,4,0.5,conv0dose50_paired,0.5113347499808477
cnn1d,4,0.8,prune80_paired,0.21625660405443467
cnn1d,4,0.9,conv0dose90_paired,0.043179921716645316
cnn1d,4,0.95,conv0dose95_paired,0.019180956968600893
mlp,0,-1.0,M0,0.5641802330707325
mlp,0,0.8,inputdose8000_mlp_paired,0.5456095702559246
mlp,0,0.9,inputdose9000_mlp_paired,0.5382087625303374
mlp,0,0.9808,inputdose9808_mlp_paired,0.492478770509727
mlp,0,0.9904,inputdose9904_mlp_paired,0.303752975493006
mlp,0,0.9962,inputdose9962_mlp_paired,0.335600421033816
mlp,1,-1.0,M0,0.5413152137372954
mlp,1,0.8,inputdose8000_mlp_paired,0.5448250414066804
mlp,1,0.9,inputdose9000_mlp_paired,0.5519405501881852
mlp,1,0.9808,inputdose9808_mlp_paired,0.507543382836468
mlp,1,0.9904,inputdose9904_mlp_paired,0.42434420763200914
mlp,1,0.9962,inputdose9962_mlp_paired,0.24726489196884163
mlp,2,-1.0,M0,0.5349953211481185
mlp,2,0.8,inputdose8000_mlp_paired,0.5380794045377163
mlp,2,0.9,inputdose9000_mlp_paired,0.5577526297469064
mlp,2,0.9808,inputdose9808_mlp_paired,0.4851147080732069
mlp,2,0.9904,inputdose9904_mlp_paired,0.3950181190028637
mlp,2,0.9962,inputdose9962_mlp_paired,0.2250702179533935
mlp,3,-1.0,M0,0.5691732628614675
mlp,3,0.8,inputdose8000_mlp_paired,0.554578029822953
mlp,3,0.9,inputdose9000_mlp_paired,0.5438987871391697
mlp,3,0.9808,inputdose9808_mlp_paired,0.5170903770101183
mlp,3,0.9904,inputdose9904_mlp_paired,0.44281908333526204
mlp,3,0.9962,inputdose9962_mlp_paired,0.20279585784874438
mlp,4,-1.0,M0,0.5550989941365444
mlp,4,0.8,inputdose8000_mlp_paired,0.5442480445223669
mlp,4,0.9,inputdose9000_mlp_paired,0.5413584119325198
mlp,4,0.9808,inputdose9808_mlp_paired,0.47095614310683315
mlp,4,0.9904,inputdose9904_mlp_paired,0.3106795604960483
mlp,4,0.9962,inputdose9962_mlp_paired,0.13773389922904536
