arch,dose,surviving,observed_live,expected_live_random,expected_covered_features_random,observed_minus_expected
cnn1d,0.0,192,64.0,64.0,,0.0
cnn1d,0.2,154,63.6,63.535078534031356,,0.06492146596864501
cnn1d,0.5,96,58.4,56.12565445026068,,2.2743455497393157
cnn1d,0.8,38,34.6,31.103664921458332,,3.4963350785416694
cnn1d,0.9,19,18.6,17.262827225126465,,1.3371727748735367
cnn1d,0.95,10,10.0,9.535409203629811,,0.46459079637018874
mlp,0.8,1997,256.0,255.95828975462965,39.0,0.041710245370353505
mlp,0.9,998,254.8,251.82302160344003,38.999999999947335,2.9769783965599856
mlp,0.9808,192,140.4,136.1293748399565,38.746577470478954,4.270625160043494
mlp,0.9904,96,80.8,80.49974749475126,35.81702116691896,0.3002525052487357
mlp,0.9962,38,35.0,35.43940873025042,24.49293918366829,-0.4394087302504204
