label,recall,support
Uploading_Attack,0.0,188
Recon-PingSweep,0.0,340
Backdoor_Malware,0.002070393374741201,483
XSS,0.0,577
SqlInjection,0.0,787
CommandInjection,0.0,809
BrowserHijacking,0.0,869
DictionaryBruteForce,0.2673469387755102,1960
DDoS-SlowLoris,0.896414342629482,3514
DDoS-HTTP_Flood,0.807131280388979,4319
DoS-HTTP_Flood,0.8143243495290498,10723
Recon-PortScan,0.11796959375259616,12037
Recon-OSScan,0.05899827288428325,14475
DDoS-ICMP_Flood,0.9980276134122288,16224
DDoS-RSTFINFlood,0.9990486949283548,16819
DDoS-TCP_Flood,0.4116961789375582,17168
DDoS-SynonymousIP_Flood,0.5397322204833942,17253
DDoS-UDP_Flood,0.699038248949812,18092
DoS-TCP_Flood,0.7982985138918802,18572
DDoS-PSHACK_Flood,0.9982915717539863,19316
DDoS-SYN_Flood,0.25591452556601374,19655
Recon-HostDiscovery,0.6098851722416375,20030
DoS-SYN_Flood,0.21297407031466273,21674
DoS-UDP_Flood,0.7085798816568047,22308
DNS_Spoofing,0.3685278022272397,26131
MITM-ArpSpoofing,0.11791886483536475,27485
Mirai-udpplain,0.9885654885654885,28860
Mirai-greeth_flood,0.9739942284841283,29455
Mirai-greip_flood,0.9768549804027571,29596
DDoS-UDP_Fragmentation,0.990326359832636,29875
DDoS-ACK_Fragmentation,0.9717037928958459,29898
VulnerabilityScan,0.5229020394516884,29910
DDoS-ICMP_Fragmentation,0.96685378241112,29928
BenignTraffic,0.6533181924451421,29941
