seed,cell,test_macro_f1
0,M0,0.5641802330707325
0,prune50,0.5523778580961074
0,prune80,0.5456095702559246
0,prune90,0.5344089793464429
0,prune95,0.526838314595237
1,M0,0.5413152137372954
1,prune50,0.5366885081208616
1,prune80,0.5448250414066804
1,prune90,0.5352878316197565
1,prune95,0.5222622305801085
2,M0,0.5349953211481185
2,prune50,0.5507596022236215
2,prune80,0.5380794045377163
2,prune90,0.5468108010947451
2,prune95,0.5325416953955426
3,M0,0.5691732628614675
3,prune50,0.556388289532488
3,prune80,0.554578029822953
3,prune90,0.5313584084296089
3,prune95,0.5393736398619714
4,M0,0.5550989941365444
4,prune50,0.5576390412367868
4,prune80,0.5442480445223669
4,prune90,0.5511934009858965
4,prune95,0.5330887331207739
