T,K,F,class,mean_recall_loss,affected_frequency
96,3,32,Backdoor_Malware,0.01739130434782609,0.0
96,3,32,BenignTraffic,0.7895327477372165,1.0
96,3,32,BrowserHijacking,0.02094361334867664,0.0
96,3,32,CommandInjection,0.05957972805933252,0.0
96,3,32,DDoS-ACK_Fragmentation,0.7094989631413473,0.8
96,3,32,DDoS-HTTP_Flood,0.8700162074554296,1.0
96,3,32,DDoS-ICMP_Flood,0.59323224852071,0.6
96,3,32,DDoS-ICMP_Fragmentation,0.9720328789093825,1.0
96,3,32,DDoS-PSHACK_Flood,0.874166494098157,1.0
96,3,32,DDoS-RSTFINFlood,0.7992151733158928,0.8
96,3,32,DDoS-SYN_Flood,0.06357669804121087,0.6
96,3,32,DDoS-SlowLoris,0.7738759248719409,0.8
96,3,32,DDoS-SynonymousIP_Flood,0.5350373848026431,0.8
96,3,32,DDoS-TCP_Flood,0.5111020503261882,1.0
96,3,32,DDoS-UDP_Flood,0.6695666592969268,1.0
96,3,32,DDoS-UDP_Fragmentation,0.9918192468619246,1.0
96,3,32,DNS_Spoofing,0.5941448853851747,1.0
96,3,32,DictionaryBruteForce,0.45132653061224487,1.0
96,3,32,DoS-HTTP_Flood,0.9060337592091765,1.0
96,3,32,DoS-SYN_Flood,0.23357940389406662,0.0
96,3,32,DoS-TCP_Flood,0.6789468016368727,1.0
96,3,32,DoS-UDP_Flood,0.7224852071005917,1.0
96,3,32,MITM-ArpSpoofing,0.0070729488812079355,0.8
96,3,32,Mirai-greeth_flood,0.9887828891529452,1.0
96,3,32,Mirai-greip_flood,0.9871266387349642,1.0
96,3,32,Mirai-udpplain,0.9936936936936936,1.0
96,3,32,Recon-HostDiscovery,0.6600698951572641,1.0
96,3,32,Recon-OSScan,0.12668739205526772,0.8
96,3,32,Recon-PingSweep,0.007058823529411765,0.0
96,3,32,Recon-PortScan,0.25572817147129684,1.0
96,3,32,SqlInjection,0.07141041931385006,0.0
96,3,32,Uploading_Attack,0.026595744680851064,0.0
96,3,32,VulnerabilityScan,0.5039184219324641,0.8
96,3,32,XSS,0.03604852686308492,0.0
96,8,12,Backdoor_Malware,0.03561076604554865,0.0
96,8,12,BenignTraffic,0.5927924919007381,1.0
96,8,12,BrowserHijacking,0.00989643268124281,0.0
96,8,12,CommandInjection,0.05957972805933252,0.0
96,8,12,DDoS-ACK_Fragmentation,0.517700180614088,0.6
96,8,12,DDoS-HTTP_Flood,0.3244732576985413,0.6
96,8,12,DDoS-ICMP_Flood,0.5964127218934911,0.6
96,8,12,DDoS-ICMP_Fragmentation,0.7940256615878107,0.8
96,8,12,DDoS-PSHACK_Flood,0.4768378546282874,0.6
96,8,12,DDoS-RSTFINFlood,0.4194185147749569,0.4
96,8,12,DDoS-SYN_Flood,-0.4924243195115746,0.2
96,8,12,DDoS-SlowLoris,0.6422879908935686,1.0
96,8,12,DDoS-SynonymousIP_Flood,0.5350837535501072,0.8
96,8,12,DDoS-TCP_Flood,0.25330848089468777,0.6
96,8,12,DDoS-UDP_Flood,0.6608445721866019,1.0
96,8,12,DDoS-UDP_Fragmentation,0.8015062761506275,0.8
96,8,12,DNS_Spoofing,0.6041177145918641,1.0
96,8,12,DictionaryBruteForce,0.44785714285714284,1.0
96,8,12,DoS-HTTP_Flood,0.7603842208337219,1.0
96,8,12,DoS-SYN_Flood,0.021426594075851242,0.0
96,8,12,DoS-TCP_Flood,0.558895110919664,0.8
96,8,12,DoS-UDP_Flood,0.6521696252465483,1.0
96,8,12,MITM-ArpSpoofing,0.05273421866472622,0.6
96,8,12,Mirai-greeth_flood,0.6725445594975387,0.8
96,8,12,Mirai-greip_flood,0.9054737126638734,1.0
96,8,12,Mirai-udpplain,0.6763132363132363,0.8
96,8,12,Recon-HostDiscovery,0.6597503744383425,1.0
96,8,12,Recon-OSScan,0.12668739205526772,0.8
96,8,12,Recon-PingSweep,0.007058823529411765,0.0
96,8,12,Recon-PortScan,0.0701171388219656,0.8
96,8,12,SqlInjection,0.07141041931385006,0.0
96,8,12,Uploading_Attack,0.026595744680851064,0.0
96,8,12,VulnerabilityScan,0.657559344700769,1.0
96,8,12,XSS,0.03604852686308492,0.0
96,12,8,Backdoor_Malware,0.03561076604554865,0.0
96,12,8,BenignTraffic,0.6260044754684213,1.0
96,12,8,BrowserHijacking,0.02094361334867664,0.0
96,12,8,CommandInjection,0.05957972805933252,0.0
96,12,8,DDoS-ACK_Fragmentation,0.5023546725533481,0.8
96,12,8,DDoS-HTTP_Flood,0.5134984950219958,0.8
96,12,8,DDoS-ICMP_Flood,0.41023175542406315,0.4
96,12,8,DDoS-ICMP_Fragmentation,0.21788960171077248,0.2
96,12,8,DDoS-PSHACK_Flood,0.09220335473182853,0.2
96,12,8,DDoS-RSTFINFlood,0.4021166537844105,0.4
96,12,8,DDoS-SYN_Flood,-0.32603408801831596,0.2
96,12,8,DDoS-SlowLoris,0.8184405236198066,1.0
96,12,8,DDoS-SynonymousIP_Flood,0.32905581637976,0.6
96,12,8,DDoS-TCP_Flood,0.305836439888164,0.6
96,12,8,DDoS-UDP_Flood,0.44260446606234805,0.8
96,12,8,DDoS-UDP_Fragmentation,0.501958158995816,0.6
96,12,8,DNS_Spoofing,0.5411962802801271,1.0
96,12,8,DictionaryBruteForce,0.45928571428571424,1.0
96,12,8,DoS-HTTP_Flood,0.27621001585377225,0.6
96,12,8,DoS-SYN_Flood,0.20120882162960232,0.0
96,12,8,DoS-TCP_Flood,0.4658518199440017,0.8
96,12,8,DoS-UDP_Flood,0.328698224852071,0.6
96,12,8,MITM-ArpSpoofing,-0.09052937966163362,0.4
96,12,8,Mirai-greeth_flood,0.4065319979629944,0.4
96,12,8,Mirai-greip_flood,0.5942086768482226,0.6
96,12,8,Mirai-udpplain,0.8630561330561332,1.0
96,12,8,Recon-HostDiscovery,0.49045431852221666,1.0
96,12,8,Recon-OSScan,0.12664594127806564,0.8
96,12,8,Recon-PingSweep,0.007058823529411765,0.0
96,12,8,Recon-PortScan,0.21404004320013295,1.0
96,12,8,SqlInjection,0.07141041931385006,0.0
96,12,8,Uploading_Attack,0.026595744680851064,0.0
96,12,8,VulnerabilityScan,0.43547308592444,0.8
96,12,8,XSS,0.03604852686308492,0.0
96,32,3,Backdoor_Malware,0.03561076604554865,0.0
96,32,3,BenignTraffic,0.7890384422697972,1.0
96,32,3,BrowserHijacking,0.02094361334867664,0.0
96,32,3,CommandInjection,0.05957972805933252,0.0
96,32,3,DDoS-ACK_Fragmentation,0.543307244631748,1.0
96,32,3,DDoS-HTTP_Flood,0.18703403565640192,0.4
96,32,3,DDoS-ICMP_Flood,0.46691321499013805,0.8
96,32,3,DDoS-ICMP_Fragmentation,0.345582731889869,0.6
96,32,3,DDoS-PSHACK_Flood,0.6512424932698282,0.8
96,32,3,DDoS-RSTFINFlood,0.006385635293418202,0.0
96,32,3,DDoS-SYN_Flood,0.19920630882727042,0.4
96,32,3,DDoS-SlowLoris,0.7679567444507684,0.8
96,32,3,DDoS-SynonymousIP_Flood,0.35895206630730886,0.8
96,32,3,DDoS-TCP_Flood,0.5110321528424977,1.0
96,32,3,DDoS-UDP_Flood,0.429703736458103,0.8
96,32,3,DDoS-UDP_Fragmentation,0.7388853556485355,0.8
96,32,3,DNS_Spoofing,0.5737935785082853,1.0
96,32,3,DictionaryBruteForce,0.4591836734693878,1.0
96,32,3,DoS-HTTP_Flood,0.8722558985358575,1.0
96,32,3,DoS-SYN_Flood,0.17378425763587707,0.0
96,32,3,DoS-TCP_Flood,0.6398556967477924,1.0
96,32,3,DoS-UDP_Flood,0.4640308409539179,0.8
96,32,3,MITM-ArpSpoofing,0.06613789339639803,0.4
96,32,3,Mirai-greeth_flood,0.9594500084875234,1.0
96,32,3,Mirai-greip_flood,0.6849168806595486,1.0
96,32,3,Mirai-udpplain,0.9203049203049203,1.0
96,32,3,Recon-HostDiscovery,0.7242336495257115,1.0
96,32,3,Recon-OSScan,0.10887737478411053,0.4
96,32,3,Recon-PingSweep,0.007058823529411765,0.0
96,32,3,Recon-PortScan,0.20621417296668607,0.8
96,32,3,SqlInjection,0.07141041931385006,0.0
96,32,3,Uploading_Attack,0.026595744680851064,0.0
96,32,3,VulnerabilityScan,0.662982280173855,1.0
96,32,3,XSS,0.03604852686308492,0.0
96,96,1,Backdoor_Malware,0.03561076604554865,0.0
96,96,1,BenignTraffic,0.6306870178016767,0.8
96,96,1,BrowserHijacking,0.02094361334867664,0.0
96,96,1,CommandInjection,0.05957972805933252,0.0
96,96,1,DDoS-ACK_Fragmentation,0.8959194594956184,1.0
96,96,1,DDoS-HTTP_Flood,0.6207455429497568,0.8
96,96,1,DDoS-ICMP_Flood,0.7826553254437869,1.0
96,96,1,DDoS-ICMP_Fragmentation,0.6197941726811014,1.0
96,96,1,DDoS-PSHACK_Flood,0.7708428246013668,0.8
96,96,1,DDoS-RSTFINFlood,0.5163208276354123,0.6
96,96,1,DDoS-SYN_Flood,0.2635054693462223,0.6
