arch,cell,seed,stage,class,recall_loss,val_recall
cnn1d,uniform80,0,before,Uploading_Attack,0.02127659574468085,0.0
cnn1d,uniform80,0,before,Recon-PingSweep,0.0,0.0
cnn1d,uniform80,0,before,Backdoor_Malware,0.004140786749482402,0.006224066390041493
cnn1d,uniform80,0,before,XSS,0.02772963604852686,0.022530329289428077
cnn1d,uniform80,0,before,SqlInjection,0.04701397712833545,0.0241423125794155
cnn1d,uniform80,0,before,CommandInjection,0.0630407911001236,0.04084158415841584
cnn1d,uniform80,0,before,BrowserHijacking,0.019562715765247412,0.14516129032258066
cnn1d,uniform80,0,before,DictionaryBruteForce,0.1086734693877551,0.20929045431342522
cnn1d,uniform80,0,before,DDoS-SlowLoris,0.954183266932271,0.9430848036425725
cnn1d,uniform80,0,before,DDoS-HTTP_Flood,-0.18175503588793707,0.7144511347846225
cnn1d,uniform80,0,before,DoS-HTTP_Flood,0.6540147346824583,0.9177468991886599
cnn1d,uniform80,0,before,Recon-PortScan,0.24399767383899643,0.3142239946826188
cnn1d,uniform80,0,before,Recon-OSScan,0.11447322970639032,0.09167530224525043
cnn1d,uniform80,0,before,DDoS-ICMP_Flood,0.00018491124260344716,0.9974112426035503
cnn1d,uniform80,0,before,DDoS-RSTFINFlood,0.00041619596884479026,0.9914377452729218
cnn1d,uniform80,0,before,DDoS-TCP_Flood,0.6396202236719478,0.6884720685035242
cnn1d,uniform80,0,before,DDoS-SynonymousIP_Flood,0.28163217991074013,0.17992116856016693
cnn1d,uniform80,0,before,DDoS-UDP_Flood,-0.2545876630554942,0.7134486761373059
cnn1d,uniform80,0,before,DoS-TCP_Flood,0.41153349127719147,0.5617057936678871
cnn1d,uniform80,0,before,DDoS-PSHACK_Flood,0.03075170842824604,0.85130727413927
cnn1d,uniform80,0,before,DDoS-SYN_Flood,-0.41694225387941997,0.4706929887045894
cnn1d,uniform80,0,before,Recon-HostDiscovery,0.6288067898152772,0.7313030454318522
cnn1d,uniform80,0,before,DoS-SYN_Flood,0.16439051397988372,0.3801042772112767
cnn1d,uniform80,0,before,DoS-UDP_Flood,0.6823112784651246,0.9256320602474448
cnn1d,uniform80,0,before,DNS_Spoofing,0.1503960812827676,0.7512915694003292
cnn1d,uniform80,0,before,MITM-ArpSpoofing,0.11828269965435691,0.5523012552301255
cnn1d,uniform80,0,before,Mirai-udpplain,0.07463617463617456,0.9892581170518729
cnn1d,uniform80,0,before,Mirai-greeth_flood,0.01632999490748599,0.9773205676648333
cnn1d,uniform80,0,before,Mirai-greip_flood,0.17205027706446818,0.97817272604406
cnn1d,uniform80,0,before,DDoS-UDP_Fragmentation,0.00023430962343096162,0.9857401084555132
cnn1d,uniform80,0,before,DDoS-ACK_Fragmentation,0.05194327379757846,0.9883604254465181
cnn1d,uniform80,0,before,VulnerabilityScan,-0.09033767970578399,0.6228017385489802
cnn1d,uniform80,0,before,DDoS-ICMP_Fragmentation,-0.019513499064421236,0.9901764234161988
cnn1d,uniform80,0,before,BenignTraffic,0.5005844828162053,0.6763193052772211
cnn1d,uniform80,0,after,Uploading_Attack,0.02127659574468085,0.0
cnn1d,uniform80,0,after,Recon-PingSweep,0.0,0.0
cnn1d,uniform80,0,after,Backdoor_Malware,0.004140786749482402,0.006224066390041493
cnn1d,uniform80,0,after,XSS,0.02772963604852686,0.022530329289428077
cnn1d,uniform80,0,after,SqlInjection,0.04701397712833545,0.0241423125794155
cnn1d,uniform80,0,after,CommandInjection,0.0630407911001236,0.04084158415841584
cnn1d,uniform80,0,after,BrowserHijacking,0.019562715765247412,0.14516129032258066
cnn1d,uniform80,0,after,DictionaryBruteForce,0.001530612244897922,0.20929045431342522
cnn1d,uniform80,0,after,DDoS-SlowLoris,0.061468412066021716,0.9430848036425725
cnn1d,uniform80,0,after,DDoS-HTTP_Flood,0.03565640194489461,0.7144511347846225
cnn1d,uniform80,0,after,DoS-HTTP_Flood,0.043364730019584075,0.9177468991886599
cnn1d,uniform80,0,after,Recon-PortScan,0.13009886184265182,0.3142239946826188
cnn1d,uniform80,0,after,Recon-OSScan,0.03965457685664939,0.09167530224525043
cnn1d,uniform80,0,after,DDoS-ICMP_Flood,0.0002465483234713739,0.9974112426035503
cnn1d,uniform80,0,after,DDoS-RSTFINFlood,0.00011891313395573366,0.9914377452729218
cnn1d,uniform80,0,after,DDoS-TCP_Flood,-0.2728331780055918,0.6884720685035242
cnn1d,uniform80,0,after,DDoS-SynonymousIP_Flood,-0.5384570799281285,0.17992116856016693
cnn1d,uniform80,0,after,DDoS-UDP_Flood,0.03410347114746848,0.7134486761373059
cnn1d,uniform80,0,after,DoS-TCP_Flood,0.26378419125565367,0.5617057936678871
cnn1d,uniform80,0,after,DDoS-PSHACK_Flood,0.000103541105819005,0.85130727413927
cnn1d,uniform80,0,after,DDoS-SYN_Flood,0.39140167896209616,0.4706929887045894
cnn1d,uniform80,0,after,Recon-HostDiscovery,-0.0591113330004992,0.7313030454318522
cnn1d,uniform80,0,after,DoS-SYN_Flood,-0.019931715419396534,0.3801042772112767
cnn1d,uniform80,0,after,DoS-UDP_Flood,-0.021427290658059928,0.9256320602474448
cnn1d,uniform80,0,after,DNS_Spoofing,0.3068768895181968,0.7512915694003292
cnn1d,uniform80,0,after,MITM-ArpSpoofing,-0.005020920502092047,0.5523012552301255
cnn1d,uniform80,0,after,Mirai-udpplain,-0.000658350658350737,0.9892581170518729
cnn1d,uniform80,0,after,Mirai-greeth_flood,-0.0005092514004413351,0.9773205676648333
cnn1d,uniform80,0,after,Mirai-greip_flood,0.033822138126773926,0.97817272604406
cnn1d,uniform80,0,after,DDoS-UDP_Fragmentation,0.00046861924686192324,0.9857401084555132
cnn1d,uniform80,0,after,DDoS-ACK_Fragmentation,-0.008462104488594524,0.9883604254465181
cnn1d,uniform80,0,after,VulnerabilityScan,0.15028418589100645,0.6228017385489802
cnn1d,uniform80,0,after,DDoS-ICMP_Fragmentation,0.003875968992248069,0.9901764234161988
cnn1d,uniform80,0,after,BenignTraffic,0.05373902007280984,0.6763193052772211
cnn1d,uniform80,1,before,Uploading_Attack,0.07446808510638298,0.031914893617021274
cnn1d,uniform80,1,before,Recon-PingSweep,0.0029411764705882353,0.0
cnn1d,uniform80,1,before,Backdoor_Malware,0.037267080745341616,0.016597510373443983
cnn1d,uniform80,1,before,XSS,0.03119584055459272,0.01733102253032929
