seed,t,macro_f1
0,0.0,0.3376755048307554
0,0.1,0.3843241447228357
0,0.2,0.4062381147480225
0,0.3,0.42003128315239663
0,0.4,0.4333797555748934
0,0.5,0.44576157262636906
0,0.6,0.4603760175849086
0,0.7,0.47736406563236156
0,0.8,0.4903534022148699
0,0.9,0.5001488351136186
0,1.0,0.5047298667252218
1,0.0,0.4051931077589989
1,0.1,0.4198587847097245
1,0.2,0.4328467832152465
1,0.3,0.4514720041881205
1,0.4,0.4821266711688922
1,0.5,0.48804048430671804
1,0.6,0.4879462556280309
1,0.7,0.46391809849596943
1,0.8,0.4664386464992114
1,0.9,0.4702130697237938
1,1.0,0.4749679413318289
2,0.0,0.009040425353851637
2,0.1,0.05774247361527936
2,0.2,0.1134233706775777
2,0.3,0.1768175347625578
2,0.4,0.24632515747456474
2,0.5,0.36801139076064443
2,0.6,0.4160848387549323
2,0.7,0.4428134102897186
2,0.8,0.47607615960592353
2,0.9,0.5084864753118863
2,1.0,0.5189777080845985
3,0.0,0.3848574819246689
3,0.1,0.4051254653419047
3,0.2,0.42155224312879747
3,0.3,0.45088740792042653
3,0.4,0.46688224603621914
3,0.5,0.4757195369794997
3,0.6,0.4837232396231337
3,0.7,0.4920311470725147
3,0.8,0.4960035659276502
3,0.9,0.49801475313378596
3,1.0,0.5004133221010555
4,0.0,0.21625660405443467
4,0.1,0.2488033624982684
4,0.2,0.29106652990865967
4,0.3,0.32761936701709937
4,0.4,0.3486368564262764
4,0.5,0.3662563855790761
4,0.6,0.39891882675048573
4,0.7,0.4389770024004291
4,0.8,0.45987995819135336
4,0.9,0.5039300656674628
4,1.0,0.5123369086745587
