cell,error_type,count,rate_over_true_attack,rate_over_true_benign
M0,attack_to_benign,22603,0.04352338590106483,
M0,benign_to_attack,9608,,0.32089776560569117
M0,attack_to_same_family_attack,46627,0.08978298962124276,
M0,attack_to_cross_family_attack,81665,0.15725068838696013,
M0,exact_attack_type_correct,368435,0.7094429360907323,
prune50,attack_to_benign,25153,0.04843355862361119,
prune50,benign_to_attack,8542,,0.2852944123442771
prune50,attack_to_same_family_attack,40317,0.07763271908035353,
prune50,attack_to_cross_family_attack,94640,0.18223480253403423,
prune50,exact_attack_type_correct,359220,0.691698919762001,
prune80,attack_to_benign,4561,0.008782469720601545,
prune80,benign_to_attack,24596,,0.8214822484218964
prune80,attack_to_same_family_attack,80602,0.15520382030693394,
prune80,attack_to_cross_family_attack,136094,0.26205688098126434,
prune80,exact_attack_type_correct,298073,0.5739568289912002,
distillation,attack_to_benign,33203,0.0639342999634144,
distillation,benign_to_attack,8463,,0.28265588991683643
distillation,attack_to_same_family_attack,48529,0.09344540080488321,
distillation,attack_to_cross_family_attack,83896,0.1615466081297056,
distillation,exact_attack_type_correct,353702,0.6810736911019968,
int8,attack_to_benign,23118,0.04451504823522616,
int8,benign_to_attack,9433,,0.31505293744363916
int8,attack_to_same_family_attack,46481,0.08950185816340285,
int8,attack_to_cross_family_attack,80852,0.1556852097895365,
int8,exact_attack_type_correct,368879,0.7102978838118345,
float16,attack_to_benign,22679,0.043669728303776016,
float16,benign_to_attack,9591,,0.32032998229852044
float16,attack_to_same_family_attack,46514,0.08956540157510638,
float16,attack_to_cross_family_attack,81743,0.15740088190553214,
float16,exact_attack_type_correct,368394,0.7093639882155854,
