cell,class,mean_recall_loss,affected_frequency
tapconc38,Backdoor_Malware,0.014078674948240166,0.0
tapconc38,BenignTraffic,0.6720817607962326,1.0
tapconc38,BrowserHijacking,0.010817031070195628,0.0
tapconc38,CommandInjection,0.0511742892459827,0.0
tapconc38,DDoS-ACK_Fragmentation,0.6601712489129707,0.8
tapconc38,DDoS-HTTP_Flood,0.7203056263023848,1.0
tapconc38,DDoS-ICMP_Flood,0.9978920118343195,1.0
tapconc38,DDoS-ICMP_Fragmentation,0.7741112002138466,0.8
tapconc38,DDoS-PSHACK_Flood,0.7982708635328225,0.8
tapconc38,DDoS-RSTFINFlood,0.7306141863368809,0.8
tapconc38,DDoS-SYN_Flood,0.33064360213686084,0.2
tapconc38,DDoS-SlowLoris,0.8524188958451907,1.0
tapconc38,DDoS-SynonymousIP_Flood,0.536579145655828,0.8
tapconc38,DDoS-TCP_Flood,0.30228331780055917,0.8
tapconc38,DDoS-UDP_Flood,0.7299358832633208,1.0
tapconc38,DDoS-UDP_Fragmentation,0.7917924686192469,0.8
tapconc38,DNS_Spoofing,0.56207569553404,1.0
tapconc38,DictionaryBruteForce,0.3419387755102041,1.0
tapconc38,DoS-HTTP_Flood,0.46388137648046257,0.8
tapconc38,DoS-SYN_Flood,-0.11583464058318724,0.6
tapconc38,DoS-TCP_Flood,0.4629549860004308,0.8
tapconc38,DoS-UDP_Flood,0.6794692487000179,1.0
tapconc38,MITM-ArpSpoofing,0.10546843732945244,0.6
tapconc38,Mirai-greeth_flood,0.7750466813783738,0.8
tapconc38,Mirai-greip_flood,0.7820245979186377,0.8
tapconc38,Mirai-udpplain,0.7794733194733194,0.8
tapconc38,Recon-HostDiscovery,0.1941088367448827,0.4
tapconc38,Recon-OSScan,0.13950949913644214,1.0
tapconc38,Recon-PingSweep,0.0017647058823529412,0.0
tapconc38,Recon-PortScan,0.21036803190163664,1.0
tapconc38,SqlInjection,0.052604828462515886,0.0
tapconc38,Uploading_Attack,0.019148936170212766,0.0
tapconc38,VulnerabilityScan,0.6108057505850886,1.0
tapconc38,XSS,0.015944540727902946,0.0
tapconc96,Backdoor_Malware,0.014078674948240166,0.0
tapconc96,BenignTraffic,0.2622023312514612,0.8
tapconc96,BrowserHijacking,0.002071346375143844,0.0
tapconc96,CommandInjection,0.0511742892459827,0.0
tapconc96,DDoS-ACK_Fragmentation,0.47220549869556494,0.8
tapconc96,DDoS-HTTP_Flood,0.11271127575827737,0.4
tapconc96,DDoS-ICMP_Flood,0.020192307692307666,0.0
tapconc96,DDoS-ICMP_Fragmentation,0.07187917669072441,0.2
tapconc96,DDoS-PSHACK_Flood,0.16877200248498653,0.2
tapconc96,DDoS-RSTFINFlood,0.0030203936024734146,0.0
tapconc96,DDoS-SYN_Flood,0.11632663444416178,0.0
tapconc96,DDoS-SlowLoris,0.5228799089356858,0.8
tapconc96,DDoS-SynonymousIP_Flood,0.28859908421723757,0.6
tapconc96,DDoS-TCP_Flood,-0.0006174277726001653,0.4
tapconc96,DDoS-UDP_Flood,0.5361375193455671,0.8
tapconc96,DDoS-UDP_Fragmentation,0.38340418410041843,0.4
tapconc96,DNS_Spoofing,0.4393479009605449,1.0
tapconc96,DictionaryBruteForce,0.10581632653061224,0.6
tapconc96,DoS-HTTP_Flood,0.43305045229879696,0.8
tapconc96,DoS-SYN_Flood,0.018335332656639298,0.6
tapconc96,DoS-TCP_Flood,0.3560628903726039,0.6
tapconc96,DoS-UDP_Flood,-0.03042854581316119,0.2
tapconc96,MITM-ArpSpoofing,-0.05114789885392033,0.2
tapconc96,Mirai-greeth_flood,0.19396367340010187,0.2
tapconc96,Mirai-greip_flood,0.4494188403838356,0.6
tapconc96,Mirai-udpplain,0.20265419265419266,0.2
tapconc96,Recon-HostDiscovery,0.08972541188217673,0.2
tapconc96,Recon-OSScan,0.01792055267702937,0.4
tapconc96,Recon-PingSweep,0.001176470588235294,0.0
tapconc96,Recon-PortScan,0.05601063387887347,0.4
tapconc96,SqlInjection,-2.7755575615628915e-18,0.0
tapconc96,Uploading_Attack,0.019148936170212766,0.0
tapconc96,VulnerabilityScan,0.4919491808759612,1.0
tapconc96,XSS,0.015597920277296359,0.0
tapspread38,Backdoor_Malware,0.014078674948240166,0.0
tapspread38,BenignTraffic,0.46880865702548347,1.0
tapspread38,BrowserHijacking,0.011047180667433832,0.0
tapspread38,CommandInjection,-0.0857849196538937,0.0
tapspread38,DDoS-ACK_Fragmentation,0.7230985350190648,0.8
tapspread38,DDoS-HTTP_Flood,0.30094929381801344,0.6
tapspread38,DDoS-ICMP_Flood,0.20124506903353057,0.2
tapspread38,DDoS-ICMP_Fragmentation,0.20586741512964452,0.2
tapspread38,DDoS-PSHACK_Flood,0.19962725201905157,0.2
tapspread38,DDoS-RSTFINFlood,0.5153100659967894,0.6
tapspread38,DDoS-SYN_Flood,0.27964385652505724,0.2
