attacker_seeds,held_out_seed,recipe,strategy,n_types,misattribution_rate,attack_to_benign_rate,cross_family_rate,wrong_family_or_benign_rate,n_flows
"(0, 1, 2)",3,default_layerwise80,random_over_detectable,20,0.33383646909979814,0.049097533821964676,0.16760282715192926,0.21670036097389395,417991
"(0, 1, 2)",3,default_layerwise80,blind_spot_set,3,0.7061209380144122,0.07734404796485833,0.577319434478298,0.6546634824431563,49325
"(0, 1, 2)",4,default_layerwise80,random_over_detectable,20,0.6157315482136391,0.0015928683236471537,0.45541964544139707,0.4570125137650443,417991
"(0, 1, 2)",4,default_layerwise80,blind_spot_set,3,0.46356268330746225,0.003561324679647196,0.3717013762771402,0.37526270095678743,49325
"(0, 1, 2)",3,protect_conv0,random_over_detectable,20,0.1702073102576619,0.015581110667624803,0.10579071238109024,0.12137182304871504,417991
"(0, 1, 2)",3,protect_conv0,blind_spot_set,3,0.3564203859843868,0.02662013383605154,0.2734232247502752,0.30004335858632675,49325
"(0, 1, 2)",4,protect_conv0,random_over_detectable,20,0.16087999917376147,0.01579843789519242,0.1044431037807603,0.12024154167595272,417991
"(0, 1, 2)",4,protect_conv0,blind_spot_set,3,0.20903956306195737,0.027822731692507558,0.12389381682476562,0.15171654851727318,49325
"(0, 1, 2)",3,global80,random_over_detectable,20,0.17611046113355058,0.018565105566790873,0.11045493630322092,0.12902004187001176,417991
"(0, 1, 2)",3,global80,blind_spot_set,3,0.4666198977623213,0.03319580453994938,0.37899467074843307,0.4121904752883825,49325
"(0, 1, 2)",4,global80,random_over_detectable,20,0.16296543965797206,0.01311560450705744,0.11180429179736495,0.12491989630442243,417991
"(0, 1, 2)",4,global80,blind_spot_set,3,0.2540999113298263,0.023579097144329823,0.17353991438157723,0.19711901152590705,49325
"(0, 1, 2)",3,dense,random_over_detectable,20,0.19303691286968222,0.015164387029701076,0.11192174369065792,0.127086130720359,417991
"(0, 1, 2)",3,dense,blind_spot_set,3,0.21269653913432549,0.02259723660181027,0.1381204855445915,0.16071772214640176,49325
