arch,seed,dose,cell,conv.0,conv.3,head,prunable_sparsity,remaining_nonzero_prunable,body.0,body.3
cnn1d,0,0.0,conv0dose0_paired,0.0,0.8000081777572632,0.800000011920929,0.7941108722358723,5363,,
cnn1d,0,0.5,conv0dose50_paired,0.5,0.8000081777572632,0.800000011920929,0.7977963759213759,5267,,
cnn1d,0,0.8,conv0dose80_paired,0.8020833730697632,0.8000081777572632,0.800000011920929,0.8000230343980343,5209,,
cnn1d,0,0.9,conv0dose90_paired,0.9010416865348816,0.8000081777572632,0.800000011920929,0.800752457002457,5190,,
cnn1d,0,0.95,conv0dose95_paired,0.9479166865348816,0.8000081777572632,0.800000011920929,0.801097972972973,5181,,
cnn1d,1,0.0,conv0dose0_paired,0.0,0.8000081777572632,0.800000011920929,0.7941108722358723,5363,,
cnn1d,1,0.5,conv0dose50_paired,0.5,0.8000081777572632,0.800000011920929,0.7977963759213759,5267,,
cnn1d,1,0.8,conv0dose80_paired,0.8020833730697632,0.8000081777572632,0.800000011920929,0.8000230343980343,5209,,
cnn1d,1,0.9,conv0dose90_paired,0.9010416865348816,0.8000081777572632,0.800000011920929,0.800752457002457,5190,,
cnn1d,1,0.95,conv0dose95_paired,0.9479166865348816,0.8000081777572632,0.800000011920929,0.801097972972973,5181,,
cnn1d,2,0.0,conv0dose0_paired,0.0,0.8000081777572632,0.800000011920929,0.7941108722358723,5363,,
cnn1d,2,0.5,conv0dose50_paired,0.5,0.8000081777572632,0.800000011920929,0.7977963759213759,5267,,
cnn1d,2,0.8,conv0dose80_paired,0.8020833730697632,0.8000081777572632,0.800000011920929,0.8000230343980343,5209,,
cnn1d,2,0.9,conv0dose90_paired,0.9010416865348816,0.8000081777572632,0.800000011920929,0.800752457002457,5190,,
cnn1d,2,0.95,conv0dose95_paired,0.9479166865348816,0.8000081777572632,0.800000011920929,0.801097972972973,5181,,
cnn1d,3,0.0,conv0dose0_paired,0.0,0.8000081777572632,0.800000011920929,0.7941108722358723,5363,,
cnn1d,3,0.5,conv0dose50_paired,0.5,0.8000081777572632,0.800000011920929,0.7977963759213759,5267,,
cnn1d,3,0.8,conv0dose80_paired,0.8020833730697632,0.8000081777572632,0.800000011920929,0.8000230343980343,5209,,
cnn1d,3,0.9,conv0dose90_paired,0.9010416865348816,0.8000081777572632,0.800000011920929,0.800752457002457,5190,,
cnn1d,3,0.95,conv0dose95_paired,0.9479166865348816,0.8000081777572632,0.800000011920929,0.801097972972973,5181,,
cnn1d,4,0.0,conv0dose0_paired,0.0,0.8000081777572632,0.800000011920929,0.7941108722358723,5363,,
cnn1d,4,0.5,conv0dose50_paired,0.5,0.8000081777572632,0.800000011920929,0.7977963759213759,5267,,
cnn1d,4,0.8,conv0dose80_paired,0.8020833730697632,0.8000081777572632,0.800000011920929,0.8000230343980343,5209,,
cnn1d,4,0.9,conv0dose90_paired,0.9010416865348816,0.8000081777572632,0.800000011920929,0.800752457002457,5190,,
cnn1d,4,0.95,conv0dose95_paired,0.9479166865348816,0.8000081777572632,0.800000011920929,0.801097972972973,5181,,
mlp,0,0.8,inputdose8000_mlp_paired,,,0.800000011920929,0.7999904141104295,8346,0.8000000715255737,0.79998779296875
mlp,0,0.975,inputdose9750_mlp_paired,,,0.800000011920929,0.8321990030674846,7002,0.9750000238418579,0.79998779296875
mlp,0,0.9875,inputdose9875_mlp_paired,,,0.800000011920929,0.8344996165644172,6906,0.9875000715255737,0.79998779296875
mlp,0,0.995052,inputdose9951_mlp_paired,,,0.800000011920929,0.8358895705521472,6848,0.99505215883255,0.79998779296875
mlp,1,0.8,inputdose8000_mlp_paired,,,0.800000011920929,0.7999904141104295,8346,0.8000000715255737,0.79998779296875
mlp,1,0.975,inputdose9750_mlp_paired,,,0.800000011920929,0.8321990030674846,7002,0.9750000238418579,0.79998779296875
mlp,1,0.9875,inputdose9875_mlp_paired,,,0.800000011920929,0.8344996165644172,6906,0.9875000715255737,0.79998779296875
mlp,1,0.995052,inputdose9951_mlp_paired,,,0.800000011920929,0.8358895705521472,6848,0.99505215883255,0.79998779296875
mlp,2,0.8,inputdose8000_mlp_paired,,,0.800000011920929,0.7999904141104295,8346,0.8000000715255737,0.79998779296875
mlp,2,0.975,inputdose9750_mlp_paired,,,0.800000011920929,0.8321990030674846,7002,0.9750000238418579,0.79998779296875
mlp,2,0.9875,inputdose9875_mlp_paired,,,0.800000011920929,0.8344996165644172,6906,0.9875000715255737,0.79998779296875
mlp,2,0.995052,inputdose9951_mlp_paired,,,0.800000011920929,0.8358895705521472,6848,0.99505215883255,0.79998779296875
mlp,3,0.8,inputdose8000_mlp_paired,,,0.800000011920929,0.7999904141104295,8346,0.8000000715255737,0.79998779296875
mlp,3,0.975,inputdose9750_mlp_paired,,,0.800000011920929,0.8321990030674846,7002,0.9750000238418579,0.79998779296875
mlp,3,0.9875,inputdose9875_mlp_paired,,,0.800000011920929,0.8344996165644172,6906,0.9875000715255737,0.79998779296875
mlp,3,0.995052,inputdose9951_mlp_paired,,,0.800000011920929,0.8358895705521472,6848,0.99505215883255,0.79998779296875
mlp,4,0.8,inputdose8000_mlp_paired,,,0.800000011920929,0.7999904141104295,8346,0.8000000715255737,0.79998779296875
mlp,4,0.975,inputdose9750_mlp_paired,,,0.800000011920929,0.8321990030674846,7002,0.9750000238418579,0.79998779296875
mlp,4,0.9875,inputdose9875_mlp_paired,,,0.800000011920929,0.8344996165644172,6906,0.9875000715255737,0.79998779296875
mlp,4,0.995052,inputdose9951_mlp_paired,,,0.800000011920929,0.8358895705521472,6848,0.99505215883255,0.79998779296875
