arch,seed,dose,cell,test_macro_f1
cnn1d,0,-1.0,M0,0.4585036812817866
cnn1d,0,0.0,conv0dose0_paired,0.5074130565697998
cnn1d,0,0.5,conv0dose50_paired,0.31344009800218503
cnn1d,0,0.8,conv0dose80_paired,0.2882326942196338
cnn1d,0,0.9,conv0dose90_paired,0.10800416056802106
cnn1d,0,0.95,conv0dose95_paired,0.0549737188317765
cnn1d,1,-1.0,M0,0.4715731119692159
cnn1d,1,0.0,conv0dose0_paired,0.3817431023040237
cnn1d,1,0.5,conv0dose50_paired,0.3417838577746739
cnn1d,1,0.8,conv0dose80_paired,0.25265382076203
cnn1d,1,0.9,conv0dose90_paired,0.06618756381331778
cnn1d,1,0.95,conv0dose95_paired,0.15987312374248236
cnn1d,2,-1.0,M0,0.5008209760766786
cnn1d,2,0.0,conv0dose0_paired,0.38410808916793987
cnn1d,2,0.5,conv0dose50_paired,0.34292905458173845
cnn1d,2,0.8,conv0dose80_paired,0.23184943410270717
cnn1d,2,0.9,conv0dose90_paired,0.047609567220897195
cnn1d,2,0.95,conv0dose95_paired,0.04093729166378682
cnn1d,3,-1.0,M0,0.4012111929013045
cnn1d,3,0.0,conv0dose0_paired,0.3366410206283218
cnn1d,3,0.5,conv0dose50_paired,0.3587764994566533
cnn1d,3,0.8,conv0dose80_paired,0.07734888611511051
cnn1d,3,0.9,conv0dose90_paired,0.19198396423740907
cnn1d,3,0.95,conv0dose95_paired,0.009176935121519503
cnn1d,4,-1.0,M0,0.4646115015933138
cnn1d,4,0.0,conv0dose0_paired,0.3627272341534183
cnn1d,4,0.5,conv0dose50_paired,0.347126175239885
cnn1d,4,0.8,conv0dose80_paired,0.16682180268386365
cnn1d,4,0.9,conv0dose90_paired,0.24248151294597114
cnn1d,4,0.95,conv0dose95_paired,0.034264147264978874
mlp,0,-1.0,M0,0.43965061126207916
mlp,0,0.8,inputdose8000_mlp_paired,0.36202166579663103
mlp,0,0.975,inputdose9750_mlp_paired,0.34647741242626756
mlp,0,0.9875,inputdose9875_mlp_paired,0.4526716919386673
mlp,0,0.995052,inputdose9951_mlp_paired,0.21966841369587686
mlp,1,-1.0,M0,0.546687648381071
mlp,1,0.8,inputdose8000_mlp_paired,0.4681075326596947
mlp,1,0.975,inputdose9750_mlp_paired,0.3616354771456351
mlp,1,0.9875,inputdose9875_mlp_paired,0.29733830876274164
mlp,1,0.995052,inputdose9951_mlp_paired,0.10441926113102265
mlp,2,-1.0,M0,0.48883186213602575
mlp,2,0.8,inputdose8000_mlp_paired,0.39068128906199756
mlp,2,0.975,inputdose9750_mlp_paired,0.4592697288402211
mlp,2,0.9875,inputdose9875_mlp_paired,0.3534883925921754
mlp,2,0.995052,inputdose9951_mlp_paired,0.2046982022015884
mlp,3,-1.0,M0,0.5394123755583796
mlp,3,0.8,inputdose8000_mlp_paired,0.42001359268644844
mlp,3,0.975,inputdose9750_mlp_paired,0.4077233338623554
mlp,3,0.9875,inputdose9875_mlp_paired,0.28980919518260373
mlp,3,0.995052,inputdose9951_mlp_paired,0.13789977038494863
mlp,4,-1.0,M0,0.5337862645627999
mlp,4,0.8,inputdose8000_mlp_paired,0.48301023374905316
mlp,4,0.975,inputdose9750_mlp_paired,0.3683664053462815
mlp,4,0.9875,inputdose9875_mlp_paired,0.3854489046208746
mlp,4,0.995052,inputdose9951_mlp_paired,0.11770694276728086
