cell,class,mean_recall_loss,sd_recall_loss,affected_frequency,n
prune90,Backdoor_Malware,0.0,0.0,0.0,5
prune90,BenignTraffic,0.10852676931298218,0.08130027506062316,0.6,5
prune90,BrowserHijacking,0.0,0.0,0.0,5
prune90,CommandInjection,0.006427688504326329,0.008124438430237321,0.0,5
prune90,DDoS-ACK_Fragmentation,0.0768747073382835,0.03653946757114729,0.2,5
prune90,DDoS-HTTP_Flood,0.00764065755962029,0.024633199600600748,0.0,5
prune90,DDoS-ICMP_Flood,0.0009615384615384359,0.0004371455430595665,0.0,5
prune90,DDoS-ICMP_Fragmentation,0.0020716385993050147,0.002661256755642114,0.0,5
prune90,DDoS-PSHACK_Flood,0.05845930834541313,0.12242579025151266,0.2,5
prune90,DDoS-RSTFINFlood,0.00022593495451574963,0.00056624381715007,0.0,5
prune90,DDoS-SYN_Flood,0.028776392775375227,0.03277003034429221,0.0,5
prune90,DDoS-SlowLoris,0.1454752418895845,0.0668821367612824,0.8,5
prune90,DDoS-SynonymousIP_Flood,-0.1709963484611372,0.1989608564484462,0.0,5
prune90,DDoS-TCP_Flood,-0.09104147250698977,0.1972918172202244,0.0,5
prune90,DDoS-UDP_Flood,-0.0789962414326774,0.18696846512981818,0.0,5
prune90,DDoS-UDP_Fragmentation,0.009747280334728025,0.002234594813573067,0.0,5
prune90,DNS_Spoofing,0.03999846925108109,0.0375379345199758,0.0,5
prune90,DictionaryBruteForce,0.029795918367346942,0.04492346214465287,0.0,5
prune90,DoS-HTTP_Flood,0.034561223538188954,0.05845584111709154,0.2,5
prune90,DoS-SYN_Flood,0.08470056288640768,0.06491564048719123,0.2,5
prune90,DoS-TCP_Flood,0.2890480292914064,0.22740760848191768,0.2,5
prune90,DoS-UDP_Flood,0.09595660749506905,0.20477477955197484,0.6,5
prune90,MITM-ArpSpoofing,-0.08493360014553393,0.10427178887476077,0.0,5
prune90,Mirai-greeth_flood,0.02984213206586317,0.03660164115838064,0.0,5
prune90,Mirai-greip_flood,0.014941208271388052,0.006386552284252796,0.0,5
prune90,Mirai-udpplain,0.004941094941094915,0.0024596155700457654,0.0,5
prune90,Recon-HostDiscovery,0.009635546679980057,0.05405595283855945,0.0,5
prune90,Recon-OSScan,0.01706390328151986,0.019348876681039497,0.0,5
prune90,Recon-PingSweep,0.0,0.0,0.0,5
prune90,Recon-PortScan,0.06705989864584198,0.017012717395868016,0.0,5
prune90,SqlInjection,0.035578144853875476,0.009029650828177823,0.0,5
prune90,Uploading_Attack,0.0,0.0,0.0,5
prune90,VulnerabilityScan,0.0899364760949515,0.045050032560699525,0.2,5
prune90,XSS,0.0020797227036395147,0.004650401339687605,0.0,5
prune95,Backdoor_Malware,0.0,0.0,0.0,5
prune95,BenignTraffic,0.16992752413079054,0.09010417648640043,0.6,5
prune95,BrowserHijacking,0.0,0.0,0.0,5
prune95,CommandInjection,0.006427688504326329,0.008124438430237321,0.0,5
prune95,DDoS-ACK_Fragmentation,0.07383771489731754,0.048216085759168366,0.2,5
prune95,DDoS-HTTP_Flood,0.016022227367446164,0.04593284814232498,0.0,5
prune95,DDoS-ICMP_Flood,0.0008382642998027601,0.00018796783385083548,0.0,5
prune95,DDoS-ICMP_Fragmentation,0.00495856722801391,0.0013708914458944554,0.0,5
prune95,DDoS-PSHACK_Flood,0.13619797059432598,0.10428982505453896,0.6,5
prune95,DDoS-RSTFINFlood,0.0003329567750758322,0.0005311305412718364,0.0,5
prune95,DDoS-SYN_Flood,0.031238870516408047,0.04609428479338879,0.2,5
prune95,DDoS-SlowLoris,0.29322709163346616,0.0789880610879647,1.0,5
prune95,DDoS-SynonymousIP_Flood,-0.1595316756506115,0.2206285138910535,0.0,5
prune95,DDoS-TCP_Flood,-0.1668569431500466,0.20519781663399753,0.0,5
prune95,DDoS-UDP_Flood,-0.05402387795710813,0.2655567146331568,0.0,5
prune95,DDoS-UDP_Fragmentation,0.013402510460251049,0.0022690758867450265,0.0,5
prune95,DNS_Spoofing,0.053698672075312835,0.0373662031093076,0.0,5
prune95,DictionaryBruteForce,0.03540816326530612,0.04075186235884548,0.0,5
prune95,DoS-HTTP_Flood,0.0243961577916628,0.052669165177873935,0.0,5
prune95,DoS-SYN_Flood,0.09928024360985513,0.05708195466781176,0.2,5
prune95,DoS-TCP_Flood,0.3547060090458755,0.16331180032142079,0.2,5
prune95,DoS-UDP_Flood,0.13281334050564822,0.3158548706740636,0.6,5
prune95,MITM-ArpSpoofing,-0.09779879934509732,0.12541574881924375,0.0,5
prune95,Mirai-greeth_flood,0.16907146494652858,0.2853243145853444,0.4,5
prune95,Mirai-greip_flood,0.15265576429247196,0.21718215177218683,0.4,5
prune95,Mirai-udpplain,0.00826749826749824,0.001255221119129432,0.0,5
prune95,Recon-HostDiscovery,0.03568647029455817,0.08157945454324039,0.2,5
prune95,Recon-OSScan,0.02383419689119171,0.015410208734674287,0.0,5
prune95,Recon-PingSweep,0.0,0.0,0.0,5
prune95,Recon-PortScan,0.07162914347428762,0.018631194158543633,0.0,5
prune95,SqlInjection,0.035578144853875476,0.009029650828177823,0.0,5
prune95,Uploading_Attack,0.0,0.0,0.0,5
prune95,VulnerabilityScan,0.09617519224339688,0.04135344981321363,0.4,5
prune95,XSS,0.0020797227036395147,0.004650401339687605,0.0,5
prune97,Backdoor_Malware,0.0,0.0,0.0,5
prune97,BenignTraffic,0.15191209378444276,0.03708850502049647,0.8,5
prune97,BrowserHijacking,0.0,0.0,0.0,5
prune97,CommandInjection,0.006427688504326329,0.008124438430237321,0.0,5
prune97,DDoS-ACK_Fragmentation,0.047193792226904806,0.07575932192467219,0.2,5
prune97,DDoS-HTTP_Flood,0.015003473026163472,0.058609801884763675,0.0,5
prune97,DDoS-ICMP_Flood,0.0017504930966469434,0.0009554741629262939,0.0,5
prune97,DDoS-ICMP_Fragmentation,0.008801122694466756,0.0037137596987669758,0.0,5
prune97,DDoS-PSHACK_Flood,0.031901014702837016,0.020385387378502633,0.0,5
prune97,DDoS-RSTFINFlood,0.00048754384921816384,0.0004233541380323986,0.0,5
prune97,DDoS-SYN_Flood,0.022783006868481292,0.06564034190768844,0.2,5
prune97,DDoS-SlowLoris,0.45947638019351167,0.07932082673735394,1.0,5
prune97,DDoS-SynonymousIP_Flood,-0.08840201704051467,0.15969052311618767,0.0,5
prune97,DDoS-TCP_Flood,-0.1907502329916123,0.12717957388926932,0.0,5
prune97,DDoS-UDP_Flood,-0.035684280344903826,0.29909497940911794,0.2,5
prune97,DDoS-UDP_Fragmentation,0.01964853556485353,0.004049932560834635,0.0,5
prune97,DNS_Spoofing,0.1691554092839922,0.06460067283092613,0.8,5
prune97,DictionaryBruteForce,0.025918367346938774,0.03769541614264833,0.0,5
prune97,DoS-HTTP_Flood,0.1147813112002238,0.07000250516992135,0.4,5
prune97,DoS-SYN_Flood,0.09271015963827628,0.04258276954230322,0.0,5
prune97,DoS-TCP_Flood,0.4448309282791299,0.16740004578645518,0.8,5
prune97,DoS-UDP_Flood,0.11325085171239017,0.3373275451126585,0.6,5
prune97,MITM-ArpSpoofing,0.021116972894305988,0.07828681915177584,0.2,5
prune97,Mirai-greeth_flood,-0.0026752673569852446,0.045140287218769476,0.0,5
prune97,Mirai-greip_flood,0.3910122989593189,0.29019393899760215,0.8,5
prune97,Mirai-udpplain,0.00880110880110876,0.0039261715585454104,0.0,5
prune97,Recon-HostDiscovery,0.0035746380429356297,0.10022374345904253,0.2,5
prune97,Recon-OSScan,0.022328151986183074,0.00907844046742623,0.0,5
prune97,Recon-PingSweep,0.0,0.0,0.0,5
prune97,Recon-PortScan,0.09158428179779014,0.02534307429421133,0.2,5
prune97,SqlInjection,0.035578144853875476,0.009029650828177823,0.0,5
prune97,Uploading_Attack,0.0,0.0,0.0,5
prune97,VulnerabilityScan,0.1659445001671682,0.05837156648131812,0.8,5
prune97,XSS,0.0020797227036395147,0.004650401339687605,0.0,5
prune98p5,Backdoor_Malware,0.0,0.0,0.0,5
prune98p5,BenignTraffic,0.02665909622257102,0.09631669205391932,0.2,5
prune98p5,BrowserHijacking,0.0,0.0,0.0,5
prune98p5,CommandInjection,0.006427688504326329,0.008124438430237321,0.0,5
prune98p5,DDoS-ACK_Fragmentation,0.01936584386915512,0.07463757348439884,0.0,5
prune98p5,DDoS-HTTP_Flood,0.0031951840703866806,0.033777706490007484,0.0,5
prune98p5,DDoS-ICMP_Flood,0.0026010848126232443,0.0008655566904112955,0.0,5
prune98p5,DDoS-ICMP_Fragmentation,0.015316760224538895,0.007102618479546812,0.0,5
prune98p5,DDoS-PSHACK_Flood,0.042731414371505495,0.028643028639982974,0.0,5
prune98p5,DDoS-RSTFINFlood,0.0001664783875379161,0.0006311924384132783,0.0,5
prune98p5,DDoS-SYN_Flood,-0.13408293055202242,0.36024137057717764,0.2,5
prune98p5,DDoS-SlowLoris,0.7112122936824132,0.0638038771087631,1.0,5
