,prune50,prune80,distillation,int8,float16
Backdoor_Malware,False,False,False,False,False
BenignTraffic,False,True,False,False,False
BrowserHijacking,False,True,True,False,False
CommandInjection,False,True,False,False,False
DDoS-ACK_Fragmentation,False,False,False,False,False
DDoS-HTTP_Flood,False,False,False,False,False
DDoS-ICMP_Flood,False,False,False,False,False
DDoS-ICMP_Fragmentation,True,False,True,False,False
DDoS-PSHACK_Flood,False,True,True,False,False
DDoS-RSTFINFlood,False,True,False,False,False
DDoS-SYN_Flood,True,False,False,False,False
DDoS-SlowLoris,True,True,True,False,False
DDoS-SynonymousIP_Flood,False,False,False,False,False
DDoS-TCP_Flood,True,True,False,False,False
DDoS-UDP_Flood,True,False,False,False,False
DDoS-UDP_Fragmentation,False,False,True,False,False
DNS_Spoofing,False,True,True,False,False
DictionaryBruteForce,False,True,True,False,False
DoS-HTTP_Flood,True,True,False,False,False
DoS-SYN_Flood,False,True,False,False,False
DoS-TCP_Flood,False,True,False,False,False
DoS-UDP_Flood,False,True,True,False,False
MITM-ArpSpoofing,True,True,False,False,False
Mirai-greeth_flood,True,True,False,False,False
Mirai-greip_flood,True,True,True,False,False
Mirai-udpplain,False,True,False,False,False
Recon-HostDiscovery,False,True,False,False,False
Recon-OSScan,False,True,False,False,False
Recon-PingSweep,False,False,False,False,False
Recon-PortScan,True,True,True,False,False
SqlInjection,False,True,True,False,False
Uploading_Attack,False,False,False,False,False
VulnerabilityScan,False,False,False,False,False
XSS,False,True,True,False,False
