,M0,prune50,prune80,distillation,int8,float16
Backdoor_Malware,0.004140786749482402,0.004140786749482402,0.0,0.0,0.008281573498964804,0.006211180124223602
BenignTraffic,0.6791022343943088,0.7147055876557229,0.1785177515781036,0.7173441100831636,0.6849470625563608,0.6796700177014796
BrowserHijacking,0.019562715765247412,0.00805523590333717,0.0,0.0011507479861910242,0.019562715765247412,0.020713463751438434
CommandInjection,0.0630407911001236,0.0580964153275649,0.0,0.0173053152039555,0.0519159456118665,0.0630407911001236
DDoS-ACK_Fragmentation,0.9651481704461837,0.9654491939260151,0.9132048966486053,0.9606662653020269,0.9650478292862399,0.9651481704461837
DDoS-HTTP_Flood,0.7960175966658949,0.8844639962954387,0.977772632553832,0.759203519333179,0.7969437369761518,0.7967122018985876
DDoS-ICMP_Flood,0.997904339250493,0.9976577909270217,0.9977194280078896,0.997965976331361,0.997904339250493,0.997904339250493
DDoS-ICMP_Fragmentation,0.9721331194867683,0.9666198877305533,0.9916466185511895,0.9695936915263299,0.9719994653835873,0.9721331194867683
DDoS-PSHACK_Flood,0.9983433423068958,0.9984468834127148,0.9675916338786498,0.9977738662248913,0.9983433423068958,0.9983433423068958
DDoS-RSTFINFlood,0.9991676080623105,0.9990486949283548,0.9987514120934657,0.9991081514953326,0.9991676080623105,0.9991676080623105
DDoS-SYN_Flood,0.5225642330195879,0.03922665988298143,0.9395064868990078,0.18611040447723226,0.5434240651233783,0.5282625286186721
DDoS-SlowLoris,0.954183266932271,0.9223107569721115,0.0,0.9237336368810473,0.9536141149686966,0.9544678429140581
DDoS-SynonymousIP_Flood,0.34167970787689095,0.27050368051933,0.060047527966150815,0.7723294499507332,0.3308410131571321,0.3315945053034255
DDoS-TCP_Flood,0.6484739049394221,0.3648066169617894,0.008853681267474371,0.6112534948741846,0.6782968313140727,0.6455615097856477
DDoS-UDP_Flood,0.7421512270616847,0.6086115410126023,0.9967388901171789,0.8621490161397303,0.7428145036480213,0.7439752376741101
DDoS-UDP_Fragmentation,0.9898242677824268,0.9893891213389121,0.9895899581589959,0.9870794979079498,0.9898912133891213,0.9898242677824268
DNS_Spoofing,0.612758792239103,0.6302858673606062,0.4623627109563354,0.4640465347671348,0.631778347556542,0.6140216600972026
DictionaryBruteForce,0.32755102040816325,0.39285714285714285,0.21887755102040815,0.23622448979591837,0.3239795918367347,0.3280612244897959
DoS-HTTP_Flood,0.8669215704560291,0.7629394758929404,0.21290683577357084,0.8418353072834095,0.8665485405203768,0.866828312972116
DoS-SYN_Flood,0.16439051397988372,0.39503552643720585,0.0,0.14501245732213713,0.16651287256620836,0.1656823844237335
DoS-TCP_Flood,0.41158733577428386,0.6875403833728193,5.384449709239716e-05,0.3254899849235408,0.38310359681240574,0.4141180271376265
DoS-UDP_Flood,0.6823112784651246,0.7695445580060964,0.0,0.5150170342478034,0.6937869822485208,0.6811457772996234
MITM-ArpSpoofing,0.12505002728761141,0.07877023831180643,0.006767327633254503,0.10067309441513553,0.1163907585955976,0.1247953429143169
Mirai-greeth_flood,0.9728399253097946,0.8911899507723646,0.9565099304023086,0.9839076557460533,0.9737226277372263,0.9727041249363436
Mirai-greip_flood,0.9839167455061495,0.9709420191917827,0.8118664684416813,0.9466481957021219,0.9835788620083795,0.9839167455061495
Mirai-udpplain,0.9874220374220374,0.9916493416493416,0.9127858627858628,0.9857588357588357,0.9874913374913374,0.9874220374220374
Recon-HostDiscovery,0.7047428856714928,0.809335996005991,0.07593609585621568,0.6577134298552172,0.6924113829256116,0.7031952071892161
Recon-OSScan,0.11454231433506044,0.07682210708117444,6.90846286701209e-05,0.12538860103626942,0.12103626943005182,0.1146804835924007
Recon-PingSweep,0.0,0.0,0.0,0.0,0.0,0.0
Recon-PortScan,0.2467392207360638,0.17961286034726262,0.0027415468970673758,0.1372434992107668,0.24358228794550138,0.24640691202126777
SqlInjection,0.04701397712833545,0.03811944091486658,0.0,0.0012706480304955528,0.045743329097839895,0.04701397712833545
Uploading_Attack,0.02127659574468085,0.010638297872340425,0.0,0.0,0.031914893617021274,0.02127659574468085
VulnerabilityScan,0.6740220661985958,0.6869943162821799,0.7643597459043798,0.5831160147107991,0.6692744901370778,0.6738214643931796
XSS,0.02772963604852686,0.01733102253032929,0.0,0.0,0.02772963604852686,0.02772963604852686
