,mean_cos_to_others,min_angular_sep_deg,etf_gap,margin,support,mean_cos_to_others_lo,mean_cos_to_others_hi,margin_lo,margin_hi
Backdoor_Malware,0.1983816772699356,7.3291120529174805,0.4949174225330353,-3.326589822769165,483.0,0.18848955146968366,0.19885536208748816,-3.4132203698158263,-3.246592080593109
BenignTraffic,0.21154457330703735,20.407556533813477,0.5527353882789612,-1.0138441324234009,29941.0,0.1770314618945122,0.18381479233503342,-1.0571122378110887,-0.9773073390126228
BrowserHijacking,0.18869243562221527,20.407556533813477,0.5316165089607239,-3.892455577850342,869.0,0.14425985291600227,0.154178411886096,-3.9525037169456483,-3.8415383219718935
CommandInjection,0.21543677151203156,25.810466766357422,0.5232934355735779,-3.412015199661255,809.0,0.17346270568668842,0.18368650563061237,-3.4715275406837462,-3.3432376265525816
DDoS-ACK_Fragmentation,-0.0938030481338501,54.4213752746582,0.24870721995830536,3.658351182937622,29898.0,-0.08639427069574594,-0.08195072319358587,3.5671459913253782,3.7454014003276823
DDoS-HTTP_Flood,0.013160564005374908,18.144573211669922,0.27248916029930115,4.482519149780273,4319.0,-0.07033279556781054,-0.06421218756586314,4.428112149238586,4.5411112904548645
DDoS-ICMP_Flood,-0.1225023865699768,50.730587005615234,0.31229156255722046,6.608386993408203,16224.0,-0.10327110160142183,-0.09648414775729179,6.569700276851654,6.640927588939666
DDoS-ICMP_Fragmentation,-0.12752743065357208,59.69152069091797,0.22272293269634247,8.198030471801758,29928.0,-0.09024508986622096,-0.08650071062147617,8.14454152584076,8.248632121086121
DDoS-PSHACK_Flood,-0.006062028929591179,53.87158966064453,0.2513466775417328,4.00687313079834,19316.0,-0.09460900202393532,-0.09101315457373857,3.960255664587021,4.061439943313599
DDoS-RSTFINFlood,0.012145372107625008,53.87158966064453,0.21840345859527588,8.149334907531738,16819.0,-0.06314163114875555,-0.057696711365133525,8.103069400787353,8.185371661186219
DDoS-SYN_Flood,-0.07272777706384659,7.266632080078125,0.32262250781059265,1.5927250385284424,19655.0,-0.13622449114918708,-0.1335450541228056,1.5506137907505035,1.6393341809511186
DDoS-SlowLoris,0.03770272806286812,17.024621963500977,0.32618948817253113,-10.368072509765625,3514.0,-0.04383257431909442,-0.03649134039878845,-10.453665232658386,-10.288275098800659
DDoS-SynonymousIP_Flood,-0.0670936331152916,7.266632080078125,0.3183630406856537,-1.2516275644302368,17253.0,-0.13408664539456366,-0.13133925423026085,-1.28203227519989,-1.224934720993042
DDoS-TCP_Flood,-0.13862642645835876,7.830026149749756,0.40494483709335327,-1.751023530960083,17168.0,-0.1533129770308733,-0.14808496683835984,-1.8023727476596831,-1.694393739104271
DDoS-UDP_Flood,-0.17367379367351532,7.808161735534668,0.4127942621707916,6.155004978179932,18092.0,-0.12824874222278596,-0.12158398870378732,6.121975016593933,6.1873530626296995
DDoS-UDP_Fragmentation,-0.14947910606861115,49.65009307861328,0.2968970239162445,5.692861557006836,29875.0,-0.07818360142409801,-0.0740737646818161,5.640184378623962,5.732314264774322
DNS_Spoofing,0.21464864909648895,18.98933219909668,0.523993730545044,-0.12502256035804749,26131.0,0.19384777136147022,0.19875660352408886,-0.15748692490160465,-0.0822985727339983
DictionaryBruteForce,0.1574847400188446,45.163211822509766,0.40646737813949585,-1.90876042842865,1960.0,0.11967634949833154,0.13082303293049335,-1.9992980986833573,-1.8167361974716187
DoS-HTTP_Flood,0.011170392856001854,17.024621963500977,0.3041238486766815,-1.7283746004104614,10723.0,-0.0680684071034193,-0.06130770444869995,-1.7929676115512847,-1.665981936454773
DoS-SYN_Flood,-0.04628478363156319,12.161730766296387,0.3007449805736542,-6.396178722381592,21674.0,-0.12476148307323456,-0.12144905589520931,-6.470571160316467,-6.3125116467475895
DoS-TCP_Flood,-0.14207042753696442,7.830026149749756,0.3962302505970001,-3.7460415363311768,18572.0,-0.15472721084952354,-0.1492377318441868,-3.8183627843856813,-3.6561366856098174
DoS-UDP_Flood,-0.1818813979625702,7.808161735534668,0.4279567003250122,-5.835667610168457,22308.0,-0.12920307256281377,-0.12229382768273353,-5.8785235524177555,-5.7974170565605165
MITM-ArpSpoofing,0.1821465641260147,20.560089111328125,0.5214812159538269,-4.844876766204834,27485.0,0.13418733775615693,0.1423647951334715,-4.914791703224182,-4.775978446006775
Mirai-greeth_flood,-0.15743938088417053,12.865782737731934,0.3070794641971588,5.862619876861572,29455.0,-0.08145697992295027,-0.07815101742744446,5.791669309139252,5.960518944263458
Mirai-greip_flood,-0.1593807339668274,12.865782737731934,0.31705984473228455,0.8481683731079102,29596.0,-0.08153938669711351,-0.07763926517218352,0.8063365176320076,0.8903667256236076
Mirai-udpplain,-0.17936013638973236,49.65009307861328,0.355572372674942,2.5320398807525635,28860.0,-0.09891080874949694,-0.094179929792881,2.4600607335567473,2.5965024411678312
Recon-HostDiscovery,0.1874929517507553,27.011640548706055,0.4344876706600189,-1.9544930458068848,20030.0,0.16749786511063575,0.17193288579583169,-2.0101826310157778,-1.909149894118309
Recon-OSScan,0.22852638363838196,6.956011772155762,0.548059344291687,-6.4115729331970215,14475.0,0.19727499783039093,0.20153029263019562,-6.459945523738861,-6.357268536090851
Recon-PingSweep,0.21640481054782867,6.680140018463135,0.5203842520713806,-3.8490734100341797,340.0,0.19372758716344834,0.20112421736121178,-3.921451914310455,-3.7740843117237093
Recon-PortScan,0.2261020988225937,6.956011772155762,0.5344915390014648,-4.2780656814575195,12037.0,0.19630148857831956,0.19991834796965122,-4.331811606884003,-4.230835199356079
SqlInjection,0.21744993329048157,6.680140018463135,0.5169528126716614,-3.704798936843872,787.0,0.19475522860884667,0.20010921657085418,-3.7612230658531187,-3.66337828040123
