label,recall_prune80,recall_refit,recovery_gain
DDoS-SlowLoris,0.0,0.9462,0.9462
DoS-TCP_Flood,0.0001,0.8461,0.8461
DoS-UDP_Flood,0.0,0.7862,0.7862
DDoS-SynonymousIP_Flood,0.06,0.8058,0.7458
DoS-HTTP_Flood,0.2129,0.8331,0.6202
Recon-HostDiscovery,0.0759,0.6479,0.5719
BenignTraffic,0.1785,0.6309,0.4524
DDoS-TCP_Flood,0.0089,0.337,0.3281
DictionaryBruteForce,0.2189,0.4515,0.2327
Mirai-greip_flood,0.8119,0.9772,0.1653
DoS-SYN_Flood,0.0,0.1548,0.1548
MITM-ArpSpoofing,0.0068,0.1327,0.126
Recon-OSScan,0.0001,0.1253,0.1253
Recon-PortScan,0.0027,0.1183,0.1156
Mirai-udpplain,0.9128,0.9894,0.0766
DDoS-ACK_Fragmentation,0.9132,0.9718,0.0586
SqlInjection,0.0,0.0407,0.0407
CommandInjection,0.0,0.0358,0.0358
DDoS-PSHACK_Flood,0.9676,0.9983,0.0307
XSS,0.0,0.0208,0.0208
Mirai-greeth_flood,0.9565,0.9749,0.0184
Uploading_Attack,0.0,0.0106,0.0106
BrowserHijacking,0.0,0.0092,0.0092
Backdoor_Malware,0.0,0.0041,0.0041
DDoS-UDP_Fragmentation,0.9896,0.9916,0.002
DDoS-RSTFINFlood,0.9988,0.9992,0.0004
DDoS-ICMP_Flood,0.9977,0.998,0.0003
Recon-PingSweep,0.0,0.0,0.0
DDoS-ICMP_Fragmentation,0.9916,0.9718,-0.0198
DNS_Spoofing,0.4624,0.4167,-0.0457
VulnerabilityScan,0.7644,0.596,-0.1684
DDoS-HTTP_Flood,0.9778,0.8006,-0.1771
DDoS-UDP_Flood,0.9967,0.5737,-0.4231
DDoS-SYN_Flood,0.9395,0.2212,-0.7183
