label,support,M0_class_effrank,comp_class_effrank,rank_change
Uploading_Attack,23,17.197,17.296,0.099
Recon-PingSweep,41,28.634,27.195,-1.439
XSS,67,41.786,41.546,-0.24
Backdoor_Malware,70,43.924,43.344,-0.58
SqlInjection,93,50.251,49.765,-0.486
CommandInjection,95,30.102,31.123,1.021
BrowserHijacking,100,39.754,40.962,1.208
DictionaryBruteForce,221,52.448,48.534,-3.914
DDoS-SlowLoris,409,55.759,60.575,4.816
DDoS-HTTP_Flood,459,46.062,49.884,3.822
DoS-HTTP_Flood,1189,59.109,62.41,3.301
Recon-PortScan,1287,77.222,75.741,-1.481
Recon-OSScan,1561,76.715,75.68,-1.035
DDoS-ICMP_Flood,1750,15.344,16.55,1.206
DDoS-RSTFINFlood,1832,10.886,12.467,1.581
DDoS-TCP_Flood,1867,28.445,29.674,1.229
DDoS-SynonymousIP_Flood,1904,22.65,21.55,-1.1
DDoS-UDP_Flood,1983,25.042,27.984,2.942
DoS-TCP_Flood,2003,36.17,35.938,-0.232
DDoS-PSHACK_Flood,2035,14.645,18.804,4.159
DDoS-SYN_Flood,2140,33.159,32.901,-0.258
Recon-HostDiscovery,2142,63.826,68.083,4.257
DoS-SYN_Flood,2399,39.751,40.6,0.849
DoS-UDP_Flood,2436,38.072,38.155,0.083
DNS_Spoofing,2807,66.625,71.465,4.84
MITM-ArpSpoofing,3041,63.093,64.531,1.438
Mirai-udpplain,3167,42.382,47.534,5.152
Mirai-greeth_flood,3171,36.854,36.065,-0.789
DDoS-ACK_Fragmentation,3230,39.146,45.056,5.91
Mirai-greip_flood,3243,41.645,44.158,2.513
DDoS-ICMP_Fragmentation,3276,49.0,52.832,3.832
BenignTraffic,3306,71.921,71.732,-0.189
VulnerabilityScan,3320,76.958,75.572,-1.386
DDoS-UDP_Fragmentation,3333,46.162,50.352,4.19
