collapsed_class,M0_recall,comp_recall,top_absorber,absorber_took_frac,absorber_recall_M0,absorber_recall_comp,absorber_recall_gain
DoS-SYN_Flood,0.164,0.0,DDoS-SYN_Flood,0.973,0.523,0.94,0.417
DoS-UDP_Flood,0.682,0.0,DDoS-UDP_Flood,0.956,0.742,0.997,0.255
CommandInjection,0.063,0.0,VulnerabilityScan,0.816,0.674,0.764,0.09
Recon-PortScan,0.247,0.003,VulnerabilityScan,0.804,0.674,0.764,0.09
Recon-OSScan,0.115,0.0,VulnerabilityScan,0.788,0.674,0.764,0.09
MITM-ArpSpoofing,0.125,0.007,VulnerabilityScan,0.777,0.674,0.764,0.09
SqlInjection,0.047,0.0,VulnerabilityScan,0.77,0.674,0.764,0.09
Recon-HostDiscovery,0.705,0.076,VulnerabilityScan,0.753,0.674,0.764,0.09
BrowserHijacking,0.02,0.0,VulnerabilityScan,0.68,0.674,0.764,0.09
BenignTraffic,0.679,0.179,VulnerabilityScan,0.57,0.674,0.764,0.09
DoS-HTTP_Flood,0.867,0.213,DDoS-HTTP_Flood,0.561,0.796,0.978,0.182
DictionaryBruteForce,0.328,0.219,VulnerabilityScan,0.54,0.674,0.764,0.09
XSS,0.028,0.0,VulnerabilityScan,0.525,0.674,0.764,0.09
DDoS-SlowLoris,0.954,0.0,DDoS-HTTP_Flood,0.524,0.796,0.978,0.182
DDoS-TCP_Flood,0.648,0.009,Mirai-greip_flood,0.521,0.984,0.812,-0.172
DNS_Spoofing,0.613,0.462,VulnerabilityScan,0.477,0.674,0.764,0.09
DoS-TCP_Flood,0.412,0.0,DDoS-ICMP_Flood,0.477,0.998,0.998,-0.0
Mirai-greip_flood,0.984,0.812,Mirai-greeth_flood,0.177,0.973,0.957,-0.016
Mirai-udpplain,0.987,0.913,Mirai-greip_flood,0.049,0.984,0.812,-0.172
Mirai-greeth_flood,0.973,0.957,Mirai-greip_flood,0.038,0.984,0.812,-0.172
DDoS-PSHACK_Flood,0.998,0.968,DDoS-SYN_Flood,0.026,0.523,0.94,0.417
DDoS-RSTFINFlood,0.999,0.999,DDoS-ICMP_Fragmentation,0.001,0.972,0.992,0.02
