label,support_sub,M0_probe_auc,comp_probe_auc,probe_auc_drop,delta_recall
backdoor,295,0.9806,0.9596,0.021,0.0
ddos,1795,0.9686,0.9594,0.0092,0.017270194986072407
dos,968,0.9657,0.9628,0.0028,-0.06818181818181812
injection,2978,0.9349,0.9282,0.0067,0.003022162525184724
mitm,156,0.9771,0.9709,0.0061,-0.14102564102564102
normal,3546,0.9925,0.9917,0.0009,-0.02820078962210948
password,2288,0.9646,0.9632,0.0015,-0.044580419580419584
ransomware,39,0.999,0.9989,0.0001,-0.9487179487179487
scanning,674,0.9695,0.9752,-0.0057,-0.6661721068249258
xss,1311,0.9767,0.9661,0.0106,-0.13653699466056446
